subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,knife,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png,n04099969_7577.png,0.0,0.4199399,5.365277,-3.4968812
vit_b_16,1,2,NaN,knife,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png,n02124075_12815.png,0.0,-0.5841501,4.1896434,-3.3755815
vit_b_16,1,3,NaN,knife,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png,n04467665_34253.png,0.0,0.49334827,2.1640368,-1.1813552
vit_b_16,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png,n04548280_5320.png,1.0,4.5527987,0.6852645,2.7347596
vit_b_16,1,5,NaN,knife,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png,n02108915_3652.png,0.0,0.110009424,1.9957306,-1.3334063
vit_b_16,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png,n04505470_578.png,1.0,5.6830654,0.71330047,3.5141544
vit_b_16,1,7,NaN,cat,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png,n02123597_3842.png,1.0,3.8588877,1.6613636,1.5538841
vit_b_16,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png,n02134418_14.png,1.0,3.0898628,0.22698851,2.0243578
vit_b_16,1,9,NaN,knife,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png,n03041632_29920.png,1.0,3.743968,1.9310875,1.2819002
vit_b_16,1,10,NaN,airplane,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png,n01795545_952.png,0.0,0.08505364,1.6565039,-1.1111832
vit_b_16,1,11,NaN,elephant,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png,n02132136_6441.png,0.0,3.637799,5.9434166,-1.6303178
vit_b_16,1,12,NaN,elephant,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png,n01829413_8792.png,0.0,-0.11436018,1.4939296,-1.1372327
vit_b_16,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,n04505470_4458.png,1.0,6.1970077,0.6647955,3.9118648
vit_b_16,1,14,NaN,knife,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png,n03376595_9176.png,0.0,-0.545079,3.0358102,-2.532071
vit_b_16,1,15,NaN,knife,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png,n04548280_7662.png,0.0,2.654186,4.020104,-0.9658498
vit_b_16,1,16,NaN,knife,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png,n03085013_25809.png,0.0,0.79497564,5.5689287,-3.3756945
vit_b_16,1,17,NaN,oven,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png,n04111531_1580.png,1.0,6.264696,1.5404472,3.3405485
vit_b_16,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png,n02504458_900.png,1.0,6.4571123,0.2957661,4.35673
vit_b_16,1,19,NaN,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png,n02106662_2384.png,0.0,0.5482215,2.4240038,-1.3263783
vit_b_16,1,20,NaN,knife,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png,n03796401_22618.png,0.0,-0.07263118,3.5714726,-2.5767705
vit_b_16,1,21,NaN,knife,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png,n02504013_5463.png,0.0,-0.14066374,2.4731965,-1.8482783
vit_b_16,1,22,NaN,knife,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png,n04429376_16459.png,0.0,-0.06402685,3.8539665,-2.7704396
vit_b_16,1,23,NaN,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png,n02123045_12206.png,1.0,4.619451,0.6042971,2.8391426
vit_b_16,1,24,NaN,knife,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png,n03417042_2633.png,0.0,-0.48496708,4.02263,-3.1873527
vit_b_16,1,25,NaN,knife,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,n03085013_24416.png,0.0,2.6404343,6.4348607,-2.6830647
vit_b_16,1,26,NaN,knife,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png,n02814533_44503.png,0.0,0.72002023,2.294895,-1.1136045
vit_b_16,1,27,NaN,elephant,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png,n02504458_5797.png,1.0,2.4202778,1.6218122,0.56460047
vit_b_16,1,28,NaN,chair,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png,n04429376_8237.png,1.0,3.9998832,3.259324,0.52365434
vit_b_16,1,29,NaN,oven,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png,n02123159_587.png,0.0,-0.16953225,3.1125417,-2.3207767
vit_b_16,1,30,NaN,knife,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png,n02028035_17238.png,0.0,-0.464175,4.9163604,-3.8046129
vit_b_16,1,31,NaN,knife,cat,40,0031_lp_dnn_40_cat_10_n02123159_4348.png,n02123159_4348.png,0.0,-0.69399065,4.3191156,-3.5448015
vit_b_16,1,32,NaN,oven,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png,n04273569_22332.png,0.0,0.8450457,4.164374,-2.3471196
vit_b_16,1,33,NaN,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png,n02504013_1244.png,1.0,7.5063515,0.38855058,5.0330453
vit_b_16,1,34,NaN,clock,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,n03792782_30229.png,0.0,0.42648205,1.6694965,-0.878944
vit_b_16,1,35,NaN,knife,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png,n03085013_7573.png,0.0,3.2675624,3.8214698,-0.3916717
vit_b_16,1,36,NaN,keyboard,keyboard,3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png,n03085013_24578.png,1.0,6.538397,1.1781594,3.7902603
vit_b_16,1,37,NaN,knife,truck,15,0037_lp_dnn_15_truck_10_n03417042_1336.png,n03417042_1336.png,0.0,-0.930476,4.020544,-3.5009
vit_b_16,1,38,NaN,knife,knife,3,0038_lp_dnn_3_knife_10_n03041632_7495.png,n03041632_7495.png,1.0,0.8294648,0.75082356,0.05560775
vit_b_16,1,39,NaN,car,car,0,0039_lp_dnn_0_car_10_n03100240_9625.png,n03100240_9625.png,1.0,6.9012628,1.1145294,4.091839
vit_b_16,1,40,NaN,knife,elephant,10,0040_lp_dnn_10_elephant_10_n02504458_6107.png,n02504458_6107.png,0.0,0.16613117,2.614264,-1.7310913
vit_b_16,1,41,NaN,bicycle,bicycle,0,0041_lp_dnn_0_bicycle_10_n03792782_33649.png,n03792782_33649.png,1.0,8.542366,0.6744554,5.5634527
vit_b_16,1,42,NaN,clock,clock,1,0042_lp_dnn_1_clock_10_n03196217_8282.png,n03196217_8282.png,1.0,4.969597,0.6104707,3.0823677
vit_b_16,1,43,NaN,keyboard,keyboard,7,0043_lp_dnn_7_keyboard_10_n03085013_21534.png,n03085013_21534.png,1.0,5.405361,1.0095773,3.1082888
vit_b_16,1,44,NaN,knife,elephant,15,0044_lp_dnn_15_elephant_10_n02504013_22813.png,n02504013_22813.png,0.0,0.41920772,4.132182,-2.6254694
vit_b_16,1,45,NaN,knife,truck,10,0045_lp_dnn_10_truck_10_n03796401_16425.png,n03796401_16425.png,0.0,-0.69122064,3.2727077,-2.8029206
vit_b_16,1,46,NaN,knife,airplane,15,0046_lp_dnn_15_airplane_10_n02690373_9427.png,n02690373_9427.png,0.0,-1.0795189,6.2033496,-5.1497655
