subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w3_mlp_simclrhn_probe0,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png,n03417042_14861.png,1.0,2.788238,-1.1402335,2.777849
alexnet_w3_mlp_simclrhn_probe0,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,n03085013_25476.png,1.0,8.348894,-1.4168835,6.9054475
alexnet_w3_mlp_simclrhn_probe0,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png,n02504013_3087.png,1.0,6.8544564,-2.0684438,6.3094435
alexnet_w3_mlp_simclrhn_probe0,1,4,NaN,bear,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png,n02123394_4633.png,0.0,0.9314461,1.6164033,-0.48433793
alexnet_w3_mlp_simclrhn_probe0,1,5,NaN,knife,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png,n03041632_48151.png,1.0,0.20036238,-0.34855857,0.38814577
alexnet_w3_mlp_simclrhn_probe0,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,5.0449433,-2.7766783,5.530722
alexnet_w3_mlp_simclrhn_probe0,1,7,NaN,bear,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png,n02134084_10289.png,1.0,0.34199834,-0.56208444,0.63928306
alexnet_w3_mlp_simclrhn_probe0,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png,n03085013_21967.png,1.0,2.3246617,0.62586653,1.2012296
alexnet_w3_mlp_simclrhn_probe0,1,9,NaN,bear,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png,n04111531_5737.png,0.0,-1.2817883,-0.18099877,-0.77837574
alexnet_w3_mlp_simclrhn_probe0,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png,n02504458_8141.png,1.0,1.2452042,-0.5057505,1.2381119
alexnet_w3_mlp_simclrhn_probe0,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png,n02504458_3153.png,1.0,3.616054,0.5064974,2.1987886
alexnet_w3_mlp_simclrhn_probe0,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png,n02134418_5807.png,1.0,0.4865677,-0.60025644,0.76850075
alexnet_w3_mlp_simclrhn_probe0,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png,n04273569_15322.png,1.0,1.5690302,-2.1453717,2.6264787
alexnet_w3_mlp_simclrhn_probe0,1,14,NaN,chair,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png,n03041632_42526.png,0.0,-5.1382685,-3.0122952,-1.50329
alexnet_w3_mlp_simclrhn_probe0,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png,n02835271_5886.png,1.0,-0.9613359,-4.0612683,2.1919832
alexnet_w3_mlp_simclrhn_probe0,1,16,NaN,bear,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png,n02110063_869.png,0.0,-1.5333772,-0.66770065,-0.61212575
alexnet_w3_mlp_simclrhn_probe0,1,17,NaN,bear,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png,n03792782_3334.png,0.0,-1.298042,-0.44623807,-0.6023164
alexnet_w3_mlp_simclrhn_probe0,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png,n02690373_7355.png,1.0,6.1757364,0.65804315,3.9015985
alexnet_w3_mlp_simclrhn_probe0,1,19,NaN,bear,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png,n01798484_2289.png,0.0,-1.385513,-0.48193908,-0.6389232
alexnet_w3_mlp_simclrhn_probe0,1,20,NaN,elephant,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png,n03041632_87380.png,0.0,-2.9167225,-2.4796014,-0.30909133
alexnet_w3_mlp_simclrhn_probe0,1,21,NaN,airplane,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png,n02027492_15639.png,0.0,-4.402048,-0.5321421,-2.7364368
alexnet_w3_mlp_simclrhn_probe0,1,22,NaN,airplane,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png,n02006656_7153.png,0.0,-0.3531472,0.5718483,-0.6540706
alexnet_w3_mlp_simclrhn_probe0,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png,n04612504_14699.png,1.0,0.66580886,-1.9975768,1.883298
alexnet_w3_mlp_simclrhn_probe0,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png,n02134418_5971.png,1.0,1.4368399,-1.3542997,1.9736338
alexnet_w3_mlp_simclrhn_probe0,1,25,NaN,bear,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png,n02110063_16680.png,0.0,-2.20732,-1.7544277,-0.3202432
alexnet_w3_mlp_simclrhn_probe0,1,26,NaN,oven,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png,n03100240_6010.png,0.0,-7.0017877,-0.1335721,-4.8565617
alexnet_w3_mlp_simclrhn_probe0,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png,n02504458_9835.png,1.0,0.21738496,-2.279422,1.7655092
alexnet_w3_mlp_simclrhn_probe0,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png,n02690373_10207.png,1.0,2.9023952,-2.090796,3.5307195
alexnet_w3_mlp_simclrhn_probe0,1,29,NaN,cat,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png,n03983396_5532.png,0.0,-5.0459514,-0.6905138,-3.0797596
alexnet_w3_mlp_simclrhn_probe0,1,30,NaN,dog,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png,n02090622_1485.png,1.0,-0.41373426,-2.259814,1.3053756
alexnet_w3_mlp_simclrhn_probe0,1,31,NaN,bear,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png,n03417042_5503.png,0.0,-6.883996,-0.19346556,-4.7309194
alexnet_w3_mlp_simclrhn_probe0,1,32,NaN,bear,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png,n02133161_897.png,1.0,0.29094788,-0.019233167,0.21933113
alexnet_w3_mlp_simclrhn_probe0,1,33,NaN,oven,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png,n04505470_4579.png,0.0,-1.120425,-1.0753067,-0.03190348
alexnet_w3_mlp_simclrhn_probe0,1,34,NaN,bird,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png,n01592084_5833.png,1.0,-1.1342279,-1.9216633,0.5568009
alexnet_w3_mlp_simclrhn_probe0,1,35,NaN,dog,dog,0,0035_ps_dnn_0_dog_10_n02090379_3514.png,n02090379_3514.png,1.0,-1.4928555,-2.5810108,0.76944196
alexnet_w3_mlp_simclrhn_probe0,1,36,NaN,elephant,airplane,180,0036_ps_dnn_180_airplane_10_n02690373_6144.png,n02690373_6144.png,0.0,-4.7246733,-0.92736,-2.685106
alexnet_w3_mlp_simclrhn_probe0,1,37,NaN,airplane,airplane,90,0037_ps_dnn_90_airplane_10_n02690373_1436.png,n02690373_1436.png,1.0,-0.5467849,-0.944536,0.2812525
alexnet_w3_mlp_simclrhn_probe0,1,38,NaN,elephant,clock,120,0038_ps_dnn_120_clock_10_n04548280_354.png,n04548280_354.png,0.0,-4.517306,-0.91228884,-2.5491319
alexnet_w3_mlp_simclrhn_probe0,1,39,NaN,keyboard,keyboard,0,0039_ps_dnn_0_keyboard_10_n03085013_2189.png,n03085013_2189.png,1.0,1.9745415,-0.42252976,1.6949854
alexnet_w3_mlp_simclrhn_probe0,1,40,NaN,bear,chair,120,0040_ps_dnn_120_chair_10_n04099969_9005.png,n04099969_9005.png,0.0,-4.8389015,-0.46697757,-3.091417
alexnet_w3_mlp_simclrhn_probe0,1,41,NaN,elephant,bicycle,180,0041_ps_dnn_180_bicycle_10_n02835271_7350.png,n02835271_7350.png,0.0,-1.1045314,-0.10897037,-0.703968
alexnet_w3_mlp_simclrhn_probe0,1,42,NaN,bear,bottle,150,0042_ps_dnn_150_bottle_10_n04557648_8320.png,n04557648_8320.png,0.0,-2.028892,-0.8547318,-0.8302567
alexnet_w3_mlp_simclrhn_probe0,1,43,NaN,dog,dog,0,0043_ps_dnn_0_dog_10_n02105641_6503.png,n02105641_6503.png,1.0,-0.5447604,-2.4751832,1.365015
alexnet_w3_mlp_simclrhn_probe0,1,44,NaN,clock,clock,90,0044_ps_dnn_90_clock_10_n04548280_6022.png,n04548280_6022.png,1.0,-1.5280849,-2.6722388,0.80903906
alexnet_w3_mlp_simclrhn_probe0,1,45,NaN,keyboard,clock,60,0045_ps_dnn_60_clock_10_n03196217_7414.png,n03196217_7414.png,0.0,-1.4321162,-0.12688863,-0.92293525
alexnet_w3_mlp_simclrhn_probe0,1,46,NaN,oven,oven,150,0046_ps_dnn_150_oven_10_n04111531_7965.png,n04111531_7965.png,1.0,-1.0925394,-1.4093436,0.22401439
alexnet_w3_mlp_simclrhn_probe0,1,47,NaN,bear,bottle,90,0047_ps_dnn_90_bottle_10_n04579145_4594.png,n04579145_4594.png,0.0,-5.0092435,-3.718115,-0.91296566
alexnet_w3_mlp_simclrhn_probe0,1,48,NaN,oven,bottle,30,0048_ps_dnn_30_bottle_10_n03983396_4564.png,n03983396_4564.png,0.0,-1.1873554,0.16303295,-0.95486873
alexnet_w3_mlp_simclrhn_probe0,1,49,NaN,cat,cat,60,0049_ps_dnn_60_cat_10_n02125311_54015.png,n02125311_54015.png,1.0,0.30006638,-1.3770411,1.1858941
alexnet_w3_mlp_simclrhn_probe0,1,50,NaN,bicycle,bicycle,150,0050_ps_dnn_150_bicycle_10_n03792782_5133.png,n03792782_5133.png,1.0,-0.9870636,-1.0614967,0.052632183
alexnet_w3_mlp_simclrhn_probe0,1,51,NaN,bear,bird,120,0051_ps_dnn_120_bird_10_n02018207_6296.png,n02018207_6296.png,0.0,-1.6868755,0.009490401,-1.1995118
alexnet_w3_mlp_simclrhn_probe0,1,52,NaN,elephant,bird,30,0052_ps_dnn_30_bird_10_n01817953_11996.png,n01817953_11996.png,0.0,-10.833145,-2.526619,-5.873601
alexnet_w3_mlp_simclrhn_probe0,1,53,NaN,oven,keyboard,150,0053_ps_dnn_150_keyboard_10_n03085013_3148.png,n03085013_3148.png,0.0,-4.9432535,-0.5068375,-3.13702
alexnet_w3_mlp_simclrhn_probe0,1,54,NaN,bear,bear,60,0054_ps_dnn_60_bear_10_n02134418_5537.png,n02134418_5537.png,1.0,0.8816528,-1.1056193,1.4052136
alexnet_w3_mlp_simclrhn_probe0,1,55,NaN,bear,cat,150,0055_ps_dnn_150_cat_10_n02125311_11409.png,n02125311_11409.png,0.0,-2.0129464,-0.48496458,-1.0804462
alexnet_w3_mlp_simclrhn_probe0,1,56,NaN,elephant,knife,30,0056_ps_dnn_30_knife_10_n03041632_3063.png,n03041632_3063.png,0.0,-6.460444,-3.4655824,-2.117687
alexnet_w3_mlp_simclrhn_probe0,1,57,NaN,oven,dog,60,0057_ps_dnn_60_dog_10_n02106550_6424.png,n02106550_6424.png,0.0,-2.0840392,-0.5815662,-1.0624088
alexnet_w3_mlp_simclrhn_probe0,1,58,NaN,elephant,bear,30,0058_ps_dnn_30_bear_10_n02133161_7032.png,n02133161_7032.png,0.0,-2.3048747,-1.5363805,-0.54340744
alexnet_w3_mlp_simclrhn_probe0,1,59,NaN,bear,cat,150,0059_ps_dnn_150_cat_10_n02125311_5570.png,n02125311_5570.png,0.0,-2.3627965,-0.9775148,-0.9795422
alexnet_w3_mlp_simclrhn_probe0,1,60,NaN,elephant,bird,30,0060_ps_dnn_30_bird_10_n01843383_13894.png,n01843383_13894.png,0.0,-2.8896313,-0.77831286,-1.4929276
alexnet_w3_mlp_simclrhn_probe0,1,61,NaN,oven,bottle,60,0061_ps_dnn_60_bottle_10_n03983396_2205.png,n03983396_2205.png,0.0,-4.4312835,1.3879669,-4.1148314
alexnet_w3_mlp_simclrhn_probe0,1,62,NaN,bicycle,bicycle,60,0062_ps_dnn_60_bicycle_10_n03792782_31010.png,n03792782_31010.png,1.0,3.2224183,-4.775023,5.655045
alexnet_w3_mlp_simclrhn_probe0,1,63,NaN,bottle,bottle,60,0063_ps_dnn_60_bottle_10_n02823428_880.png,n02823428_880.png,1.0,1.5884972,-3.0967042,3.312938
alexnet_w3_mlp_simclrhn_probe0,1,64,NaN,elephant,car,180,0064_ps_dnn_180_car_10_n02814533_40459.png,n02814533_40459.png,0.0,-6.686708,-0.5920972,-4.3095407
alexnet_w3_mlp_simclrhn_probe0,1,65,NaN,bear,cat,120,0065_ps_dnn_120_cat_10_n02123045_567.png,n02123045_567.png,0.0,-1.2128533,-0.7472209,-0.32925186
alexnet_w3_mlp_simclrhn_probe0,1,66,NaN,bear,knife,120,0066_ps_dnn_120_knife_10_n03041632_24541.png,n03041632_24541.png,0.0,-2.706739,-0.23410827,-1.748414
alexnet_w3_mlp_simclrhn_probe0,1,67,NaN,elephant,elephant,30,0067_ps_dnn_30_elephant_10_n02504458_8644.png,n02504458_8644.png,1.0,2.643142,-2.1810107,3.4111912
alexnet_w3_mlp_simclrhn_probe0,1,68,NaN,keyboard,keyboard,0,0068_ps_dnn_0_keyboard_10_n03085013_2166.png,n03085013_2166.png,1.0,3.2349143,0.54950666,1.89887
alexnet_w3_mlp_simclrhn_probe0,1,69,NaN,bear,boat,90,0069_ps_dnn_90_boat_10_n04273569_13972.png,n04273569_13972.png,0.0,-2.836608,-0.18597007,-1.874284
alexnet_w3_mlp_simclrhn_probe0,1,70,NaN,bear,airplane,150,0070_ps_dnn_150_airplane_10_n02690373_9432.png,n02690373_9432.png,0.0,-6.535241,-0.33185738,-4.386455
alexnet_w3_mlp_simclrhn_probe0,1,71,NaN,oven,truck,90,0071_ps_dnn_90_truck_10_n03417042_5228.png,n03417042_5228.png,0.0,-5.589613,-0.36002707,-3.6978755
alexnet_w3_mlp_simclrhn_probe0,1,72,NaN,airplane,airplane,0,0072_ps_dnn_0_airplane_10_n02690373_4294.png,n02690373_4294.png,1.0,7.8265414,2.0280185,4.100175
alexnet_w3_mlp_simclrhn_probe0,1,73,NaN,clock,chair,30,0073_ps_dnn_30_chair_10_n04099969_52474.png,n04099969_52474.png,0.0,-2.4860156,-1.0444273,-1.0193568
alexnet_w3_mlp_simclrhn_probe0,1,74,NaN,oven,oven,30,0074_ps_dnn_30_oven_10_n04111531_21822.png,n04111531_21822.png,1.0,2.6522315,0.4033628,1.5901903
alexnet_w3_mlp_simclrhn_probe0,1,75,NaN,oven,oven,150,0075_ps_dnn_150_oven_10_n04111531_15735.png,n04111531_15735.png,1.0,-0.2593416,-0.8711318,0.432601
alexnet_w3_mlp_simclrhn_probe0,1,76,NaN,bear,dog,120,0076_ps_dnn_120_dog_10_n02104029_7335.png,n02104029_7335.png,0.0,-1.1982207,-0.56835794,-0.44538024
alexnet_w3_mlp_simclrhn_probe0,1,77,NaN,bear,truck,150,0077_ps_dnn_150_truck_10_n03417042_17911.png,n03417042_17911.png,0.0,-8.9859705,-0.33877233,-6.1144924
