subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png,n03417042_14861.png,1.0,12.805419,6.0615005,4.7686706
alexnet2023_baseline_pgd,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,n03085013_25476.png,1.0,18.394365,3.213278,10.73465
alexnet2023_baseline_pgd,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png,n02504013_3087.png,1.0,16.024736,4.3861113,8.229751
alexnet2023_baseline_pgd,1,4,NaN,bear,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png,n02123394_4633.png,0.0,4.8839345,6.725545,-1.3022152
alexnet2023_baseline_pgd,1,5,NaN,knife,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png,n03041632_48151.png,1.0,5.480319,1.6490198,2.7091377
alexnet2023_baseline_pgd,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,14.552082,3.778182,7.618298
alexnet2023_baseline_pgd,1,7,NaN,elephant,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png,n02134084_10289.png,0.0,1.4139482,2.2514212,-0.5921829
alexnet2023_baseline_pgd,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png,n03085013_21967.png,1.0,10.514761,4.6329074,4.1590986
alexnet2023_baseline_pgd,1,9,NaN,bicycle,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png,n04111531_5737.png,0.0,-0.13883317,1.8200352,-1.3851291
alexnet2023_baseline_pgd,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png,n02504458_8141.png,1.0,8.982181,7.368899,1.1407624
alexnet2023_baseline_pgd,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png,n02504458_3153.png,1.0,6.922594,1.9973603,3.4826663
alexnet2023_baseline_pgd,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png,n02134418_5807.png,1.0,4.082015,2.96215,0.7918641
alexnet2023_baseline_pgd,1,13,NaN,airplane,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png,n04273569_15322.png,0.0,11.217921,11.288511,-0.04991468
alexnet2023_baseline_pgd,1,14,NaN,chair,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png,n03041632_42526.png,0.0,0.40281385,6.0774136,-4.012548
alexnet2023_baseline_pgd,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png,n02835271_5886.png,1.0,7.9031825,1.4010042,4.5977345
alexnet2023_baseline_pgd,1,16,NaN,clock,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png,n02110063_869.png,0.0,-0.22235411,0.7431493,-0.682714
alexnet2023_baseline_pgd,1,17,NaN,clock,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png,n03792782_3334.png,0.0,0.2506838,0.5927704,-0.24189174
alexnet2023_baseline_pgd,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png,n02690373_7355.png,1.0,16.709547,7.718637,6.3575335
alexnet2023_baseline_pgd,1,19,NaN,elephant,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png,n01798484_2289.png,0.0,1.4410799,1.8687243,-0.30239034
alexnet2023_baseline_pgd,1,20,NaN,elephant,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png,n03041632_87380.png,0.0,-0.5685748,3.206819,-2.6696067
