subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png,n03417042_14861.png,1.0,12.489399,7.8462005,3.2832372
alexnet,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,n03085013_25476.png,1.0,18.328,4.361634,9.875712
alexnet,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png,n02504013_3087.png,1.0,13.415749,5.481256,5.6105337
alexnet,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png,n02123394_4633.png,1.0,7.2495117,6.3144007,0.66122335
alexnet,1,5,NaN,knife,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png,n03041632_48151.png,1.0,3.1361513,2.842901,0.2073593
alexnet,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,13.584222,3.1842995,7.3538556
alexnet,1,7,NaN,bear,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png,n02134084_10289.png,1.0,1.3800143,0.9036001,0.3368757
alexnet,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png,n03085013_21967.png,1.0,13.756069,7.0389676,4.749708
alexnet,1,9,NaN,knife,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png,n04111531_5737.png,0.0,0.48665947,1.4126662,-0.65478563
alexnet,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png,n02504458_8141.png,1.0,7.9735622,6.0837417,1.336305
alexnet,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png,n02504458_3153.png,1.0,9.89778,5.2007637,3.3212924
alexnet,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png,n02134418_5807.png,1.0,3.135174,2.9537535,0.12828371
alexnet,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png,n04273569_15322.png,1.0,8.174852,6.8488636,0.9376157
alexnet,1,14,NaN,knife,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png,n03041632_42526.png,1.0,5.4404974,5.392758,0.03375693
alexnet,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png,n02835271_5886.png,1.0,10.60174,3.0266004,5.3564324
alexnet,1,16,NaN,bicycle,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png,n02110063_869.png,0.0,2.038937,2.2341046,-0.13800429
alexnet,1,17,NaN,bicycle,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png,n03792782_3334.png,1.0,2.3265104,1.4422388,0.6252745
alexnet,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png,n02690373_7355.png,1.0,17.25716,7.7104797,6.7505226
alexnet,1,19,NaN,elephant,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png,n01798484_2289.png,0.0,1.0971595,2.2975523,-0.8488059
alexnet,1,20,NaN,elephant,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png,n03041632_87380.png,0.0,0.33690628,3.3557103,-2.1346169
alexnet,1,21,NaN,bottle,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png,n02027492_15639.png,0.0,1.7566516,2.0863013,-0.23309754
alexnet,1,22,NaN,airplane,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png,n02006656_7153.png,0.0,8.659964,9.242308,-0.41177943
alexnet,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png,n04612504_14699.png,1.0,5.817072,2.0074823,2.6937866
alexnet,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png,n02134418_5971.png,1.0,5.101025,4.1542773,0.6694518
alexnet,1,25,NaN,cat,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png,n02110063_16680.png,0.0,0.9867045,1.391221,-0.28603637
alexnet,1,26,NaN,truck,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png,n03100240_6010.png,0.0,1.335095,3.9914618,-1.878335
alexnet,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png,n02504458_9835.png,1.0,4.986613,2.8117712,1.5378453
alexnet,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png,n02690373_10207.png,1.0,16.430845,7.3075533,6.451142
alexnet,1,29,NaN,elephant,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png,n03983396_5532.png,0.0,0.032907743,2.6415296,-1.8445742
alexnet,1,30,NaN,dog,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png,n02090622_1485.png,1.0,7.049772,4.061222,2.1132238
alexnet,1,31,NaN,bicycle,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png,n03417042_5503.png,0.0,0.48405758,2.3447042,-1.3156759
alexnet,1,32,NaN,bicycle,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png,n02133161_897.png,0.0,1.7124633,2.3104062,-0.4228095
alexnet,1,33,NaN,airplane,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png,n04505470_4579.png,0.0,3.236651,4.2271056,-0.7003572
