subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png,n03417042_14861.png,1.0,14.325634,7.383437,4.9088745
bagnet33,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,n03085013_25476.png,1.0,23.380741,4.306414,13.487587
bagnet33,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png,n02504013_3087.png,1.0,13.454395,4.064327,6.639781
bagnet33,1,4,NaN,bear,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png,n02123394_4633.png,0.0,7.498489,7.6684093,-0.1201519
bagnet33,1,5,NaN,knife,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png,n03041632_48151.png,1.0,5.468557,3.8626316,1.1355608
bagnet33,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,10.525543,2.9850123,5.3319607
bagnet33,1,7,NaN,knife,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png,n02134084_10289.png,0.0,-0.3054885,4.5939345,-3.4644153
bagnet33,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png,n03085013_21967.png,1.0,23.41114,6.915188,11.6644
bagnet33,1,9,NaN,knife,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png,n04111531_5737.png,0.0,-0.17612913,1.9187826,-1.4813263
bagnet33,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png,n02504458_8141.png,1.0,4.972747,3.2334123,1.2298954
bagnet33,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png,n02504458_3153.png,1.0,6.97586,2.5241258,3.1478517
bagnet33,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png,n02134418_5807.png,1.0,4.503356,3.7611287,0.524834
bagnet33,1,13,NaN,airplane,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png,n04273569_15322.png,0.0,6.605221,9.548677,-2.0813382
bagnet33,1,14,NaN,oven,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png,n03041632_42526.png,0.0,2.1346703,6.400095,-3.016111
bagnet33,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png,n02835271_5886.png,1.0,5.5184765,3.6291468,1.3359579
bagnet33,1,16,NaN,knife,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png,n02110063_869.png,0.0,-0.07013688,1.3097885,-0.9757546
bagnet33,1,17,NaN,knife,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png,n03792782_3334.png,0.0,0.99952596,1.7089776,-0.5016581
bagnet33,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png,n02690373_7355.png,1.0,23.642845,6.197487,12.3357315
bagnet33,1,19,NaN,bear,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png,n01798484_2289.png,0.0,-0.9497114,2.0540557,-2.123984
bagnet33,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png,n03041632_87380.png,1.0,6.106497,1.9543765,2.9359927
bagnet33,1,21,NaN,airplane,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png,n02027492_15639.png,0.0,0.93610144,4.0046635,-2.169801
bagnet33,1,22,NaN,knife,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png,n02006656_7153.png,0.0,2.9865572,4.952874,-1.3903961
bagnet33,1,23,NaN,airplane,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png,n04612504_14699.png,0.0,5.787915,7.2801676,-1.0551817
bagnet33,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png,n02134418_5971.png,1.0,5.027818,4.478991,0.38807943
bagnet33,1,25,NaN,cat,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png,n02110063_16680.png,0.0,0.14948967,1.9328531,-1.2610284
bagnet33,1,26,NaN,airplane,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png,n03100240_6010.png,0.0,1.0696312,7.205847,-4.3389597
bagnet33,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png,n02504458_9835.png,1.0,4.7032757,2.043788,1.8805418
bagnet33,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png,n02690373_10207.png,1.0,12.852956,4.531488,5.8841667
bagnet33,1,29,NaN,elephant,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png,n03983396_5532.png,0.0,2.6916654,9.737747,-4.982332
bagnet33,1,30,NaN,dog,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png,n02090622_1485.png,1.0,5.934955,5.8715143,0.04485942
bagnet33,1,31,NaN,knife,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png,n03417042_5503.png,0.0,-1.194684,5.361986,-4.636266
bagnet33,1,32,NaN,airplane,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png,n02133161_897.png,0.0,0.02598326,2.0405533,-1.4245161
bagnet33,1,33,NaN,airplane,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png,n04505470_4579.png,0.0,-1.2280487,9.571975,-7.63677
bagnet33,1,34,NaN,oven,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png,n01592084_5833.png,0.0,0.7405037,1.8832141,-0.8080183
bagnet33,1,35,NaN,elephant,dog,0,0035_ps_dnn_0_dog_10_n02090379_3514.png,n02090379_3514.png,0.0,8.82494,9.768038,-0.6668711
bagnet33,1,36,NaN,knife,airplane,180,0036_ps_dnn_180_airplane_10_n02690373_6144.png,n02690373_6144.png,0.0,-0.64527017,7.9723015,-6.0935435
bagnet33,1,37,NaN,knife,airplane,90,0037_ps_dnn_90_airplane_10_n02690373_1436.png,n02690373_1436.png,0.0,5.5749397,7.2742987,-1.2016282
bagnet33,1,38,NaN,knife,clock,120,0038_ps_dnn_120_clock_10_n04548280_354.png,n04548280_354.png,0.0,3.8111906,6.546753,-1.9343348
bagnet33,1,39,NaN,keyboard,keyboard,0,0039_ps_dnn_0_keyboard_10_n03085013_2189.png,n03085013_2189.png,1.0,10.36565,5.147007,3.690138
bagnet33,1,40,NaN,knife,chair,120,0040_ps_dnn_120_chair_10_n04099969_9005.png,n04099969_9005.png,0.0,3.3056436,6.100279,-1.9761056
