subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png,n03417042_14861.png,1.0,1.8029704,0.9501445,0.60303897
convnext_large,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,n03085013_25476.png,1.0,6.737779,0.6429791,4.3096743
convnext_large,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png,n02504013_3087.png,1.0,7.1329365,0.29839584,4.8327503
convnext_large,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png,n02123394_4633.png,1.0,2.1655867,0.7633255,0.9915485
convnext_large,1,5,NaN,cat,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png,n03041632_48151.png,0.0,0.25102946,0.6977551,-0.31588274
convnext_large,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,4.8505964,0.70848244,2.9289172
convnext_large,1,7,NaN,cat,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png,n02134084_10289.png,0.0,-0.16584973,0.7117245,-0.6205387
convnext_large,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png,n03085013_21967.png,1.0,4.9162483,1.0201402,2.7549646
convnext_large,1,9,NaN,clock,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png,n04111531_5737.png,0.0,-1.8470994,1.2905716,-2.2186685
convnext_large,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png,n02504458_8141.png,1.0,3.6195185,1.040139,1.8238968
convnext_large,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png,n02504458_3153.png,1.0,5.6216335,0.3843033,3.703352
convnext_large,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png,n02134418_5807.png,1.0,5.0880017,2.1341152,2.0887132
convnext_large,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png,n04273569_15322.png,1.0,2.312669,1.343868,0.6850458
convnext_large,1,14,NaN,knife,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png,n03041632_42526.png,1.0,7.790559,0.96871984,4.8237686
convnext_large,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png,n02835271_5886.png,1.0,5.6676493,0.5428734,3.6237638
convnext_large,1,16,NaN,clock,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png,n02110063_869.png,0.0,-0.22366051,1.598328,-1.2883404
convnext_large,1,17,NaN,clock,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png,n03792782_3334.png,0.0,-0.7981673,1.1757957,-1.3958026
convnext_large,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png,n02690373_7355.png,1.0,8.656727,0.26747817,5.932095
convnext_large,1,19,NaN,cat,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png,n01798484_2289.png,0.0,-0.3340097,0.85260695,-0.8390647
convnext_large,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png,n03041632_87380.png,1.0,6.4122357,1.0443449,3.7956722
convnext_large,1,21,NaN,bird,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png,n02027492_15639.png,1.0,0.9455759,0.89590454,0.03512295
convnext_large,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png,n02006656_7153.png,1.0,0.61344296,0.3358341,0.19629912
convnext_large,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png,n04612504_14699.png,1.0,2.8016593,0.83288157,1.3921361
convnext_large,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png,n02134418_5971.png,1.0,3.0008702,0.37254754,1.8585048
convnext_large,1,25,NaN,elephant,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png,n02110063_16680.png,0.0,0.31783172,0.91651046,-0.42332977
convnext_large,1,26,NaN,car,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png,n03100240_6010.png,1.0,5.4657264,2.4457717,2.1354306
convnext_large,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png,n02504458_9835.png,1.0,6.193512,0.4847154,4.036729
convnext_large,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png,n02690373_10207.png,1.0,8.487494,0.4712809,5.6683187
convnext_large,1,29,NaN,bottle,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png,n03983396_5532.png,1.0,0.9034528,0.8018359,0.07185401
convnext_large,1,30,NaN,elephant,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png,n02090622_1485.png,0.0,0.20087746,0.40158737,-0.14192334
convnext_large,1,31,NaN,cat,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png,n03417042_5503.png,0.0,-0.62111497,0.460387,-0.76473737
convnext_large,1,32,NaN,clock,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png,n02133161_897.png,0.0,-0.738427,0.7450204,-1.0489557
convnext_large,1,33,NaN,clock,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png,n04505470_4579.png,0.0,0.43822485,0.5108409,-0.051347297
convnext_large,1,34,NaN,airplane,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png,n01592084_5833.png,0.0,0.21573567,0.44476068,-0.16194513
convnext_large,1,35,NaN,bear,dog,0,0035_ps_dnn_0_dog_10_n02090379_3514.png,n02090379_3514.png,0.0,0.36855552,0.3785898,-0.007095317
convnext_large,1,36,NaN,cat,airplane,180,0036_ps_dnn_180_airplane_10_n02690373_6144.png,n02690373_6144.png,0.0,-0.21626353,0.2767518,-0.34861448
convnext_large,1,37,NaN,airplane,airplane,90,0037_ps_dnn_90_airplane_10_n02690373_1436.png,n02690373_1436.png,1.0,6.4999714,0.2636434,4.40975
convnext_large,1,38,NaN,clock,clock,120,0038_ps_dnn_120_clock_10_n04548280_354.png,n04548280_354.png,1.0,3.6044633,0.70441496,2.050644
convnext_large,1,39,NaN,keyboard,keyboard,0,0039_ps_dnn_0_keyboard_10_n03085013_2189.png,n03085013_2189.png,1.0,4.505756,0.47289807,2.8516612
convnext_large,1,40,NaN,cat,chair,120,0040_ps_dnn_120_chair_10_n04099969_9005.png,n04099969_9005.png,0.0,0.42893684,0.4733915,-0.031434193
convnext_large,1,41,NaN,clock,bicycle,180,0041_ps_dnn_180_bicycle_10_n02835271_7350.png,n02835271_7350.png,0.0,-0.39637715,0.49372554,-0.62939763
convnext_large,1,42,NaN,cat,bottle,150,0042_ps_dnn_150_bottle_10_n04557648_8320.png,n04557648_8320.png,0.0,-0.2524235,0.23596066,-0.34533975
convnext_large,1,43,NaN,dog,dog,0,0043_ps_dnn_0_dog_10_n02105641_6503.png,n02105641_6503.png,1.0,0.33593997,0.3040828,0.022526417
convnext_large,1,44,NaN,clock,clock,90,0044_ps_dnn_90_clock_10_n04548280_6022.png,n04548280_6022.png,1.0,4.67063,0.8134577,2.7274327
convnext_large,1,45,NaN,keyboard,clock,60,0045_ps_dnn_60_clock_10_n03196217_7414.png,n03196217_7414.png,0.0,2.5228777,3.9221308,-0.98942137
