subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png,n03417042_14861.png,1.0,7.362794,1.7715838,3.9535828
resnet50,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,n03085013_25476.png,1.0,11.337038,3.0726883,5.843778
resnet50,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png,n02504013_3087.png,1.0,14.450235,3.879167,7.474874
resnet50,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png,n02123394_4633.png,1.0,5.6088276,3.6823473,1.3622273
resnet50,1,5,NaN,clock,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png,n03041632_48151.png,0.0,1.8335636,1.9934851,-0.1130816
resnet50,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,13.516813,1.8241568,8.267957
resnet50,1,7,NaN,airplane,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png,n02134084_10289.png,0.0,0.679933,1.0675358,-0.27407652
resnet50,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png,n03085013_21967.png,1.0,14.326463,3.9976835,7.30355
resnet50,1,9,NaN,knife,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png,n04111531_5737.png,0.0,-3.2610683,1.9826297,-3.7078545
resnet50,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png,n02504458_8141.png,1.0,6.567033,3.3850555,2.2499979
resnet50,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png,n02504458_3153.png,1.0,11.277809,5.7451496,3.9121811
resnet50,1,12,NaN,elephant,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png,n02134418_5807.png,0.0,2.1057348,2.662354,-0.3935892
resnet50,1,13,NaN,airplane,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png,n04273569_15322.png,0.0,7.4115906,10.127824,-1.9206669
resnet50,1,14,NaN,oven,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png,n03041632_42526.png,0.0,2.9692712,4.251489,-0.906665
resnet50,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png,n02835271_5886.png,1.0,9.627947,2.0213003,5.378711
resnet50,1,16,NaN,knife,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png,n02110063_869.png,0.0,0.77386165,0.94901,-0.1238486
resnet50,1,17,NaN,bottle,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png,n03792782_3334.png,0.0,-0.3595061,0.76075554,-0.79214466
resnet50,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png,n02690373_7355.png,1.0,18.06546,3.1418693,10.552572
resnet50,1,19,NaN,dog,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png,n01798484_2289.png,0.0,-0.2019693,1.120254,-0.9349531
resnet50,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png,n03041632_87380.png,1.0,10.909256,2.3393416,6.0598445
resnet50,1,21,NaN,bird,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png,n02027492_15639.png,1.0,2.2408595,1.0824697,0.8191053
resnet50,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png,n02006656_7153.png,1.0,5.8826966,3.192297,1.9023999
resnet50,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png,n04612504_14699.png,1.0,6.6385956,5.3908405,0.8822961
resnet50,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png,n02134418_5971.png,1.0,8.418018,4.007307,3.118844
resnet50,1,25,NaN,elephant,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png,n02110063_16680.png,0.0,1.6458828,2.8366208,-0.8419789
