subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png,n03417042_14861.png,1.0,8.794212,3.983284,3.4018402
simclr_resnet50x1,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,n03085013_25476.png,1.0,17.848526,4.8713403,9.176256
simclr_resnet50x1,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png,n02504013_3087.png,1.0,22.469322,9.304472,9.308955
simclr_resnet50x1,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png,n02123394_4633.png,1.0,4.293371,2.0683255,1.573345
simclr_resnet50x1,1,5,NaN,cat,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png,n03041632_48151.png,0.0,-1.4973654,1.8550366,-2.3705063
simclr_resnet50x1,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,12.881014,4.1102915,6.2018375
simclr_resnet50x1,1,7,NaN,clock,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png,n02134084_10289.png,0.0,0.6015339,1.5656866,-0.68175894
simclr_resnet50x1,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png,n03085013_21967.png,1.0,17.900734,7.056646,7.667928
simclr_resnet50x1,1,9,NaN,bottle,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png,n04111531_5737.png,0.0,-0.67424095,2.2945235,-2.0992334
simclr_resnet50x1,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png,n02504458_8141.png,1.0,5.230497,1.7962768,2.4283605
simclr_resnet50x1,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png,n02504458_3153.png,1.0,15.9998865,6.5297623,6.696389
simclr_resnet50x1,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png,n02134418_5807.png,1.0,3.751943,2.981365,0.54488105
simclr_resnet50x1,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png,n04273569_15322.png,1.0,8.504068,7.6093717,0.63264614
simclr_resnet50x1,1,14,NaN,knife,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png,n03041632_42526.png,1.0,4.3288484,3.7582126,0.40350044
simclr_resnet50x1,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png,n02835271_5886.png,1.0,9.398752,2.9388897,4.567813
simclr_resnet50x1,1,16,NaN,clock,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png,n02110063_869.png,0.0,-0.49457434,1.8981081,-1.6918821
simclr_resnet50x1,1,17,NaN,clock,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png,n03792782_3334.png,0.0,-1.7400609,1.9212404,-2.588931
simclr_resnet50x1,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png,n02690373_7355.png,1.0,19.71185,6.380426,9.42674
simclr_resnet50x1,1,19,NaN,clock,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png,n01798484_2289.png,0.0,-1.2553444,1.8036666,-2.1630476
simclr_resnet50x1,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png,n03041632_87380.png,1.0,5.512808,3.0724754,1.7255757
simclr_resnet50x1,1,21,NaN,bird,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png,n02027492_15639.png,1.0,3.5531979,2.827961,0.51281995
simclr_resnet50x1,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png,n02006656_7153.png,1.0,5.9460735,5.274439,0.47491744
simclr_resnet50x1,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png,n04612504_14699.png,1.0,4.9178324,3.8683624,0.7420873
