subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png,n03417042_14861.png,1.0,2.0172682,0.41689807,1.1316326
vit_b_16,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,n03085013_25476.png,1.0,6.2913036,0.36952725,4.1873283
vit_b_16,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png,n02504013_3087.png,1.0,8.099175,1.0756541,4.9663796
vit_b_16,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png,n02123394_4633.png,1.0,2.065729,0.41116786,1.1699513
vit_b_16,1,5,NaN,knife,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png,n03041632_48151.png,1.0,1.1197778,0.59157467,0.37349603
vit_b_16,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,5.324591,0.4548891,3.4433992
vit_b_16,1,7,NaN,cat,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png,n02134084_10289.png,0.0,0.78182906,0.853931,-0.05098378
vit_b_16,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png,n03085013_21967.png,1.0,4.717639,0.22770244,3.1748645
vit_b_16,1,9,NaN,clock,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png,n04111531_5737.png,0.0,-1.5584482,1.5113682,-2.170688
vit_b_16,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png,n02504458_8141.png,1.0,3.1804113,0.7533765,1.7161728
vit_b_16,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png,n02504458_3153.png,1.0,6.215745,0.79610705,3.8322625
vit_b_16,1,12,NaN,bear,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png,n02134418_5807.png,1.0,3.3685865,0.77114695,1.8366672
vit_b_16,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png,n04273569_15322.png,1.0,1.6409544,1.0823104,0.39502093
vit_b_16,1,14,NaN,knife,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png,n03041632_42526.png,1.0,6.082568,0.6065763,3.8721108
vit_b_16,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png,n02835271_5886.png,1.0,5.8949046,0.85327905,3.5649676
vit_b_16,1,16,NaN,knife,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png,n02110063_869.png,0.0,0.08635528,1.2685007,-0.835903
vit_b_16,1,17,NaN,clock,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png,n03792782_3334.png,0.0,-0.69968617,1.1744658,-1.3252256
vit_b_16,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png,n02690373_7355.png,1.0,8.831487,0.15994474,6.131706
vit_b_16,1,19,NaN,cat,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png,n01798484_2289.png,0.0,0.22094347,0.70558316,-0.34269202
vit_b_16,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png,n03041632_87380.png,1.0,6.2704015,1.5764651,3.3191142
vit_b_16,1,21,NaN,bird,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png,n02027492_15639.png,1.0,1.6609954,0.3843335,0.9027363
vit_b_16,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png,n02006656_7153.png,1.0,0.60860056,0.30367562,0.2156145
vit_b_16,1,23,NaN,boat,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png,n04612504_14699.png,1.0,2.5218296,0.35897696,1.5293679
vit_b_16,1,24,NaN,bear,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png,n02134418_5971.png,1.0,6.2111225,0.5023281,4.0367274
vit_b_16,1,25,NaN,bear,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png,n02110063_16680.png,0.0,0.8028098,1.3774288,-0.406317
vit_b_16,1,26,NaN,car,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png,n03100240_6010.png,1.0,6.486946,2.98558,2.4758399
vit_b_16,1,27,NaN,elephant,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png,n02504458_9835.png,1.0,7.0299063,0.23143435,4.8072457
vit_b_16,1,28,NaN,airplane,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png,n02690373_10207.png,1.0,8.852511,0.085506134,6.1992087
vit_b_16,1,29,NaN,knife,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png,n03983396_5532.png,0.0,0.67566013,2.360775,-1.1915562
vit_b_16,1,30,NaN,elephant,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png,n02090622_1485.png,0.0,0.13076474,0.20371364,-0.051582664
vit_b_16,1,31,NaN,knife,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png,n03417042_5503.png,0.0,-1.1910486,1.2207532,-1.7054014
vit_b_16,1,32,NaN,knife,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png,n02133161_897.png,0.0,0.7803489,1.7105511,-0.65775234
vit_b_16,1,33,NaN,clock,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png,n04505470_4579.png,0.0,0.611199,2.1537619,-1.0907567
vit_b_16,1,34,NaN,bicycle,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png,n01592084_5833.png,0.0,0.1379692,0.3441757,-0.14581002
vit_b_16,1,35,NaN,elephant,dog,0,0035_ps_dnn_0_dog_10_n02090379_3514.png,n02090379_3514.png,0.0,0.02796636,0.6606213,-0.44735458
vit_b_16,1,36,NaN,knife,airplane,180,0036_ps_dnn_180_airplane_10_n02690373_6144.png,n02690373_6144.png,0.0,0.296265,1.6135614,-0.9314692
