subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe0,1,1,NaN,clock,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png,n03196217_10246.png,1.0,3.0737207,2.626459,0.31626186
alexnet_w1_mlp_simclrhn_probe0,1,2,NaN,cat,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png,n02091467_7264.png,0.0,-2.0487359,-0.32797423,-1.2167623
alexnet_w1_mlp_simclrhn_probe0,1,3,NaN,oven,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png,n02791124_713.png,0.0,-6.906845,-2.155021,-3.3600473
alexnet_w1_mlp_simclrhn_probe0,1,4,NaN,car,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png,n02814533_35174.png,1.0,2.1410162,0.96172607,0.8338841
alexnet_w1_mlp_simclrhn_probe0,1,5,NaN,oven,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png,n03041632_46103.png,0.0,-5.570638,-2.1732616,-2.402308
alexnet_w1_mlp_simclrhn_probe0,1,6,NaN,bicycle,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,n03792782_11306.png,1.0,6.2737865,-6.912262,9.323944
alexnet_w1_mlp_simclrhn_probe0,1,7,NaN,bird,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png,n02002556_3463.png,1.0,-0.12336213,-4.803243,3.3091757
alexnet_w1_mlp_simclrhn_probe0,1,8,NaN,oven,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png,n03085013_22813.png,0.0,-11.20076,-1.1716771,-7.091633
alexnet_w1_mlp_simclrhn_probe0,1,9,NaN,bird,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png,n02025239_2961.png,1.0,-1.8796072,-6.6762204,3.3917177
alexnet_w1_mlp_simclrhn_probe0,1,10,NaN,oven,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png,n02951358_14504.png,0.0,-4.6653395,0.2760255,-3.4940727
alexnet_w1_mlp_simclrhn_probe0,1,11,NaN,oven,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png,n04111531_19000.png,1.0,-0.8184705,-3.7655678,2.0839126
alexnet_w1_mlp_simclrhn_probe0,1,12,NaN,bird,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png,n01614925_11281.png,1.0,-4.5694118,-5.008627,0.31057203
alexnet_w1_mlp_simclrhn_probe0,1,13,NaN,knife,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png,n03041632_52040.png,1.0,-1.4771233,-2.8087711,0.94161725
alexnet_w1_mlp_simclrhn_probe0,1,14,NaN,oven,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png,n03100240_14206.png,0.0,-5.774321,-4.2619615,-1.0693997
