subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,clock,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png,n03196217_10246.png,1.0,8.615081,8.455876,0.11257457
alexnet,1,2,NaN,cat,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png,n02091467_7264.png,0.0,3.468644,4.865498,-0.9877251
alexnet,1,3,NaN,chair,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png,n02791124_713.png,1.0,3.9498878,2.6753392,0.9012419
alexnet,1,4,NaN,car,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png,n02814533_35174.png,1.0,10.219663,8.742845,1.0442681
alexnet,1,5,NaN,chair,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png,n03041632_46103.png,0.0,1.059016,2.8476985,-1.2647895
alexnet,1,6,NaN,bicycle,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,n03792782_11306.png,1.0,14.397019,3.5782385,7.6500335
alexnet,1,7,NaN,bird,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png,n02002556_3463.png,1.0,6.9298143,4.1099086,1.9939746
alexnet,1,8,NaN,oven,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png,n03085013_22813.png,0.0,-1.1453546,3.7912142,-3.4906812
alexnet,1,9,NaN,bird,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png,n02025239_2961.png,1.0,6.145392,0.91136664,3.701015
alexnet,1,10,NaN,oven,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png,n02951358_14504.png,0.0,1.6429186,4.24012,-1.8364987
alexnet,1,11,NaN,oven,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png,n04111531_19000.png,1.0,6.7920747,5.2109766,1.1180052
alexnet,1,12,NaN,bear,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png,n01614925_11281.png,0.0,2.585825,4.8203745,-1.5800651
alexnet,1,13,NaN,knife,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png,n03041632_52040.png,1.0,11.6128645,4.13923,5.284658
alexnet,1,14,NaN,car,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png,n03100240_14206.png,1.0,5.890372,5.3457184,0.38512814
alexnet,1,15,NaN,elephant,bird,0,0015_pow_dnn_0_bird_35_n01817953_689.png,n01817953_689.png,0.0,-1.4499767,4.517083,-4.219349
alexnet,1,16,NaN,chair,chair,pow,0016_pow_dnn_pow_chair_35_n04099969_7934.png,n04099969_7934.png,1.0,5.4022627,3.7797186,1.1473119
alexnet,1,17,NaN,knife,knife,0,0017_pow_dnn_0_knife_35_n03041632_30196.png,n03041632_30196.png,1.0,9.323368,3.434066,4.164366
alexnet,1,18,NaN,car,car,0,0018_pow_dnn_0_car_35_n02814533_18077.png,n02814533_18077.png,1.0,13.904935,8.007261,4.170285
alexnet,1,19,NaN,cat,cat,0,0019_pow_dnn_0_cat_35_n02123159_6927.png,n02123159_6927.png,1.0,6.893188,3.3531735,2.5031683
alexnet,1,20,NaN,elephant,bird,pow,0020_pow_dnn_pow_bird_35_n01855672_8550.png,n01855672_8550.png,0.0,0.50195545,3.9863663,-2.4638505
alexnet,1,21,NaN,truck,truck,0,0021_pow_dnn_0_truck_35_n03417042_17888.png,n03417042_17888.png,1.0,14.206558,6.410946,5.5123305
alexnet,1,22,NaN,oven,truck,pow,0022_pow_dnn_pow_truck_35_n04467665_45611.png,n04467665_45611.png,0.0,0.90737903,4.2859163,-2.3889866
alexnet,1,23,NaN,elephant,dog,pow,0023_pow_dnn_pow_dog_35_n02093256_1772.png,n02093256_1772.png,0.0,-0.893533,3.6250122,-3.1950939
alexnet,1,24,NaN,boat,boat,pow,0024_pow_dnn_pow_boat_35_n03344393_6260.png,n03344393_6260.png,1.0,2.976963,2.8958147,0.057380576
alexnet,1,25,NaN,airplane,chair,0,0025_pow_dnn_0_chair_35_n04429376_24073.png,n04429376_24073.png,0.0,3.1693711,4.2140326,-0.7386873
alexnet,1,26,NaN,knife,knife,0,0026_pow_dnn_0_knife_35_n03041632_29355.png,n03041632_29355.png,1.0,7.5962634,4.603865,2.115945
alexnet,1,27,NaN,clock,clock,0,0027_pow_dnn_0_clock_35_n03196217_5907.png,n03196217_5907.png,1.0,8.119685,7.0907373,0.727576
alexnet,1,28,NaN,airplane,airplane,0,0028_pow_dnn_0_airplane_35_n02690373_7276.png,n02690373_7276.png,1.0,28.815926,7.771029,14.88099
alexnet,1,29,NaN,bicycle,bicycle,pow,0029_pow_dnn_pow_bicycle_35_n03792782_15561.png,n03792782_15561.png,1.0,8.176994,4.575767,2.5464523
alexnet,1,30,NaN,cat,cat,0,0030_pow_dnn_0_cat_35_n02123045_3505.png,n02123045_3505.png,1.0,9.394317,3.547034,4.134653
alexnet,1,31,NaN,knife,knife,0,0031_pow_dnn_0_knife_35_n03041632_34769.png,n03041632_34769.png,1.0,6.7741494,4.887308,1.3341984
alexnet,1,32,NaN,chair,clock,pow,0032_pow_dnn_pow_clock_35_n03196217_5206.png,n03196217_5206.png,0.0,2.3763547,4.48974,-1.494389
alexnet,1,33,NaN,truck,truck,0,0033_pow_dnn_0_truck_35_n04467665_58815.png,n04467665_58815.png,1.0,12.561443,9.725156,2.0055583
alexnet,1,34,NaN,bird,bird,0,0034_pow_dnn_0_bird_35_n01616318_2186.png,n01616318_2186.png,1.0,10.560294,2.1945405,5.915481
alexnet,1,35,NaN,elephant,bicycle,pow,0035_pow_dnn_pow_bicycle_35_n03792782_12885.png,n03792782_12885.png,0.0,2.5884266,4.1811895,-1.1262535
alexnet,1,36,NaN,boat,airplane,pow,0036_pow_dnn_pow_airplane_35_n02690373_9264.png,n02690373_9264.png,0.0,3.2081535,4.909021,-1.2026949
alexnet,1,37,NaN,chair,chair,0,0037_pow_dnn_0_chair_35_n04099969_16079.png,n04099969_16079.png,1.0,9.528423,4.0186353,3.8960085
alexnet,1,38,NaN,bicycle,bicycle,0,0038_pow_dnn_0_bicycle_35_n02835271_3027.png,n02835271_3027.png,1.0,9.781541,4.570554,3.6847243
alexnet,1,39,NaN,airplane,airplane,0,0039_pow_dnn_0_airplane_35_n02690373_6614.png,n02690373_6614.png,1.0,24.741137,4.9626904,13.985474
alexnet,1,40,NaN,bicycle,chair,pow,0040_pow_dnn_pow_chair_35_n03376595_9048.png,n03376595_9048.png,0.0,4.9861813,7.275667,-1.618911
alexnet,1,41,NaN,oven,oven,0,0041_pow_dnn_0_oven_35_n04111531_6094.png,n04111531_6094.png,1.0,7.5898795,5.371409,1.5686957
alexnet,1,42,NaN,clock,clock,pow,0042_pow_dnn_pow_clock_35_n02708093_687.png,n02708093_687.png,1.0,13.580246,4.601384,6.3490143
alexnet,1,43,NaN,bicycle,bicycle,pow,0043_pow_dnn_pow_bicycle_35_n03792782_14931.png,n03792782_14931.png,1.0,9.899147,3.0214186,4.8632884
alexnet,1,44,NaN,keyboard,bottle,0,0044_pow_dnn_0_bottle_35_n03937543_5567.png,n03937543_5567.png,0.0,6.0316625,6.5623846,-0.37527722
alexnet,1,45,NaN,car,car,0,0045_pow_dnn_0_car_35_n03100240_3073.png,n03100240_3073.png,1.0,18.053423,8.749144,6.579119
alexnet,1,46,NaN,knife,knife,0,0046_pow_dnn_0_knife_35_n03041632_18236.png,n03041632_18236.png,1.0,6.199577,3.0589302,2.2207725
alexnet,1,47,NaN,clock,knife,pow,0047_pow_dnn_pow_knife_35_n03041632_9302.png,n03041632_9302.png,0.0,2.2100208,5.3901076,-2.248661
alexnet,1,48,NaN,bear,bear,0,0048_pow_dnn_0_bear_35_n02134418_2590.png,n02134418_2590.png,1.0,18.301199,5.4958405,9.054756
alexnet,1,49,NaN,bottle,bottle,0,0049_pow_dnn_0_bottle_35_n03983396_24837.png,n03983396_24837.png,1.0,8.993301,7.6636524,0.94020385
alexnet,1,50,NaN,knife,knife,pow,0050_pow_dnn_pow_knife_35_n03041632_3617.png,n03041632_3617.png,1.0,7.199886,4.88251,1.638632
alexnet,1,51,NaN,clock,bicycle,pow,0051_pow_dnn_pow_bicycle_35_n03792782_6735.png,n03792782_6735.png,0.0,3.0052469,3.6687024,-0.46913388
alexnet,1,52,NaN,car,car,0,0052_pow_dnn_0_car_35_n03100240_5387.png,n03100240_5387.png,1.0,16.737219,8.406952,5.8903885
alexnet,1,53,NaN,chair,bottle,0,0053_pow_dnn_0_bottle_35_n03983396_4879.png,n03983396_4879.png,0.0,4.1029615,6.0498023,-1.3766243
