subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,clock,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png,n03196217_10246.png,1.0,34.20049,6.082908,19.882132
bagnet33,1,2,NaN,cat,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png,n02091467_7264.png,0.0,0.14218499,3.0141351,-2.0307755
bagnet33,1,3,NaN,oven,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png,n02791124_713.png,0.0,2.7277086,5.9453526,-2.275218
bagnet33,1,4,NaN,car,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png,n02814533_35174.png,1.0,10.742902,9.938826,0.56856775
bagnet33,1,5,NaN,knife,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png,n03041632_46103.png,1.0,3.983716,3.4102118,0.40552872
bagnet33,1,6,NaN,bicycle,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,n03792782_11306.png,1.0,21.344574,8.221554,9.279377
bagnet33,1,7,NaN,bird,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png,n02002556_3463.png,1.0,8.857322,4.960573,2.7554173
bagnet33,1,8,NaN,airplane,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png,n03085013_22813.png,0.0,0.3364752,2.4604316,-1.5018641
bagnet33,1,9,NaN,bird,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png,n02025239_2961.png,1.0,9.612925,1.1456518,5.987266
bagnet33,1,10,NaN,oven,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png,n02951358_14504.png,0.0,0.98760813,3.6188622,-1.8605776
bagnet33,1,11,NaN,airplane,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png,n04111531_19000.png,0.0,4.8225913,7.258789,-1.722652
bagnet33,1,12,NaN,bird,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png,n01614925_11281.png,1.0,5.346627,4.46194,0.6255685
bagnet33,1,13,NaN,knife,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png,n03041632_52040.png,1.0,7.627101,6.733847,0.63162583
bagnet33,1,14,NaN,airplane,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png,n03100240_14206.png,0.0,1.472557,4.3625474,-2.043532
bagnet33,1,15,NaN,elephant,bird,0,0015_pow_dnn_0_bird_35_n01817953_689.png,n01817953_689.png,0.0,-0.051149428,4.897007,-3.498875
bagnet33,1,16,NaN,oven,chair,pow,0016_pow_dnn_pow_chair_35_n04099969_7934.png,n04099969_7934.png,0.0,3.2879212,5.078607,-1.2662061
bagnet33,1,17,NaN,knife,knife,0,0017_pow_dnn_0_knife_35_n03041632_30196.png,n03041632_30196.png,1.0,8.351031,1.9165063,4.5498962
