subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,clock,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png,n03196217_10246.png,1.0,22.142359,4.7398353,12.305442
resnet50,1,2,NaN,cat,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png,n02091467_7264.png,0.0,2.7082982,4.4921527,-1.2613757
resnet50,1,3,NaN,chair,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png,n02791124_713.png,1.0,5.050583,3.055241,1.4109198
resnet50,1,4,NaN,car,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png,n02814533_35174.png,1.0,6.5755253,5.206096,0.96833265
resnet50,1,5,NaN,clock,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png,n03041632_46103.png,0.0,2.4778845,4.0608954,-1.1193578
resnet50,1,6,NaN,bicycle,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,n03792782_11306.png,1.0,15.054193,2.296055,9.021366
resnet50,1,7,NaN,bird,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png,n02002556_3463.png,1.0,4.464468,1.0810857,2.3924127
resnet50,1,8,NaN,chair,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png,n03085013_22813.png,0.0,2.753958,3.3292434,-0.40678823
resnet50,1,9,NaN,bird,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png,n02025239_2961.png,1.0,3.6460788,1.6729802,1.3951914
resnet50,1,10,NaN,oven,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png,n02951358_14504.png,0.0,1.3372805,2.9820728,-1.1630439
resnet50,1,11,NaN,oven,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png,n04111531_19000.png,1.0,9.913742,4.3407764,3.940682
resnet50,1,12,NaN,bird,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png,n01614925_11281.png,1.0,4.6079288,1.9058319,1.9106711
resnet50,1,13,NaN,knife,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png,n03041632_52040.png,1.0,15.229338,4.6580153,7.475054
resnet50,1,14,NaN,oven,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png,n03100240_14206.png,0.0,2.4204714,3.964753,-1.0919719
resnet50,1,15,NaN,knife,bird,0,0015_pow_dnn_0_bird_35_n01817953_689.png,n01817953_689.png,0.0,-0.20725812,3.3619533,-2.5238137
resnet50,1,16,NaN,chair,chair,pow,0016_pow_dnn_pow_chair_35_n04099969_7934.png,n04099969_7934.png,1.0,4.3583407,2.8565552,1.0619228
resnet50,1,17,NaN,knife,knife,0,0017_pow_dnn_0_knife_35_n03041632_30196.png,n03041632_30196.png,1.0,16.42412,2.7255409,9.686358
resnet50,1,18,NaN,car,car,0,0018_pow_dnn_0_car_35_n02814533_18077.png,n02814533_18077.png,1.0,9.130008,5.5741186,2.5143933
resnet50,1,19,NaN,cat,cat,0,0019_pow_dnn_0_cat_35_n02123159_6927.png,n02123159_6927.png,1.0,8.316195,3.1350853,3.6635976
resnet50,1,20,NaN,bird,bird,pow,0020_pow_dnn_pow_bird_35_n01855672_8550.png,n01855672_8550.png,1.0,2.5394106,1.1609825,0.97469586
resnet50,1,21,NaN,truck,truck,0,0021_pow_dnn_0_truck_35_n03417042_17888.png,n03417042_17888.png,1.0,8.519321,3.6688218,3.4298213
resnet50,1,22,NaN,elephant,truck,pow,0022_pow_dnn_pow_truck_35_n04467665_45611.png,n04467665_45611.png,0.0,1.1476433,3.4857507,-1.6532916
resnet50,1,23,NaN,knife,dog,pow,0023_pow_dnn_pow_dog_35_n02093256_1772.png,n02093256_1772.png,0.0,-1.1221635,4.7135854,-4.1264977
resnet50,1,24,NaN,clock,boat,pow,0024_pow_dnn_pow_boat_35_n03344393_6260.png,n03344393_6260.png,0.0,3.1760116,4.3045635,-0.7980068
resnet50,1,25,NaN,knife,chair,0,0025_pow_dnn_0_chair_35_n04429376_24073.png,n04429376_24073.png,0.0,3.8681169,5.0998535,-0.87096936
resnet50,1,26,NaN,knife,knife,0,0026_pow_dnn_0_knife_35_n03041632_29355.png,n03041632_29355.png,1.0,9.962936,1.9213165,5.6862845
resnet50,1,27,NaN,clock,clock,0,0027_pow_dnn_0_clock_35_n03196217_5907.png,n03196217_5907.png,1.0,15.406048,3.3498392,8.525027
resnet50,1,28,NaN,airplane,airplane,0,0028_pow_dnn_0_airplane_35_n02690373_7276.png,n02690373_7276.png,1.0,16.539223,3.099366,9.503414
resnet50,1,29,NaN,bicycle,bicycle,pow,0029_pow_dnn_pow_bicycle_35_n03792782_15561.png,n03792782_15561.png,1.0,8.507242,5.1035075,2.4068038
resnet50,1,30,NaN,cat,cat,0,0030_pow_dnn_0_cat_35_n02123045_3505.png,n02123045_3505.png,1.0,8.596362,3.938691,3.2934709
resnet50,1,31,NaN,knife,knife,0,0031_pow_dnn_0_knife_35_n03041632_34769.png,n03041632_34769.png,1.0,8.190831,7.181241,0.71388805
resnet50,1,32,NaN,chair,clock,pow,0032_pow_dnn_pow_clock_35_n03196217_5206.png,n03196217_5206.png,0.0,2.9831076,3.3148239,-0.23455885
resnet50,1,33,NaN,truck,truck,0,0033_pow_dnn_0_truck_35_n04467665_58815.png,n04467665_58815.png,1.0,11.832813,5.2633734,4.6452956
resnet50,1,34,NaN,bird,bird,0,0034_pow_dnn_0_bird_35_n01616318_2186.png,n01616318_2186.png,1.0,4.907226,2.5603733,1.6594756
resnet50,1,35,NaN,bicycle,bicycle,pow,0035_pow_dnn_pow_bicycle_35_n03792782_12885.png,n03792782_12885.png,1.0,2.0607493,1.991745,0.04879341
resnet50,1,36,NaN,boat,airplane,pow,0036_pow_dnn_pow_airplane_35_n02690373_9264.png,n02690373_9264.png,0.0,3.1884427,5.3779345,-1.5482045
resnet50,1,37,NaN,chair,chair,0,0037_pow_dnn_0_chair_35_n04099969_16079.png,n04099969_16079.png,1.0,8.918751,3.8032296,3.61722
resnet50,1,38,NaN,bicycle,bicycle,0,0038_pow_dnn_0_bicycle_35_n02835271_3027.png,n02835271_3027.png,1.0,12.104832,4.648797,5.272213
resnet50,1,39,NaN,airplane,airplane,0,0039_pow_dnn_0_airplane_35_n02690373_6614.png,n02690373_6614.png,1.0,20.253386,4.0046663,11.489579
resnet50,1,40,NaN,chair,chair,pow,0040_pow_dnn_pow_chair_35_n03376595_9048.png,n03376595_9048.png,1.0,3.6007085,2.32845,0.8996226
resnet50,1,41,NaN,oven,oven,0,0041_pow_dnn_0_oven_35_n04111531_6094.png,n04111531_6094.png,1.0,10.788925,4.9545116,4.1255536
resnet50,1,42,NaN,clock,clock,pow,0042_pow_dnn_pow_clock_35_n02708093_687.png,n02708093_687.png,1.0,10.935127,1.8690866,6.4106593
resnet50,1,43,NaN,bicycle,bicycle,pow,0043_pow_dnn_pow_bicycle_35_n03792782_14931.png,n03792782_14931.png,1.0,7.7364683,2.6989708,3.5620487
resnet50,1,44,NaN,bottle,bottle,0,0044_pow_dnn_0_bottle_35_n03937543_5567.png,n03937543_5567.png,1.0,11.521972,3.1436768,5.9243493
resnet50,1,45,NaN,car,car,0,0045_pow_dnn_0_car_35_n03100240_3073.png,n03100240_3073.png,1.0,15.072342,4.74533,7.3023005
resnet50,1,46,NaN,knife,knife,0,0046_pow_dnn_0_knife_35_n03041632_18236.png,n03041632_18236.png,1.0,7.8554683,3.812163,2.8590486
resnet50,1,47,NaN,clock,knife,pow,0047_pow_dnn_pow_knife_35_n03041632_9302.png,n03041632_9302.png,0.0,3.7435875,4.2535763,-0.36061653
resnet50,1,48,NaN,bear,bear,0,0048_pow_dnn_0_bear_35_n02134418_2590.png,n02134418_2590.png,1.0,15.59737,4.085467,8.140145
resnet50,1,49,NaN,bottle,bottle,0,0049_pow_dnn_0_bottle_35_n03983396_24837.png,n03983396_24837.png,1.0,11.916029,2.8424997,6.415954
