subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,clock,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png,n03196217_10246.png,1.0,17.098333,5.2887926,8.350607
simclr_resnet50x1,1,2,NaN,cat,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png,n02091467_7264.png,0.0,3.1228,3.9255,-0.56759447
simclr_resnet50x1,1,3,NaN,chair,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png,n02791124_713.png,1.0,3.5897856,3.158207,0.30517218
simclr_resnet50x1,1,4,NaN,car,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png,n02814533_35174.png,1.0,5.059862,4.870371,0.13399057
simclr_resnet50x1,1,5,NaN,knife,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png,n03041632_46103.png,1.0,3.2501748,1.2388351,1.4222319
simclr_resnet50x1,1,6,NaN,bicycle,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,n03792782_11306.png,1.0,13.719378,9.471422,3.0037587
simclr_resnet50x1,1,7,NaN,bird,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png,n02002556_3463.png,1.0,6.0400696,2.2367473,2.6893551
simclr_resnet50x1,1,8,NaN,knife,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png,n03085013_22813.png,0.0,0.90769154,2.7482374,-1.3014625
simclr_resnet50x1,1,9,NaN,bird,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png,n02025239_2961.png,1.0,5.6949816,2.582551,2.2008207
simclr_resnet50x1,1,10,NaN,oven,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png,n02951358_14504.png,0.0,-0.24812213,3.9954443,-3.0006547
simclr_resnet50x1,1,11,NaN,oven,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png,n04111531_19000.png,1.0,10.059458,3.5831451,4.579445
simclr_resnet50x1,1,12,NaN,bird,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png,n01614925_11281.png,1.0,5.7823124,3.4599411,1.6421645
simclr_resnet50x1,1,13,NaN,knife,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png,n03041632_52040.png,1.0,12.74877,2.9590118,6.9224043
