subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,clock,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png,n03196217_10246.png,1.0,5.481647,0.25026968,3.6991422
vit_b_16,1,2,NaN,elephant,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png,n02091467_7264.png,0.0,0.09947043,1.1975946,-0.7764911
vit_b_16,1,3,NaN,clock,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png,n02791124_713.png,0.0,0.8351469,0.9258532,-0.06413903
vit_b_16,1,4,NaN,truck,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png,n02814533_35174.png,0.0,1.8006426,3.2946162,-1.0563989
vit_b_16,1,5,NaN,knife,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png,n03041632_46103.png,1.0,3.3231068,0.84322715,1.7535397
vit_b_16,1,6,NaN,bicycle,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,n03792782_11306.png,1.0,7.1041584,0.42667097,4.721697
vit_b_16,1,7,NaN,bird,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png,n02002556_3463.png,1.0,0.43402192,0.35745448,0.054141358
vit_b_16,1,8,NaN,knife,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png,n03085013_22813.png,0.0,0.025068805,2.2040439,-1.5407681
vit_b_16,1,9,NaN,bird,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png,n02025239_2961.png,1.0,0.18559761,0.17206402,0.009569695
vit_b_16,1,10,NaN,boat,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png,n02951358_14504.png,1.0,2.5661447,1.7047838,0.6090742
vit_b_16,1,11,NaN,oven,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png,n04111531_19000.png,1.0,5.6952972,1.3514141,3.0715892
vit_b_16,1,12,NaN,airplane,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png,n01614925_11281.png,0.0,0.30053124,0.35610563,-0.039297026
vit_b_16,1,13,NaN,knife,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png,n03041632_52040.png,1.0,10.21841,0.23975618,7.0559735
vit_b_16,1,14,NaN,car,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png,n03100240_14206.png,1.0,5.603314,0.73778594,3.440448
vit_b_16,1,15,NaN,elephant,bird,0,0015_pow_dnn_0_bird_35_n01817953_689.png,n01817953_689.png,0.0,-0.281897,0.6411209,-0.65267223
vit_b_16,1,16,NaN,chair,chair,pow,0016_pow_dnn_pow_chair_35_n04099969_7934.png,n04099969_7934.png,1.0,4.5044875,0.6766677,2.7066774
vit_b_16,1,17,NaN,knife,knife,0,0017_pow_dnn_0_knife_35_n03041632_30196.png,n03041632_30196.png,1.0,9.76719,0.5018716,6.5515695
vit_b_16,1,18,NaN,car,car,0,0018_pow_dnn_0_car_35_n02814533_18077.png,n02814533_18077.png,1.0,4.8348765,2.663611,1.5353167
vit_b_16,1,19,NaN,cat,cat,0,0019_pow_dnn_0_cat_35_n02123159_6927.png,n02123159_6927.png,1.0,4.036197,1.4056871,1.8600515
vit_b_16,1,20,NaN,oven,bird,pow,0020_pow_dnn_pow_bird_35_n01855672_8550.png,n01855672_8550.png,0.0,0.13801135,0.3555645,-0.15383331
vit_b_16,1,21,NaN,truck,truck,0,0021_pow_dnn_0_truck_35_n03417042_17888.png,n03417042_17888.png,1.0,1.5912967,0.2699576,0.9343279
vit_b_16,1,22,NaN,truck,truck,pow,0022_pow_dnn_pow_truck_35_n04467665_45611.png,n04467665_45611.png,1.0,2.1068857,1.0081816,0.7769011
vit_b_16,1,23,NaN,elephant,dog,pow,0023_pow_dnn_pow_dog_35_n02093256_1772.png,n02093256_1772.png,0.0,-0.2350816,2.613422,-2.0141962
vit_b_16,1,24,NaN,boat,boat,pow,0024_pow_dnn_pow_boat_35_n03344393_6260.png,n03344393_6260.png,1.0,1.851846,0.73344576,0.7908284
vit_b_16,1,25,NaN,chair,chair,0,0025_pow_dnn_0_chair_35_n04429376_24073.png,n04429376_24073.png,1.0,1.8542135,1.4367113,0.29521862
vit_b_16,1,26,NaN,knife,knife,0,0026_pow_dnn_0_knife_35_n03041632_29355.png,n03041632_29355.png,1.0,8.965218,0.34777832,6.09345
vit_b_16,1,27,NaN,clock,clock,0,0027_pow_dnn_0_clock_35_n03196217_5907.png,n03196217_5907.png,1.0,5.66476,0.74562305,3.4783552
vit_b_16,1,28,NaN,airplane,airplane,0,0028_pow_dnn_0_airplane_35_n02690373_7276.png,n02690373_7276.png,1.0,8.966387,0.25043198,6.1631107
vit_b_16,1,29,NaN,bicycle,bicycle,pow,0029_pow_dnn_pow_bicycle_35_n03792782_15561.png,n03792782_15561.png,1.0,7.1312017,0.53410816,4.6648498
vit_b_16,1,30,NaN,cat,cat,0,0030_pow_dnn_0_cat_35_n02123045_3505.png,n02123045_3505.png,1.0,3.975775,0.36400267,2.5539088
vit_b_16,1,31,NaN,knife,knife,0,0031_pow_dnn_0_knife_35_n03041632_34769.png,n03041632_34769.png,1.0,6.819981,2.752171,2.8763762
vit_b_16,1,32,NaN,clock,clock,pow,0032_pow_dnn_pow_clock_35_n03196217_5206.png,n03196217_5206.png,1.0,1.4280144,1.2901199,0.09750614
vit_b_16,1,33,NaN,truck,truck,0,0033_pow_dnn_0_truck_35_n04467665_58815.png,n04467665_58815.png,1.0,2.5707226,0.62439406,1.3762621
vit_b_16,1,34,NaN,keyboard,bird,0,0034_pow_dnn_0_bird_35_n01616318_2186.png,n01616318_2186.png,0.0,-0.07404925,0.2529858,-0.23124872
vit_b_16,1,35,NaN,bicycle,bicycle,pow,0035_pow_dnn_pow_bicycle_35_n03792782_12885.png,n03792782_12885.png,1.0,5.3708076,0.4175103,3.50251
vit_b_16,1,36,NaN,airplane,airplane,pow,0036_pow_dnn_pow_airplane_35_n02690373_9264.png,n02690373_9264.png,1.0,6.530382,0.7281192,4.1028194
vit_b_16,1,37,NaN,chair,chair,0,0037_pow_dnn_0_chair_35_n04099969_16079.png,n04099969_16079.png,1.0,3.7927954,0.7981909,2.1175053
vit_b_16,1,38,NaN,bicycle,bicycle,0,0038_pow_dnn_0_bicycle_35_n02835271_3027.png,n02835271_3027.png,1.0,5.378332,0.71644557,3.2964518
vit_b_16,1,39,NaN,airplane,airplane,0,0039_pow_dnn_0_airplane_35_n02690373_6614.png,n02690373_6614.png,1.0,9.075676,0.21313292,6.2667646
vit_b_16,1,40,NaN,chair,chair,pow,0040_pow_dnn_pow_chair_35_n03376595_9048.png,n03376595_9048.png,1.0,3.0108213,1.9248391,0.7679054
vit_b_16,1,41,NaN,oven,oven,0,0041_pow_dnn_0_oven_35_n04111531_6094.png,n04111531_6094.png,1.0,5.4166102,1.0413662,3.0937648
vit_b_16,1,42,NaN,clock,clock,pow,0042_pow_dnn_pow_clock_35_n02708093_687.png,n02708093_687.png,1.0,5.772573,1.2154279,3.2223883
vit_b_16,1,43,NaN,bicycle,bicycle,pow,0043_pow_dnn_pow_bicycle_35_n03792782_14931.png,n03792782_14931.png,1.0,7.405598,0.41907167,4.9402204
vit_b_16,1,44,NaN,bottle,bottle,0,0044_pow_dnn_0_bottle_35_n03937543_5567.png,n03937543_5567.png,1.0,0.79931945,0.47279936,0.23088457
vit_b_16,1,45,NaN,car,car,0,0045_pow_dnn_0_car_35_n03100240_3073.png,n03100240_3073.png,1.0,6.9238663,0.40440184,4.6099577
vit_b_16,1,46,NaN,knife,knife,0,0046_pow_dnn_0_knife_35_n03041632_18236.png,n03041632_18236.png,1.0,6.7685075,1.0113064,4.070956
vit_b_16,1,47,NaN,knife,knife,pow,0047_pow_dnn_pow_knife_35_n03041632_9302.png,n03041632_9302.png,1.0,3.8888178,0.54706323,2.3629773
vit_b_16,1,48,NaN,bear,bear,0,0048_pow_dnn_0_bear_35_n02134418_2590.png,n02134418_2590.png,1.0,4.4097476,0.12416776,3.0303626
vit_b_16,1,49,NaN,bottle,bottle,0,0049_pow_dnn_0_bottle_35_n03983396_24837.png,n03983396_24837.png,1.0,4.0667377,0.52203417,2.506484
vit_b_16,1,50,NaN,knife,knife,pow,0050_pow_dnn_pow_knife_35_n03041632_3617.png,n03041632_3617.png,1.0,7.586417,0.5894983,4.947569
vit_b_16,1,51,NaN,bicycle,bicycle,pow,0051_pow_dnn_pow_bicycle_35_n03792782_6735.png,n03792782_6735.png,1.0,6.519506,1.7863431,3.3468516
vit_b_16,1,52,NaN,car,car,0,0052_pow_dnn_0_car_35_n03100240_5387.png,n03100240_5387.png,1.0,5.647606,0.42531118,3.6927202
vit_b_16,1,53,NaN,chair,bottle,0,0053_pow_dnn_0_bottle_35_n03983396_4879.png,n03983396_4879.png,0.0,1.8089594,4.3261228,-1.7799033
vit_b_16,1,54,NaN,car,car,0,0054_pow_dnn_0_car_35_n03100240_6103.png,n03100240_6103.png,1.0,7.3643184,0.448943,4.889909
vit_b_16,1,55,NaN,bear,bird,pow,0055_pow_dnn_pow_bird_35_n01796340_9255.png,n01796340_9255.png,0.0,0.46180806,1.5706736,-0.78408635
vit_b_16,1,56,NaN,cat,cat,pow,0056_pow_dnn_pow_cat_35_n02123394_2448.png,n02123394_2448.png,1.0,1.9603914,0.9408454,0.72092795
vit_b_16,1,57,NaN,car,car,0,0057_pow_dnn_0_car_35_n04285008_13174.png,n04285008_13174.png,1.0,5.762169,1.3814869,3.09761
vit_b_16,1,58,NaN,chair,chair,pow,0058_pow_dnn_pow_chair_35_n04429376_353.png,n04429376_353.png,1.0,2.6999364,1.9944663,0.4988427
vit_b_16,1,59,NaN,elephant,boat,pow,0059_pow_dnn_pow_boat_35_n02951358_16261.png,n02951358_16261.png,0.0,-0.05830393,1.8298666,-1.3351382
vit_b_16,1,60,NaN,car,car,pow,0060_pow_dnn_pow_car_35_n04285008_15954.png,n04285008_15954.png,1.0,4.7010474,3.2633085,1.016635
vit_b_16,1,61,NaN,truck,truck,pow,0061_pow_dnn_pow_truck_35_n04467665_3411.png,n04467665_3411.png,1.0,1.9691765,1.2203027,0.52953374
vit_b_16,1,62,NaN,oven,oven,pow,0062_pow_dnn_pow_oven_35_n04111531_15743.png,n04111531_15743.png,1.0,8.28953,0.6083669,5.431402
vit_b_16,1,63,NaN,bicycle,dog,0,0063_pow_dnn_0_dog_35_n02088238_8653.png,n02088238_8653.png,0.0,-0.16455367,0.26314518,-0.30242875
vit_b_16,1,64,NaN,airplane,airplane,0,0064_pow_dnn_0_airplane_35_n02690373_4681.png,n02690373_4681.png,1.0,9.164644,0.5085252,6.120801
vit_b_16,1,65,NaN,bear,bear,pow,0065_pow_dnn_pow_bear_35_n02134418_5684.png,n02134418_5684.png,1.0,2.601076,1.4092461,0.84275097
vit_b_16,1,66,NaN,bear,bear,pow,0066_pow_dnn_pow_bear_35_n02134418_5830.png,n02134418_5830.png,1.0,4.6040306,0.5195558,2.8881598
vit_b_16,1,67,NaN,truck,truck,0,0067_pow_dnn_0_truck_35_n04467665_45983.png,n04467665_45983.png,1.0,2.367673,0.22690773,1.5137496
vit_b_16,1,68,NaN,bird,bird,0,0068_pow_dnn_0_bird_35_n01795545_14302.png,n01795545_14302.png,1.0,0.39476466,0.0399907,0.25086308
vit_b_16,1,69,NaN,oven,oven,pow,0069_pow_dnn_pow_oven_35_n04111531_19240.png,n04111531_19240.png,1.0,7.8793707,1.2382001,4.696017
vit_b_16,1,70,NaN,knife,knife,0,0070_pow_dnn_0_knife_35_n03041632_22241.png,n03041632_22241.png,1.0,7.7981806,2.2944908,3.8916965
vit_b_16,1,71,NaN,boat,boat,pow,0071_pow_dnn_pow_boat_35_n03344393_815.png,n03344393_815.png,1.0,2.494954,0.3433707,1.5213993
vit_b_16,1,72,NaN,airplane,boat,0,0072_pow_dnn_0_boat_35_n03662601_2120.png,n03662601_2120.png,0.0,1.1404124,1.2821757,-0.10024173
vit_b_16,1,73,NaN,knife,knife,pow,0073_pow_dnn_pow_knife_35_n03041632_2438.png,n03041632_2438.png,1.0,7.5686774,0.6981578,4.858191
vit_b_16,1,74,NaN,bear,bear,pow,0074_pow_dnn_pow_bear_35_n02134418_3073.png,n02134418_3073.png,1.0,2.9891806,0.48134598,1.773307
vit_b_16,1,75,NaN,bottle,bottle,pow,0075_pow_dnn_pow_bottle_35_n02823428_3328.png,n02823428_3328.png,1.0,3.9149334,1.0267453,2.0422575
vit_b_16,1,76,NaN,car,car,pow,0076_pow_dnn_pow_car_35_n04285008_13259.png,n04285008_13259.png,1.0,4.2859116,0.37145516,2.7679386
vit_b_16,1,77,NaN,oven,oven,0,0077_pow_dnn_0_oven_35_n04111531_15852.png,n04111531_15852.png,1.0,9.481064,0.6028439,6.277849
vit_b_16,1,78,NaN,elephant,dog,pow,0078_pow_dnn_pow_dog_35_n02099601_447.png,n02099601_447.png,0.0,0.75512,5.6115446,-3.434011
vit_b_16,1,79,NaN,oven,oven,pow,0079_pow_dnn_pow_oven_35_n04111531_18916.png,n04111531_18916.png,1.0,9.547161,1.3378162,5.8048835
vit_b_16,1,80,NaN,bottle,bottle,pow,0080_pow_dnn_pow_bottle_35_n04591713_1407.png,n04591713_1407.png,1.0,2.4633255,1.0274545,1.0153141
vit_b_16,1,81,NaN,oven,oven,0,0081_pow_dnn_0_oven_35_n04111531_4585.png,n04111531_4585.png,1.0,3.5800567,1.1753551,1.7003809
vit_b_16,1,82,NaN,keyboard,keyboard,pow,0082_pow_dnn_pow_keyboard_35_n03085013_8364.png,n03085013_8364.png,1.0,5.9190235,0.59292364,3.7661214
