subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w3_mlp_simclrhn_probe0,1,1,NaN,bicycle,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png,n03376595_3070.png,0.0,-4.2054586,-2.7702012,-1.0148803
alexnet_w3_mlp_simclrhn_probe0,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png,n02814533_29367.png,1.0,-1.9473819,-5.3314013,2.392863
alexnet_w3_mlp_simclrhn_probe0,1,3,NaN,knife,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png,n02814533_31083.png,0.0,-9.099179,-2.9706452,-4.333528
alexnet_w3_mlp_simclrhn_probe0,1,4,NaN,airplane,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png,n03100240_1703.png,0.0,0.19616024,0.6386468,-0.31288522
alexnet_w3_mlp_simclrhn_probe0,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png,n04591713_2359.png,1.0,-3.155868,-3.9924324,0.5915403
alexnet_w3_mlp_simclrhn_probe0,1,6,NaN,dog,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png,n02111500_8796.png,1.0,-5.01,-5.594378,0.41321748
alexnet_w3_mlp_simclrhn_probe0,1,7,NaN,bear,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png,n02132136_4512.png,1.0,-2.2397585,-2.9335976,0.49061832
alexnet_w3_mlp_simclrhn_probe0,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png,n03376595_4820.png,1.0,-1.7846336,-4.3868985,1.8400792
alexnet_w3_mlp_simclrhn_probe0,1,9,NaN,keyboard,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png,n04591713_6111.png,0.0,-2.40942,0.6192188,-2.141571
alexnet_w3_mlp_simclrhn_probe0,1,10,NaN,chair,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png,n04560804_14111.png,0.0,-4.5165906,-2.366027,-1.520678
alexnet_w3_mlp_simclrhn_probe0,1,11,NaN,elephant,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png,n02099601_8656.png,0.0,-0.5007423,0.54708993,-0.7409293
alexnet_w3_mlp_simclrhn_probe0,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png,n02125311_14054.png,1.0,-3.130495,-4.105067,0.68912625
alexnet_w3_mlp_simclrhn_probe0,1,13,NaN,bear,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png,n02132136_10385.png,1.0,-3.660462,-3.7305355,0.04954952
alexnet_w3_mlp_simclrhn_probe0,1,14,NaN,car,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png,n02823428_10417.png,0.0,-3.0583384,-1.1349455,-1.3600441
alexnet_w3_mlp_simclrhn_probe0,1,15,NaN,knife,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png,n03085013_23566.png,0.0,-6.516389,-4.151846,-1.6719844
alexnet_w3_mlp_simclrhn_probe0,1,16,NaN,oven,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png,n03417042_12560.png,0.0,-5.546089,-2.1876724,-2.3747594
alexnet_w3_mlp_simclrhn_probe0,1,17,NaN,airplane,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png,n04467665_69063.png,0.0,-3.6231565,0.5563383,-2.9553492
alexnet_w3_mlp_simclrhn_probe0,1,18,NaN,oven,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png,n04111531_9712.png,1.0,0.7061907,-0.86027837,1.1076609
alexnet_w3_mlp_simclrhn_probe0,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png,n04111531_10375.png,1.0,3.7198534,-1.0300543,3.358692
alexnet_w3_mlp_simclrhn_probe0,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png,n04505470_1744.png,1.0,1.5282512,0.07802659,1.0254637
alexnet_w3_mlp_simclrhn_probe0,1,21,NaN,elephant,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png,n04273569_7296.png,0.0,-6.5393157,-1.8091697,-3.3447182
alexnet_w3_mlp_simclrhn_probe0,1,22,NaN,bear,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png,n02101006_4807.png,0.0,-0.20771044,0.21436268,-0.29845077
alexnet_w3_mlp_simclrhn_probe0,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png,n02708093_1986.png,1.0,4.3456903,-3.0273445,5.213523
alexnet_w3_mlp_simclrhn_probe0,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png,n04560804_15562.png,1.0,1.0775265,-3.893406,3.51498
alexnet_w3_mlp_simclrhn_probe0,1,25,NaN,cat,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png,n02124075_13594.png,1.0,-0.8243513,-4.589855,2.6626134
alexnet_w3_mlp_simclrhn_probe0,1,26,NaN,elephant,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png,n02134418_4365.png,0.0,-3.95422,-3.0982955,-0.6052301
alexnet_w3_mlp_simclrhn_probe0,1,27,NaN,bear,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png,n02132136_8650.png,1.0,-0.53717625,-2.8518925,1.6367517
alexnet_w3_mlp_simclrhn_probe0,1,28,NaN,airplane,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png,n02009912_12219.png,0.0,-3.002477,-2.2122962,-0.5587421
alexnet_w3_mlp_simclrhn_probe0,1,29,NaN,bicycle,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png,n02100236_1662.png,0.0,-4.163111,-3.2054238,-0.67718726
alexnet_w3_mlp_simclrhn_probe0,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png,n04548280_1947.png,1.0,4.3208375,-1.6106564,4.1941996
alexnet_w3_mlp_simclrhn_probe0,1,31,NaN,bird,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png,n02109047_66167.png,0.0,-5.318334,-4.5267053,-0.5597661
alexnet_w3_mlp_simclrhn_probe0,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png,n04111531_21055.png,1.0,5.133181,-0.9282162,4.2860556
alexnet_w3_mlp_simclrhn_probe0,1,33,NaN,truck,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png,n02708093_2012.png,0.0,-1.9250597,-1.3809187,-0.38476574
alexnet_w3_mlp_simclrhn_probe0,1,34,NaN,elephant,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png,n02504458_6119.png,1.0,2.819242,-1.3246977,2.9302082
alexnet_w3_mlp_simclrhn_probe0,1,35,NaN,chair,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png,n04099969_12707.png,1.0,5.0811877,-2.5390038,5.3882895
alexnet_w3_mlp_simclrhn_probe0,1,36,NaN,clock,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png,n03085013_19054.png,0.0,-0.21435416,-0.17646043,-0.026794912
alexnet_w3_mlp_simclrhn_probe0,1,37,NaN,chair,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png,n02791124_422.png,1.0,-1.8465389,-2.4260123,0.40974957
alexnet_w3_mlp_simclrhn_probe0,1,38,NaN,bicycle,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png,n02835271_23830.png,1.0,7.2980857,-5.988058,9.394723
alexnet_w3_mlp_simclrhn_probe0,1,39,NaN,bird,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png,n01534433_14735.png,1.0,-2.86907,-4.093357,0.8657017
alexnet_w3_mlp_simclrhn_probe0,1,40,NaN,bird,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png,n02011460_13994.png,1.0,-3.4183612,-4.6746483,0.88832915
alexnet_w3_mlp_simclrhn_probe0,1,41,NaN,knife,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png,n04273569_17522.png,0.0,-3.463944,-1.8725814,-1.1252633
alexnet_w3_mlp_simclrhn_probe0,1,42,NaN,cat,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png,n02132136_5537.png,0.0,-0.8225305,1.0963781,-1.3568733
alexnet_w3_mlp_simclrhn_probe0,1,43,NaN,bear,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png,n02132136_19248.png,1.0,1.1981759,-0.9422307,1.513496
alexnet_w3_mlp_simclrhn_probe0,1,44,NaN,bird,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png,n01537544_1886.png,1.0,-2.3398004,-2.348207,0.0059443917
alexnet_w3_mlp_simclrhn_probe0,1,45,NaN,clock,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png,n03196217_4776.png,1.0,2.1572392,0.7100491,1.0233179
alexnet_w3_mlp_simclrhn_probe0,1,46,NaN,chair,boat,270,0046_rot_dnn_270_boat_20_n04612504_17610.png,n04612504_17610.png,0.0,-6.246371,-1.278191,-3.5130336
alexnet_w3_mlp_simclrhn_probe0,1,47,NaN,cat,bear,90,0047_rot_dnn_90_bear_20_n02134418_1814.png,n02134418_1814.png,0.0,-1.8375319,-1.2991616,-0.38068536
alexnet_w3_mlp_simclrhn_probe0,1,48,NaN,keyboard,keyboard,180,0048_rot_dnn_180_keyboard_20_n03085013_20330.png,n03085013_20330.png,1.0,2.830766,0.7818769,1.4487834
alexnet_w3_mlp_simclrhn_probe0,1,49,NaN,bottle,bottle,180,0049_rot_dnn_180_bottle_20_n02823428_14574.png,n02823428_14574.png,1.0,0.5003536,-3.0067234,2.479878
alexnet_w3_mlp_simclrhn_probe0,1,50,NaN,bicycle,bicycle,0,0050_rot_dnn_0_bicycle_20_n03792782_7105.png,n03792782_7105.png,1.0,0.2655183,-3.258546,2.49189
alexnet_w3_mlp_simclrhn_probe0,1,51,NaN,elephant,elephant,0,0051_rot_dnn_0_elephant_20_n02504458_1302.png,n02504458_1302.png,1.0,5.2748785,-0.05009532,3.7653253
alexnet_w3_mlp_simclrhn_probe0,1,52,NaN,bottle,airplane,90,0052_rot_dnn_90_airplane_20_n02690373_3877.png,n02690373_3877.png,0.0,-9.027566,-3.0785358,-4.206599
alexnet_w3_mlp_simclrhn_probe0,1,53,NaN,chair,boat,90,0053_rot_dnn_90_boat_20_n02951358_15422.png,n02951358_15422.png,0.0,-7.088435,-3.5468028,-2.5043123
alexnet_w3_mlp_simclrhn_probe0,1,54,NaN,bottle,car,270,0054_rot_dnn_270_car_20_n02814533_46458.png,n02814533_46458.png,0.0,-8.0517235,-2.248831,-4.103265
alexnet_w3_mlp_simclrhn_probe0,1,55,NaN,car,car,0,0055_rot_dnn_0_car_20_n02814533_39547.png,n02814533_39547.png,1.0,10.431296,4.547871,4.16021
alexnet_w3_mlp_simclrhn_probe0,1,56,NaN,airplane,boat,180,0056_rot_dnn_180_boat_20_n04273569_6586.png,n04273569_6586.png,0.0,-0.033872556,0.5769925,-0.43194684
alexnet_w3_mlp_simclrhn_probe0,1,57,NaN,clock,clock,90,0057_rot_dnn_90_clock_20_n02708093_3394.png,n02708093_3394.png,1.0,-1.8089175,-2.278578,0.33210015
alexnet_w3_mlp_simclrhn_probe0,1,58,NaN,keyboard,keyboard,180,0058_rot_dnn_180_keyboard_20_n03085013_25419.png,n03085013_25419.png,1.0,2.1113868,0.33586806,1.2554814
alexnet_w3_mlp_simclrhn_probe0,1,59,NaN,bottle,bottle,180,0059_rot_dnn_180_bottle_20_n04557648_1871.png,n04557648_1871.png,1.0,-3.3004034,-4.2678847,0.68411267
alexnet_w3_mlp_simclrhn_probe0,1,60,NaN,oven,chair,90,0060_rot_dnn_90_chair_20_n04099969_6944.png,n04099969_6944.png,0.0,-3.7956405,-0.89514285,-2.0509615
alexnet_w3_mlp_simclrhn_probe0,1,61,NaN,chair,boat,270,0061_rot_dnn_270_boat_20_n04273569_1495.png,n04273569_1495.png,0.0,-6.7031875,-3.7488344,-2.0890431
