subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,bicycle,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png,n03376595_3070.png,0.0,3.8938344,4.087495,-0.13693865
alexnet2023_baseline_pgd,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png,n02814533_29367.png,1.0,6.9433494,2.9789321,2.8032663
alexnet2023_baseline_pgd,1,3,NaN,elephant,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png,n02814533_31083.png,0.0,-5.7278614,3.0561492,-6.2112336
alexnet2023_baseline_pgd,1,4,NaN,oven,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png,n03100240_1703.png,0.0,5.366337,7.1320662,-1.2485592
alexnet2023_baseline_pgd,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png,n04591713_2359.png,1.0,4.8501577,2.0201244,2.0011358
alexnet2023_baseline_pgd,1,6,NaN,elephant,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png,n02111500_8796.png,0.0,2.2975447,3.9112887,-1.1410893
alexnet2023_baseline_pgd,1,7,NaN,bicycle,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png,n02132136_4512.png,0.0,1.43501,4.0679007,-1.8617349
alexnet2023_baseline_pgd,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png,n03376595_4820.png,1.0,5.6944404,3.1178,1.8219599
alexnet2023_baseline_pgd,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png,n04591713_6111.png,1.0,7.884284,5.946122,1.3704875
alexnet2023_baseline_pgd,1,10,NaN,chair,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png,n04560804_14111.png,0.0,1.1348332,3.5258703,-1.6907185
alexnet2023_baseline_pgd,1,11,NaN,elephant,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png,n02099601_8656.png,0.0,7.24222,10.641306,-2.4035168
alexnet2023_baseline_pgd,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png,n02125311_14054.png,1.0,7.2662406,2.1028543,3.6510656
alexnet2023_baseline_pgd,1,13,NaN,bear,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png,n02132136_10385.png,1.0,3.1397915,2.0352917,0.7809993
alexnet2023_baseline_pgd,1,14,NaN,bottle,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png,n02823428_10417.png,1.0,7.9180136,4.805617,2.2007968
alexnet2023_baseline_pgd,1,15,NaN,knife,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png,n03085013_23566.png,0.0,0.93456686,1.6153208,-0.48136574
alexnet2023_baseline_pgd,1,16,NaN,oven,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png,n03417042_12560.png,0.0,-1.4378592,4.9091954,-4.488045
alexnet2023_baseline_pgd,1,17,NaN,truck,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png,n04467665_69063.png,1.0,5.8444233,5.7572684,0.061627798
alexnet2023_baseline_pgd,1,18,NaN,oven,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png,n04111531_9712.png,1.0,7.7346153,4.7061596,2.1414416
alexnet2023_baseline_pgd,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png,n04111531_10375.png,1.0,9.965453,4.633996,3.7699096
alexnet2023_baseline_pgd,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png,n04505470_1744.png,1.0,13.319624,7.1353817,4.3729196
alexnet2023_baseline_pgd,1,21,NaN,bicycle,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png,n04273569_7296.png,0.0,-1.0946724,4.1082706,-3.6790361
alexnet2023_baseline_pgd,1,22,NaN,dog,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png,n02101006_4807.png,1.0,7.9078903,4.9865856,2.0656743
alexnet2023_baseline_pgd,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png,n02708093_1986.png,1.0,11.01371,3.8921804,5.0356817
alexnet2023_baseline_pgd,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png,n04560804_15562.png,1.0,12.11811,2.4962566,6.8036776
alexnet2023_baseline_pgd,1,25,NaN,cat,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png,n02124075_13594.png,1.0,10.731172,4.1084633,4.682962
alexnet2023_baseline_pgd,1,26,NaN,bear,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png,n02134418_4365.png,1.0,4.5004992,4.1814756,0.22558376
alexnet2023_baseline_pgd,1,27,NaN,bear,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png,n02132136_8650.png,1.0,4.9976387,4.265489,0.51770794
alexnet2023_baseline_pgd,1,28,NaN,bird,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png,n02009912_12219.png,1.0,6.56283,1.6532127,3.471624
alexnet2023_baseline_pgd,1,29,NaN,bird,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png,n02100236_1662.png,0.0,1.4651642,1.5102657,-0.03189159
alexnet2023_baseline_pgd,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png,n04548280_1947.png,1.0,13.993266,4.4109488,6.7757215
alexnet2023_baseline_pgd,1,31,NaN,bear,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png,n02109047_66167.png,0.0,2.8304324,3.0256155,-0.13801526
alexnet2023_baseline_pgd,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png,n04111531_21055.png,1.0,8.653601,6.507736,1.5173553
alexnet2023_baseline_pgd,1,33,NaN,clock,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png,n02708093_2012.png,1.0,4.4955544,3.4927087,0.7091191
alexnet2023_baseline_pgd,1,34,NaN,elephant,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png,n02504458_6119.png,1.0,9.327911,2.1343946,5.0865846
alexnet2023_baseline_pgd,1,35,NaN,chair,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png,n04099969_12707.png,1.0,13.695177,1.4157524,8.682864
alexnet2023_baseline_pgd,1,36,NaN,clock,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png,n03085013_19054.png,0.0,3.270771,4.10702,-0.59131724
alexnet2023_baseline_pgd,1,37,NaN,chair,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png,n02791124_422.png,1.0,7.0251827,1.9896003,3.5606947
alexnet2023_baseline_pgd,1,38,NaN,bicycle,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png,n02835271_23830.png,1.0,15.80594,2.1097195,9.68469
alexnet2023_baseline_pgd,1,39,NaN,bird,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png,n01534433_14735.png,1.0,1.8598576,0.79663604,0.7518111
alexnet2023_baseline_pgd,1,40,NaN,bird,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png,n02011460_13994.png,1.0,2.648162,0.6089365,1.4419501
alexnet2023_baseline_pgd,1,41,NaN,knife,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png,n04273569_17522.png,0.0,2.5656524,2.637189,-0.050583974
alexnet2023_baseline_pgd,1,42,NaN,bear,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png,n02132136_5537.png,1.0,6.4229784,6.2950687,0.09044579
alexnet2023_baseline_pgd,1,43,NaN,bear,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png,n02132136_19248.png,1.0,7.7633057,5.1755276,1.8298354
alexnet2023_baseline_pgd,1,44,NaN,bird,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png,n01537544_1886.png,1.0,3.3270967,2.6352746,0.48919207
alexnet2023_baseline_pgd,1,45,NaN,clock,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png,n03196217_4776.png,1.0,9.579155,6.425147,2.2302203
alexnet2023_baseline_pgd,1,46,NaN,chair,boat,270,0046_rot_dnn_270_boat_20_n04612504_17610.png,n04612504_17610.png,0.0,-1.0913749,4.2087717,-3.7477696
alexnet2023_baseline_pgd,1,47,NaN,cat,bear,90,0047_rot_dnn_90_bear_20_n02134418_1814.png,n02134418_1814.png,0.0,3.667149,3.8965843,-0.16223519
alexnet2023_baseline_pgd,1,48,NaN,keyboard,keyboard,180,0048_rot_dnn_180_keyboard_20_n03085013_20330.png,n03085013_20330.png,1.0,11.667814,5.8319616,4.126571
alexnet2023_baseline_pgd,1,49,NaN,bottle,bottle,180,0049_rot_dnn_180_bottle_20_n02823428_14574.png,n02823428_14574.png,1.0,7.103591,5.7615995,0.9489313
alexnet2023_baseline_pgd,1,50,NaN,bicycle,bicycle,0,0050_rot_dnn_0_bicycle_20_n03792782_7105.png,n03792782_7105.png,1.0,4.8277664,3.5880418,0.8766177
alexnet2023_baseline_pgd,1,51,NaN,elephant,elephant,0,0051_rot_dnn_0_elephant_20_n02504458_1302.png,n02504458_1302.png,1.0,18.72766,8.508259,7.2262073
alexnet2023_baseline_pgd,1,52,NaN,knife,airplane,90,0052_rot_dnn_90_airplane_20_n02690373_3877.png,n02690373_3877.png,0.0,-2.25619,2.6696646,-3.4831054
alexnet2023_baseline_pgd,1,53,NaN,elephant,boat,90,0053_rot_dnn_90_boat_20_n02951358_15422.png,n02951358_15422.png,0.0,-0.12548734,2.7456403,-2.0301938
alexnet2023_baseline_pgd,1,54,NaN,clock,car,270,0054_rot_dnn_270_car_20_n02814533_46458.png,n02814533_46458.png,0.0,0.17126721,5.5227456,-3.784067
alexnet2023_baseline_pgd,1,55,NaN,car,car,0,0055_rot_dnn_0_car_20_n02814533_39547.png,n02814533_39547.png,1.0,16.55861,9.293299,5.1373515
alexnet2023_baseline_pgd,1,56,NaN,airplane,boat,180,0056_rot_dnn_180_boat_20_n04273569_6586.png,n04273569_6586.png,0.0,5.139749,5.1707478,-0.021919396
alexnet2023_baseline_pgd,1,57,NaN,clock,clock,90,0057_rot_dnn_90_clock_20_n02708093_3394.png,n02708093_3394.png,1.0,4.192903,3.513454,0.48044306
alexnet2023_baseline_pgd,1,58,NaN,keyboard,keyboard,180,0058_rot_dnn_180_keyboard_20_n03085013_25419.png,n03085013_25419.png,1.0,12.888465,6.520335,4.502948
alexnet2023_baseline_pgd,1,59,NaN,oven,bottle,180,0059_rot_dnn_180_bottle_20_n04557648_1871.png,n04557648_1871.png,0.0,2.567416,2.96989,-0.2845922
alexnet2023_baseline_pgd,1,60,NaN,oven,chair,90,0060_rot_dnn_90_chair_20_n04099969_6944.png,n04099969_6944.png,0.0,2.7065516,3.5422015,-0.59089375
