subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,chair,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png,n03376595_3070.png,1.0,5.3841453,3.8722067,1.069102
alexnet,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png,n02814533_29367.png,1.0,6.2870526,4.932555,0.95777434
alexnet,1,3,NaN,knife,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png,n02814533_31083.png,0.0,-2.2403874,3.4103928,-3.9957051
alexnet,1,4,NaN,truck,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png,n03100240_1703.png,0.0,6.640905,8.168278,-1.0800157
alexnet,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png,n04591713_2359.png,1.0,6.17716,4.6942925,1.0485455
alexnet,1,6,NaN,cat,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png,n02111500_8796.png,0.0,3.5954707,5.4398494,-1.3041728
alexnet,1,7,NaN,elephant,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png,n02132136_4512.png,0.0,2.814864,3.621904,-0.57066345
alexnet,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png,n03376595_4820.png,1.0,8.563054,4.6335044,2.7786112
alexnet,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png,n04591713_6111.png,1.0,10.793895,8.199909,1.8342248
alexnet,1,10,NaN,chair,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png,n04560804_14111.png,0.0,1.9727974,5.556049,-2.5337415
alexnet,1,11,NaN,elephant,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png,n02099601_8656.png,0.0,4.891474,5.914227,-0.7231958
alexnet,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png,n02125311_14054.png,1.0,8.362838,2.2389402,4.33025
alexnet,1,13,NaN,bear,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png,n02132136_10385.png,1.0,5.2667613,2.9589868,1.6318431
alexnet,1,14,NaN,knife,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png,n02823428_10417.png,0.0,6.2740874,7.705195,-1.0119458
alexnet,1,15,NaN,knife,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png,n03085013_23566.png,0.0,4.084359,4.2067575,-0.08654872
alexnet,1,16,NaN,oven,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png,n03417042_12560.png,0.0,1.8680401,5.2011466,-2.3568623
