subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,bicycle,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png,n03376595_3070.png,0.0,4.8491187,6.545045,-1.199201
bagnet33,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png,n02814533_29367.png,1.0,6.590265,5.2845554,0.92327595
bagnet33,1,3,NaN,chair,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png,n02814533_31083.png,0.0,0.4811388,3.6107018,-2.2129352
bagnet33,1,4,NaN,airplane,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png,n03100240_1703.png,0.0,6.869282,9.524955,-1.8778445
bagnet33,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png,n04591713_2359.png,1.0,10.23656,5.965233,3.0202844
bagnet33,1,6,NaN,oven,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png,n02111500_8796.png,0.0,-0.6039691,3.408947,-2.8375602
bagnet33,1,7,NaN,elephant,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png,n02132136_4512.png,0.0,2.274113,3.4612694,-0.83944637
bagnet33,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png,n03376595_4820.png,1.0,8.558807,5.539156,2.135216
bagnet33,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png,n04591713_6111.png,1.0,20.214518,8.496049,8.286209
bagnet33,1,10,NaN,clock,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png,n04560804_14111.png,0.0,2.0576608,5.752516,-2.612657
bagnet33,1,11,NaN,elephant,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png,n02099601_8656.png,0.0,7.496492,9.88719,-1.6904788
bagnet33,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png,n02125311_14054.png,1.0,9.566016,3.0743952,4.590269
bagnet33,1,13,NaN,elephant,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png,n02132136_10385.png,0.0,2.8323085,4.0094094,-0.83233607
bagnet33,1,14,NaN,bottle,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png,n02823428_10417.png,1.0,8.125678,6.497201,1.1515073
bagnet33,1,15,NaN,knife,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png,n03085013_23566.png,0.0,2.6934485,3.7988126,-0.7816104
bagnet33,1,16,NaN,oven,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png,n03417042_12560.png,0.0,4.422699,6.3963747,-1.3955995
bagnet33,1,17,NaN,knife,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png,n04467665_69063.png,0.0,1.7867625,2.5468035,-0.53743017
bagnet33,1,18,NaN,oven,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png,n04111531_9712.png,1.0,5.482902,5.038698,0.31409955
bagnet33,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png,n04111531_10375.png,1.0,9.735781,5.7597265,2.8114948
bagnet33,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png,n04505470_1744.png,1.0,9.712709,6.3182783,2.4002254
bagnet33,1,21,NaN,knife,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png,n04273569_7296.png,0.0,-0.5530739,3.049739,-2.5475733
bagnet33,1,22,NaN,dog,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png,n02101006_4807.png,1.0,5.9125996,5.8670936,0.0321776
bagnet33,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png,n02708093_1986.png,1.0,29.862549,8.780033,14.90759
bagnet33,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png,n04560804_15562.png,1.0,16.151697,2.5679557,9.605156
bagnet33,1,25,NaN,cat,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png,n02124075_13594.png,1.0,9.587445,5.5701656,2.8406458
bagnet33,1,26,NaN,oven,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png,n02134418_4365.png,0.0,2.4403067,4.7310376,-1.6197914
bagnet33,1,27,NaN,elephant,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png,n02132136_8650.png,0.0,4.0043674,4.12803,-0.08744258
bagnet33,1,28,NaN,bird,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png,n02009912_12219.png,1.0,3.6021361,3.3430512,0.18320072
bagnet33,1,29,NaN,knife,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png,n02100236_1662.png,0.0,-0.006581862,2.8091774,-1.9910425
bagnet33,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png,n04548280_1947.png,1.0,15.852948,10.187209,4.006283
bagnet33,1,31,NaN,dog,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png,n02109047_66167.png,1.0,3.8501184,3.5402608,0.21910241
bagnet33,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png,n04111531_21055.png,1.0,14.784487,7.152471,5.3966503
bagnet33,1,33,NaN,clock,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png,n02708093_2012.png,1.0,6.8457475,3.862182,2.1096995
bagnet33,1,34,NaN,elephant,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png,n02504458_6119.png,1.0,22.187916,2.9942937,13.571941
bagnet33,1,35,NaN,chair,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png,n04099969_12707.png,1.0,16.260118,5.727443,7.447726
bagnet33,1,36,NaN,keyboard,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png,n03085013_19054.png,1.0,22.728468,8.114231,10.333826
bagnet33,1,37,NaN,chair,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png,n02791124_422.png,1.0,6.5358152,2.4157383,2.9133346
bagnet33,1,38,NaN,bicycle,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png,n02835271_23830.png,1.0,24.389008,4.3351583,14.180212
bagnet33,1,39,NaN,knife,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png,n01534433_14735.png,0.0,0.8274717,1.326147,-0.3526167
bagnet33,1,40,NaN,bicycle,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png,n02011460_13994.png,0.0,-0.7606075,2.2941885,-2.160067
bagnet33,1,41,NaN,knife,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png,n04273569_17522.png,0.0,0.97553813,4.641696,-2.592365
bagnet33,1,42,NaN,cat,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png,n02132136_5537.png,0.0,7.060304,8.09331,-0.7304457
bagnet33,1,43,NaN,bear,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png,n02132136_19248.png,1.0,10.828762,8.244926,1.8270477
bagnet33,1,44,NaN,airplane,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png,n01537544_1886.png,0.0,-1.0519031,2.3683524,-2.418486
bagnet33,1,45,NaN,clock,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png,n03196217_4776.png,1.0,6.8559647,4.101815,1.9474778
