subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,chair,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png,n03376595_3070.png,1.0,2.56144,0.4980245,1.4590552
convnext_large,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png,n02814533_29367.png,1.0,5.3575635,1.4750798,2.7453306
convnext_large,1,3,NaN,car,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png,n02814533_31083.png,1.0,4.9609895,2.1086805,2.016887
convnext_large,1,4,NaN,airplane,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png,n03100240_1703.png,0.0,3.4976885,5.558274,-1.4570538
convnext_large,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png,n04591713_2359.png,1.0,1.8813139,0.25571722,1.1494706
convnext_large,1,6,NaN,dog,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png,n02111500_8796.png,1.0,1.5584794,0.19249825,0.9658946
convnext_large,1,7,NaN,bicycle,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png,n02132136_4512.png,0.0,-0.08592703,2.4135075,-1.7673671
convnext_large,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png,n03376595_4820.png,1.0,4.3931804,0.5094371,2.7462213
convnext_large,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png,n04591713_6111.png,1.0,2.2927296,0.36959654,1.3598605
convnext_large,1,10,NaN,chair,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png,n04560804_14111.png,0.0,0.42293358,1.2776046,-0.60434365
convnext_large,1,11,NaN,dog,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png,n02099601_8656.png,1.0,1.1915821,1.0425929,0.10535128
convnext_large,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png,n02125311_14054.png,1.0,1.8030008,0.39487857,0.99569285
convnext_large,1,13,NaN,bear,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png,n02132136_10385.png,1.0,3.4997933,0.9994824,1.7679868
convnext_large,1,14,NaN,bottle,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png,n02823428_10417.png,1.0,2.5515058,0.65846926,1.338579
convnext_large,1,15,NaN,keyboard,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png,n03085013_23566.png,1.0,6.386714,0.19473806,4.3783884
convnext_large,1,16,NaN,truck,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png,n03417042_12560.png,1.0,1.9645216,0.9005228,0.7523608
convnext_large,1,17,NaN,airplane,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png,n04467665_69063.png,0.0,0.5366806,3.9100542,-2.3853352
convnext_large,1,18,NaN,oven,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png,n04111531_9712.png,1.0,8.15621,3.2131505,3.495271
convnext_large,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png,n04111531_10375.png,1.0,8.627619,0.8897796,5.4714785
convnext_large,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png,n04505470_1744.png,1.0,4.7711725,0.6563207,2.9096398
convnext_large,1,21,NaN,boat,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png,n04273569_7296.png,1.0,3.259507,0.17333117,2.1822557
convnext_large,1,22,NaN,dog,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png,n02101006_4807.png,1.0,0.27444044,0.20780483,0.047118492
convnext_large,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png,n02708093_1986.png,1.0,5.5040793,0.6261414,3.449223
convnext_large,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png,n04560804_15562.png,1.0,3.4525313,0.5272962,2.0684538
