subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,chair,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png,n03376595_3070.png,1.0,4.5872946,2.969123,1.1442202
resnet50,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png,n02814533_29367.png,1.0,4.9659104,2.7117896,1.5939041
resnet50,1,3,NaN,chair,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png,n02814533_31083.png,0.0,-0.58446306,3.2911544,-2.7404754
resnet50,1,4,NaN,airplane,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png,n03100240_1703.png,0.0,5.6196856,6.335547,-0.5061904
resnet50,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png,n04591713_2359.png,1.0,6.89432,5.0421457,1.309685
resnet50,1,6,NaN,dog,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png,n02111500_8796.png,1.0,3.2335122,2.8549168,0.26770735
resnet50,1,7,NaN,bicycle,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png,n02132136_4512.png,0.0,1.434067,1.9285309,-0.3496388
resnet50,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png,n03376595_4820.png,1.0,7.1622157,2.7045155,3.15207
resnet50,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png,n04591713_6111.png,1.0,9.954324,3.3166866,4.693518
resnet50,1,10,NaN,knife,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png,n04560804_14111.png,0.0,0.70772564,4.4654894,-2.6571403
resnet50,1,11,NaN,dog,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png,n02099601_8656.png,1.0,3.3781946,3.0369816,0.24127403
resnet50,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png,n02125311_14054.png,1.0,10.208131,2.5022159,5.448905
resnet50,1,13,NaN,bear,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png,n02132136_10385.png,1.0,8.307517,3.247803,3.5777583
resnet50,1,14,NaN,bottle,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png,n02823428_10417.png,1.0,9.176171,3.7225804,3.8562713
resnet50,1,15,NaN,keyboard,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png,n03085013_23566.png,1.0,9.455308,2.185418,5.1405883
resnet50,1,16,NaN,clock,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png,n03417042_12560.png,0.0,-0.14713848,4.4496255,-3.2504032
resnet50,1,17,NaN,knife,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png,n04467665_69063.png,0.0,2.7000523,5.459989,-1.95157
resnet50,1,18,NaN,oven,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png,n04111531_9712.png,1.0,13.534151,4.7472115,6.2133045
resnet50,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png,n04111531_10375.png,1.0,9.224158,3.8081222,3.829716
resnet50,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png,n04505470_1744.png,1.0,15.6959305,7.1560154,6.038632
resnet50,1,21,NaN,clock,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png,n04273569_7296.png,0.0,0.65057695,3.3182971,-1.8863631
resnet50,1,22,NaN,dog,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png,n02101006_4807.png,1.0,4.4549065,1.3942171,2.1642344
resnet50,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png,n02708093_1986.png,1.0,10.981824,4.1815763,4.8085012
resnet50,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png,n04560804_15562.png,1.0,10.709503,1.9334152,6.2056313
resnet50,1,25,NaN,cat,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png,n02124075_13594.png,1.0,8.371853,2.7730396,3.9589589
resnet50,1,26,NaN,bear,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png,n02134418_4365.png,1.0,5.2448463,3.504528,1.2305909
resnet50,1,27,NaN,boat,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png,n02132136_8650.png,0.0,3.6267362,5.633624,-1.4190841
resnet50,1,28,NaN,chair,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png,n02009912_12219.png,0.0,1.7796354,1.9853102,-0.14543402
resnet50,1,29,NaN,cat,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png,n02100236_1662.png,0.0,-0.3933627,0.6779742,-0.75754964
resnet50,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png,n04548280_1947.png,1.0,10.705173,4.971443,4.054359
resnet50,1,31,NaN,bear,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png,n02109047_66167.png,0.0,2.8482988,4.1614842,-0.92856234
resnet50,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png,n04111531_21055.png,1.0,16.243267,8.056409,5.788983
resnet50,1,33,NaN,clock,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png,n02708093_2012.png,1.0,7.8727183,2.211562,4.003042
