subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,bicycle,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png,n03376595_3070.png,0.0,3.331037,6.5347385,-2.2653592
simclr_resnet50x1,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png,n02814533_29367.png,1.0,4.5742164,3.8401382,0.51907164
simclr_resnet50x1,1,3,NaN,knife,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png,n02814533_31083.png,0.0,-0.06421056,3.981747,-2.860924
simclr_resnet50x1,1,4,NaN,airplane,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png,n03100240_1703.png,0.0,3.951934,8.099232,-2.9325824
simclr_resnet50x1,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png,n04591713_2359.png,1.0,9.06456,6.5302377,1.7920365
simclr_resnet50x1,1,6,NaN,cat,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png,n02111500_8796.png,0.0,4.4783287,4.7194467,-0.17049615
simclr_resnet50x1,1,7,NaN,bear,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png,n02132136_4512.png,1.0,1.9604782,1.8976691,0.044412747
simclr_resnet50x1,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png,n03376595_4820.png,1.0,6.331872,4.56411,1.2499967
simclr_resnet50x1,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png,n04591713_6111.png,1.0,10.990173,4.7659054,4.401222
simclr_resnet50x1,1,10,NaN,knife,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png,n04560804_14111.png,0.0,0.6673588,4.3110647,-2.5764892
simclr_resnet50x1,1,11,NaN,dog,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png,n02099601_8656.png,1.0,4.2113876,3.97259,0.16885544
simclr_resnet50x1,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png,n02125311_14054.png,1.0,8.935625,4.0355215,3.4648964
simclr_resnet50x1,1,13,NaN,bear,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png,n02132136_10385.png,1.0,5.8877616,4.109131,1.2576818
simclr_resnet50x1,1,14,NaN,bottle,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png,n02823428_10417.png,1.0,5.42049,4.619381,0.5664695
simclr_resnet50x1,1,15,NaN,keyboard,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png,n03085013_23566.png,1.0,6.4978704,4.38515,1.493919
simclr_resnet50x1,1,16,NaN,knife,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png,n03417042_12560.png,0.0,1.9985396,4.8086658,-1.9870594
simclr_resnet50x1,1,17,NaN,airplane,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png,n04467665_69063.png,0.0,2.119019,3.8781018,-1.2438594
simclr_resnet50x1,1,18,NaN,oven,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png,n04111531_9712.png,1.0,16.449945,2.394339,9.938815
simclr_resnet50x1,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png,n04111531_10375.png,1.0,9.699905,3.204013,4.59329
simclr_resnet50x1,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png,n04505470_1744.png,1.0,16.977213,7.652942,6.593255
simclr_resnet50x1,1,21,NaN,knife,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png,n04273569_7296.png,0.0,0.16137312,2.9866197,-1.997751
simclr_resnet50x1,1,22,NaN,dog,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png,n02101006_4807.png,1.0,7.216523,3.224727,2.8226264
simclr_resnet50x1,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png,n02708093_1986.png,1.0,13.93909,3.3197594,7.509001
simclr_resnet50x1,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png,n04560804_15562.png,1.0,10.605124,3.567524,4.976335
simclr_resnet50x1,1,25,NaN,cat,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png,n02124075_13594.png,1.0,10.373596,2.70101,5.425338
simclr_resnet50x1,1,26,NaN,bear,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png,n02134418_4365.png,1.0,4.773197,4.5821266,0.1351073
simclr_resnet50x1,1,27,NaN,bear,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png,n02132136_8650.png,1.0,4.98642,2.9351246,1.450485
simclr_resnet50x1,1,28,NaN,knife,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png,n02009912_12219.png,0.0,1.2299784,2.8015976,-1.1113026
simclr_resnet50x1,1,29,NaN,dog,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png,n02100236_1662.png,1.0,2.9628203,2.4599721,0.35556734
simclr_resnet50x1,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png,n04548280_1947.png,1.0,9.752408,4.3018603,3.8541193
simclr_resnet50x1,1,31,NaN,bear,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png,n02109047_66167.png,0.0,2.7686908,3.0507863,-0.1994716
simclr_resnet50x1,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png,n04111531_21055.png,1.0,11.490396,3.9951625,5.29993
simclr_resnet50x1,1,33,NaN,clock,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png,n02708093_2012.png,1.0,4.318438,3.957893,0.25494394
simclr_resnet50x1,1,34,NaN,elephant,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png,n02504458_6119.png,1.0,22.623505,5.3988256,12.179687
simclr_resnet50x1,1,35,NaN,chair,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png,n04099969_12707.png,1.0,12.243372,6.251149,4.2371416
simclr_resnet50x1,1,36,NaN,clock,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png,n03085013_19054.png,0.0,4.9782534,7.394753,-1.7087233
simclr_resnet50x1,1,37,NaN,chair,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png,n02791124_422.png,1.0,8.087677,1.649665,4.552362
simclr_resnet50x1,1,38,NaN,bicycle,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png,n02835271_23830.png,1.0,17.75225,2.613982,10.704372
simclr_resnet50x1,1,39,NaN,cat,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png,n01534433_14735.png,0.0,0.72473705,1.7138095,-0.69937986
simclr_resnet50x1,1,40,NaN,bird,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png,n02011460_13994.png,1.0,1.9406917,1.0537679,0.6271498
simclr_resnet50x1,1,41,NaN,knife,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png,n04273569_17522.png,0.0,2.5780478,4.12796,-1.0959536
simclr_resnet50x1,1,42,NaN,bear,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png,n02132136_5537.png,1.0,4.511678,2.8017054,1.2091334
simclr_resnet50x1,1,43,NaN,bear,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png,n02132136_19248.png,1.0,7.1869035,4.6453843,1.7971255
simclr_resnet50x1,1,44,NaN,oven,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png,n01537544_1886.png,0.0,1.107337,3.0998852,-1.4089444
simclr_resnet50x1,1,45,NaN,clock,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png,n03196217_4776.png,1.0,7.8439827,3.4373395,3.115967
simclr_resnet50x1,1,46,NaN,airplane,boat,270,0046_rot_dnn_270_boat_20_n04612504_17610.png,n04612504_17610.png,0.0,1.110687,2.0812721,-0.6863073
simclr_resnet50x1,1,47,NaN,bear,bear,90,0047_rot_dnn_90_bear_20_n02134418_1814.png,n02134418_1814.png,1.0,7.6613755,4.076661,2.534776
simclr_resnet50x1,1,48,NaN,keyboard,keyboard,180,0048_rot_dnn_180_keyboard_20_n03085013_20330.png,n03085013_20330.png,1.0,9.31065,3.9813287,3.768399
simclr_resnet50x1,1,49,NaN,bottle,bottle,180,0049_rot_dnn_180_bottle_20_n02823428_14574.png,n02823428_14574.png,1.0,10.094545,6.9466443,2.2259023
simclr_resnet50x1,1,50,NaN,bicycle,bicycle,0,0050_rot_dnn_0_bicycle_20_n03792782_7105.png,n03792782_7105.png,1.0,10.144237,1.3139204,6.2439766
simclr_resnet50x1,1,51,NaN,elephant,elephant,0,0051_rot_dnn_0_elephant_20_n02504458_1302.png,n02504458_1302.png,1.0,18.535843,5.716462,9.0646715
simclr_resnet50x1,1,52,NaN,knife,airplane,90,0052_rot_dnn_90_airplane_20_n02690373_3877.png,n02690373_3877.png,0.0,0.04080379,3.8185244,-2.6712518
