subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,chair,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png,n03376595_3070.png,1.0,1.568985,0.80280703,0.5417696
vit_b_16,1,2,NaN,airplane,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png,n02814533_29367.png,0.0,2.5797367,3.3389792,-0.53686553
vit_b_16,1,3,NaN,car,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png,n02814533_31083.png,1.0,0.73233837,0.58043027,0.10741525
vit_b_16,1,4,NaN,truck,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png,n03100240_1703.png,0.0,1.9937693,3.143043,-0.81265926
vit_b_16,1,5,NaN,bottle,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png,n04591713_2359.png,1.0,2.3834293,0.51458704,1.3214711
vit_b_16,1,6,NaN,dog,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png,n02111500_8796.png,1.0,0.86600924,0.58908236,0.19581687
vit_b_16,1,7,NaN,bear,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png,n02132136_4512.png,1.0,1.0643408,0.9178359,0.10359464
vit_b_16,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png,n03376595_4820.png,1.0,3.6197126,1.3278855,1.6205666
vit_b_16,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png,n04591713_6111.png,1.0,2.4486136,0.5121672,1.3692744
vit_b_16,1,10,NaN,keyboard,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png,n04560804_14111.png,0.0,-0.12371179,2.6145077,-1.9362136
vit_b_16,1,11,NaN,dog,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png,n02099601_8656.png,1.0,1.268932,0.8739717,0.2792791
vit_b_16,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png,n02125311_14054.png,1.0,1.6191555,0.17200883,1.0232872
vit_b_16,1,13,NaN,elephant,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png,n02132136_10385.png,0.0,1.3491322,1.520143,-0.12092294
vit_b_16,1,14,NaN,bottle,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png,n02823428_10417.png,1.0,3.6778564,0.21462321,2.4488757
vit_b_16,1,15,NaN,keyboard,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png,n03085013_23566.png,1.0,7.11257,0.2551131,4.848954
vit_b_16,1,16,NaN,clock,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png,n03417042_12560.png,0.0,-0.27313903,2.3468735,-1.8526287
vit_b_16,1,17,NaN,knife,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png,n04467665_69063.png,0.0,-0.27940995,4.0697,-3.075285
vit_b_16,1,18,NaN,oven,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png,n04111531_9712.png,1.0,8.7154875,0.82730675,5.577786
vit_b_16,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png,n04111531_10375.png,1.0,7.139121,1.4557317,4.018763
vit_b_16,1,20,NaN,keyboard,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png,n04505470_1744.png,1.0,4.83442,0.8335594,2.8290358
vit_b_16,1,21,NaN,bicycle,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png,n04273569_7296.png,0.0,0.33767155,1.5153453,-0.83274114
vit_b_16,1,22,NaN,car,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png,n02101006_4807.png,0.0,-0.16862048,0.41352317,-0.41163775
vit_b_16,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png,n02708093_1986.png,1.0,5.69365,0.16234547,3.911223
vit_b_16,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png,n04560804_15562.png,1.0,3.9818993,0.05655106,2.7756405
vit_b_16,1,25,NaN,cat,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png,n02124075_13594.png,1.0,3.912551,0.107087635,2.6908689
vit_b_16,1,26,NaN,bear,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png,n02134418_4365.png,1.0,4.7531796,2.8919725,1.3160721
vit_b_16,1,27,NaN,bicycle,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png,n02132136_8650.png,0.0,0.5177727,0.99441934,-0.3370401
vit_b_16,1,28,NaN,bird,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png,n02009912_12219.png,1.0,0.8283609,0.5133635,0.22273682
vit_b_16,1,29,NaN,airplane,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png,n02100236_1662.png,0.0,-0.30142856,1.05766,-0.96102077
vit_b_16,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png,n04548280_1947.png,1.0,5.9724846,0.35688776,3.9708266
vit_b_16,1,31,NaN,knife,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png,n02109047_66167.png,0.0,1.1175865,1.1692619,-0.036540054
vit_b_16,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png,n04111531_21055.png,1.0,9.265785,0.8192031,5.9726353
vit_b_16,1,33,NaN,clock,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png,n02708093_2012.png,1.0,4.9832315,0.79753155,2.9597368
vit_b_16,1,34,NaN,elephant,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png,n02504458_6119.png,1.0,7.6980295,0.4505582,5.1247363
vit_b_16,1,35,NaN,chair,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png,n04099969_12707.png,1.0,2.5176291,0.6270046,1.3368734
vit_b_16,1,36,NaN,keyboard,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png,n03085013_19054.png,1.0,7.5614395,2.4430063,3.6192787
vit_b_16,1,37,NaN,chair,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png,n02791124_422.png,1.0,5.3986764,0.4964997,3.4663625
vit_b_16,1,38,NaN,bicycle,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png,n02835271_23830.png,1.0,5.5535045,0.8058003,3.3571339
vit_b_16,1,39,NaN,knife,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png,n01534433_14735.png,0.0,0.78132653,0.9085301,-0.089946516
vit_b_16,1,40,NaN,elephant,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png,n02011460_13994.png,0.0,0.123292066,0.23638692,-0.079970144
vit_b_16,1,41,NaN,boat,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png,n04273569_17522.png,1.0,1.6348689,1.2004303,0.30719447
vit_b_16,1,42,NaN,cat,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png,n02132136_5537.png,0.0,1.4752387,2.7426445,-0.8961913
vit_b_16,1,43,NaN,bear,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png,n02132136_19248.png,1.0,4.689425,0.7140609,2.811007
vit_b_16,1,44,NaN,knife,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png,n01537544_1886.png,0.0,0.5972667,1.3207148,-0.51155514
vit_b_16,1,45,NaN,clock,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png,n03196217_4776.png,1.0,4.6194034,0.5725063,2.8615882
vit_b_16,1,46,NaN,boat,boat,270,0046_rot_dnn_270_boat_20_n04612504_17610.png,n04612504_17610.png,1.0,2.438702,2.3310711,0.076106586
vit_b_16,1,47,NaN,cat,bear,90,0047_rot_dnn_90_bear_20_n02134418_1814.png,n02134418_1814.png,0.0,2.036628,2.4228022,-0.2730664
vit_b_16,1,48,NaN,keyboard,keyboard,180,0048_rot_dnn_180_keyboard_20_n03085013_20330.png,n03085013_20330.png,1.0,6.5049047,3.5568943,2.0845582
