subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe0,1,1,NaN,airplane,airplane,NaN,airplane1.png,airplane1.png,1.0,3.8803751,-2.6122298,4.5909653
alexnet_w1_mlp_simclrhn_probe0,1,2,NaN,airplane,airplane,NaN,airplane10.png,airplane10.png,1.0,3.943991,0.8097851,2.2162182
alexnet_w1_mlp_simclrhn_probe0,1,3,NaN,knife,airplane,NaN,airplane2.png,airplane2.png,0.0,1.1290731,1.840584,-0.50311416
alexnet_w1_mlp_simclrhn_probe0,1,4,NaN,airplane,airplane,NaN,airplane3.png,airplane3.png,1.0,5.0064874,-1.4461565,4.5627084
alexnet_w1_mlp_simclrhn_probe0,1,5,NaN,airplane,airplane,NaN,airplane4.png,airplane4.png,1.0,5.2552943,0.1284833,3.625203
alexnet_w1_mlp_simclrhn_probe0,1,6,NaN,airplane,airplane,NaN,airplane5.png,airplane5.png,1.0,1.0924275,0.24866581,0.5966296
alexnet_w1_mlp_simclrhn_probe0,1,7,NaN,airplane,airplane,NaN,airplane6.png,airplane6.png,1.0,4.5866065,-0.74168926,3.7676742
alexnet_w1_mlp_simclrhn_probe0,1,8,NaN,knife,airplane,NaN,airplane7.png,airplane7.png,0.0,0.47084653,0.88021183,-0.28946498
alexnet_w1_mlp_simclrhn_probe0,1,9,NaN,airplane,airplane,NaN,airplane8.png,airplane8.png,1.0,3.1169512,1.3586036,1.2433395
alexnet_w1_mlp_simclrhn_probe0,1,10,NaN,airplane,airplane,NaN,airplane9.png,airplane9.png,1.0,4.2062325,-1.3190993,3.9069998
alexnet_w1_mlp_simclrhn_probe0,1,11,NaN,knife,bear,NaN,bear1.png,bear1.png,0.0,-5.2127028,0.39235792,-3.9633765
alexnet_w1_mlp_simclrhn_probe0,1,12,NaN,knife,bear,NaN,bear10.png,bear10.png,0.0,-2.5436997,-0.580152,-1.3884379
