subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,airplane,airplane,NaN,airplane1.png,airplane1.png,1.0,18.931002,7.36336,8.179559
alexnet2023_baseline_pgd,1,2,NaN,airplane,airplane,NaN,airplane10.png,airplane10.png,1.0,10.264516,4.3812423,4.160103
alexnet2023_baseline_pgd,1,3,NaN,airplane,airplane,NaN,airplane2.png,airplane2.png,1.0,11.235057,4.823954,4.5333343
alexnet2023_baseline_pgd,1,4,NaN,airplane,airplane,NaN,airplane3.png,airplane3.png,1.0,15.967737,7.193358,6.2044234
alexnet2023_baseline_pgd,1,5,NaN,airplane,airplane,NaN,airplane4.png,airplane4.png,1.0,11.659124,5.602236,4.282867
alexnet2023_baseline_pgd,1,6,NaN,airplane,airplane,NaN,airplane5.png,airplane5.png,1.0,12.140128,5.656229,4.5848093
alexnet2023_baseline_pgd,1,7,NaN,airplane,airplane,NaN,airplane6.png,airplane6.png,1.0,13.719194,6.1221504,5.3719215
alexnet2023_baseline_pgd,1,8,NaN,airplane,airplane,NaN,airplane7.png,airplane7.png,1.0,9.260727,5.8069377,2.4421978
alexnet2023_baseline_pgd,1,9,NaN,airplane,airplane,NaN,airplane8.png,airplane8.png,1.0,12.01516,6.7942715,3.6917255
alexnet2023_baseline_pgd,1,10,NaN,airplane,airplane,NaN,airplane9.png,airplane9.png,1.0,11.588394,5.012055,4.650174
alexnet2023_baseline_pgd,1,11,NaN,elephant,bear,NaN,bear1.png,bear1.png,0.0,2.6886334,3.1778152,-0.34590375
alexnet2023_baseline_pgd,1,12,NaN,bear,bear,NaN,bear10.png,bear10.png,1.0,3.2141497,2.494882,0.508599
alexnet2023_baseline_pgd,1,13,NaN,elephant,bear,NaN,bear2.png,bear2.png,0.0,3.5810418,4.878331,-0.9173221
alexnet2023_baseline_pgd,1,14,NaN,knife,bear,NaN,bear3.png,bear3.png,0.0,2.3939006,4.925582,-1.790169
alexnet2023_baseline_pgd,1,15,NaN,elephant,bear,NaN,bear4.png,bear4.png,0.0,5.463503,8.899021,-2.4292784
alexnet2023_baseline_pgd,1,16,NaN,elephant,bear,NaN,bear5.png,bear5.png,0.0,3.5629978,5.759427,-1.55311
