subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,airplane,airplane,NaN,airplane1.png,airplane1.png,1.0,4.467614,1.4010376,2.168397
convnext_large,1,2,NaN,airplane,airplane,NaN,airplane10.png,airplane10.png,1.0,6.5182643,1.4126344,3.6102257
convnext_large,1,3,NaN,airplane,airplane,NaN,airplane2.png,airplane2.png,1.0,4.640377,1.8536962,1.9704808
convnext_large,1,4,NaN,airplane,airplane,NaN,airplane3.png,airplane3.png,1.0,3.9144402,0.2610044,2.5833693
convnext_large,1,5,NaN,airplane,airplane,NaN,airplane4.png,airplane4.png,1.0,5.743958,0.7734492,3.5146804
convnext_large,1,6,NaN,airplane,airplane,NaN,airplane5.png,airplane5.png,1.0,3.0584052,2.1430233,0.64727277
convnext_large,1,7,NaN,airplane,airplane,NaN,airplane6.png,airplane6.png,1.0,4.451127,0.6326705,2.7000566
convnext_large,1,8,NaN,airplane,airplane,NaN,airplane7.png,airplane7.png,1.0,7.0930157,0.7119745,4.5120773
convnext_large,1,9,NaN,airplane,airplane,NaN,airplane8.png,airplane8.png,1.0,4.352928,2.1341236,1.5689318
convnext_large,1,10,NaN,airplane,airplane,NaN,airplane9.png,airplane9.png,1.0,1.9926758,1.1670017,0.5838397
convnext_large,1,11,NaN,bear,bear,NaN,bear1.png,bear1.png,1.0,4.7093806,2.0091689,1.9093381
convnext_large,1,12,NaN,bear,bear,NaN,bear10.png,bear10.png,1.0,2.3410156,2.0165563,0.22942738
convnext_large,1,13,NaN,bear,bear,NaN,bear2.png,bear2.png,1.0,4.740776,3.7165809,0.7242154
convnext_large,1,14,NaN,bear,bear,NaN,bear3.png,bear3.png,1.0,5.1969795,3.5762432,1.1460336
convnext_large,1,15,NaN,bear,bear,NaN,bear4.png,bear4.png,1.0,4.213822,2.2307074,1.4022738
convnext_large,1,16,NaN,bear,bear,NaN,bear5.png,bear5.png,1.0,4.9169374,1.758709,2.2332048
convnext_large,1,17,NaN,knife,bear,NaN,bear6.png,bear6.png,0.0,0.7914268,1.4221224,-0.44596913
convnext_large,1,18,NaN,elephant,bear,NaN,bear7.png,bear7.png,0.0,2.729584,2.9075766,-0.12585977
convnext_large,1,19,NaN,bear,bear,NaN,bear8.png,bear8.png,1.0,5.0537443,1.2761816,2.6711402
convnext_large,1,20,NaN,knife,bear,NaN,bear9.png,bear9.png,0.0,1.2269778,1.7330273,-0.35783106
convnext_large,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png,bicycle1.png,1.0,6.1321526,1.7096936,3.1271508
convnext_large,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png,bicycle10.png,1.0,4.821155,1.1273504,2.6119144
convnext_large,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png,bicycle2.png,1.0,3.5809796,0.9962167,1.8277034
convnext_large,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png,bicycle3.png,1.0,2.9047017,0.88531363,1.4279231
convnext_large,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png,bicycle4.png,1.0,6.9349184,2.7202044,2.980253
