subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,airplane,airplane,NaN,airplane1.png,airplane1.png,1.0,10.961391,3.8542097,5.0255365
resnet50,1,2,NaN,airplane,airplane,NaN,airplane10.png,airplane10.png,1.0,7.723915,2.6014345,3.6221406
resnet50,1,3,NaN,airplane,airplane,NaN,airplane2.png,airplane2.png,1.0,6.912863,3.276095,2.5715833
resnet50,1,4,NaN,airplane,airplane,NaN,airplane3.png,airplane3.png,1.0,8.244524,3.2359457,3.5415998
resnet50,1,5,NaN,airplane,airplane,NaN,airplane4.png,airplane4.png,1.0,5.8335323,3.1006436,1.9324442
resnet50,1,6,NaN,airplane,airplane,NaN,airplane5.png,airplane5.png,1.0,6.675636,4.2783475,1.6951388
resnet50,1,7,NaN,airplane,airplane,NaN,airplane6.png,airplane6.png,1.0,5.990967,4.7995872,0.84243256
resnet50,1,8,NaN,airplane,airplane,NaN,airplane7.png,airplane7.png,1.0,6.399867,6.1526394,0.17481637
resnet50,1,9,NaN,airplane,airplane,NaN,airplane8.png,airplane8.png,1.0,4.5152216,3.7693958,0.52737844
resnet50,1,10,NaN,airplane,airplane,NaN,airplane9.png,airplane9.png,1.0,9.413147,3.4085834,4.2458677
resnet50,1,11,NaN,bear,bear,NaN,bear1.png,bear1.png,1.0,4.6179776,3.5924156,0.7251819
resnet50,1,12,NaN,bear,bear,NaN,bear10.png,bear10.png,1.0,4.833905,3.0460353,1.264215
resnet50,1,13,NaN,bear,bear,NaN,bear2.png,bear2.png,1.0,5.6946993,3.2712946,1.7136059
resnet50,1,14,NaN,knife,bear,NaN,bear3.png,bear3.png,0.0,3.748373,6.270814,-1.7836351
resnet50,1,15,NaN,bear,bear,NaN,bear4.png,bear4.png,1.0,8.857488,6.1789236,1.8940308
resnet50,1,16,NaN,bear,bear,NaN,bear5.png,bear5.png,1.0,7.1039186,4.4587855,1.8703915
resnet50,1,17,NaN,knife,bear,NaN,bear6.png,bear6.png,0.0,3.6069186,3.8883595,-0.19900882
resnet50,1,18,NaN,knife,bear,NaN,bear7.png,bear7.png,0.0,0.011969209,5.118829,-3.6110952
resnet50,1,19,NaN,bear,bear,NaN,bear8.png,bear8.png,1.0,3.4226592,3.1295092,0.20728832
resnet50,1,20,NaN,bear,bear,NaN,bear9.png,bear9.png,1.0,2.290357,2.123369,0.11807845
resnet50,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png,bicycle1.png,1.0,12.718124,4.9453626,5.496173
resnet50,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png,bicycle10.png,1.0,10.191905,4.20181,4.235637
resnet50,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png,bicycle2.png,1.0,10.344683,3.153175,5.0851636
resnet50,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png,bicycle3.png,1.0,10.611065,4.268825,4.484641
resnet50,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png,bicycle4.png,1.0,15.918625,5.119926,7.635833
resnet50,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png,bicycle5.png,1.0,12.66946,4.3349986,5.893354
resnet50,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png,bicycle6.png,1.0,5.978975,4.125742,1.3104335
resnet50,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png,bicycle7.png,1.0,15.20318,3.977192,7.9379725
resnet50,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png,bicycle8.png,1.0,15.24733,5.8903236,6.6164026
resnet50,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png,bicycle9.png,1.0,11.370941,3.6750517,5.441816
resnet50,1,31,NaN,knife,bird,NaN,bird1.png,bird1.png,0.0,1.8687881,2.2943523,-0.30091932
resnet50,1,32,NaN,knife,bird,NaN,bird10.png,bird10.png,0.0,1.6021479,4.241049,-1.8659847
resnet50,1,33,NaN,knife,bird,NaN,bird2.png,bird2.png,0.0,-2.2515335,3.5700355,-4.116471
resnet50,1,34,NaN,knife,bird,NaN,bird3.png,bird3.png,0.0,0.7179237,5.8200145,-3.607723
resnet50,1,35,NaN,knife,bird,NaN,bird4.png,bird4.png,0.0,-0.40673366,3.672394,-2.884379
resnet50,1,36,NaN,bird,bird,NaN,bird5.png,bird5.png,1.0,6.0190487,1.8609145,2.9402452
resnet50,1,37,NaN,knife,bird,NaN,bird6.png,bird6.png,0.0,1.6712195,3.1344976,-1.034694
resnet50,1,38,NaN,clock,bird,NaN,bird7.png,bird7.png,0.0,2.2828295,3.4189606,-0.803366
resnet50,1,39,NaN,cat,bird,NaN,bird8.png,bird8.png,0.0,2.2765598,4.6124387,-1.6517158
resnet50,1,40,NaN,bird,bird,NaN,bird9.png,bird9.png,1.0,6.594126,2.3960092,2.9685173
resnet50,1,41,NaN,knife,boat,NaN,boat1.png,boat1.png,0.0,-1.6052135,8.0535145,-6.829752
resnet50,1,42,NaN,knife,boat,NaN,boat10.png,boat10.png,0.0,-2.453228,3.5765781,-4.2637167
resnet50,1,43,NaN,knife,boat,NaN,boat2.png,boat2.png,0.0,-0.17747322,5.507409,-4.019819
resnet50,1,44,NaN,keyboard,boat,NaN,boat3.png,boat3.png,0.0,-0.20495148,2.8100028,-2.1318946
resnet50,1,45,NaN,knife,boat,NaN,boat4.png,boat4.png,0.0,0.28994656,6.1710052,-4.1585364
resnet50,1,46,NaN,clock,boat,NaN,boat5.png,boat5.png,0.0,1.0912751,6.1306386,-3.563368
resnet50,1,47,NaN,knife,boat,NaN,boat6.png,boat6.png,0.0,0.2027479,7.6897583,-5.294116
resnet50,1,48,NaN,knife,boat,NaN,boat7.png,boat7.png,0.0,-0.4624226,4.923527,-3.8084412
resnet50,1,49,NaN,knife,boat,NaN,boat8.png,boat8.png,0.0,-0.0968353,6.977276,-5.002152
resnet50,1,50,NaN,clock,boat,NaN,boat9.png,boat9.png,0.0,3.205152,3.4497795,-0.17297775
resnet50,1,51,NaN,bottle,bottle,NaN,bottle1.png,bottle1.png,1.0,8.228028,4.2393684,2.8204086
resnet50,1,52,NaN,bottle,bottle,NaN,bottle10.png,bottle10.png,1.0,9.0104885,4.5407944,3.160551
resnet50,1,53,NaN,bottle,bottle,NaN,bottle2.png,bottle2.png,1.0,9.440636,5.684684,2.655859
resnet50,1,54,NaN,bottle,bottle,NaN,bottle3.png,bottle3.png,1.0,10.339818,6.5581226,2.6740625
resnet50,1,55,NaN,bottle,bottle,NaN,bottle4.png,bottle4.png,1.0,9.658837,6.2792997,2.389694
resnet50,1,56,NaN,bottle,bottle,NaN,bottle5.png,bottle5.png,1.0,10.097704,4.646071,3.8548868
resnet50,1,57,NaN,bottle,bottle,NaN,bottle6.png,bottle6.png,1.0,10.699424,3.234969,5.278167
resnet50,1,58,NaN,bottle,bottle,NaN,bottle7.png,bottle7.png,1.0,11.656264,5.3650427,4.4485655
resnet50,1,59,NaN,bottle,bottle,NaN,bottle8.png,bottle8.png,1.0,9.51159,4.685629,3.4124699
resnet50,1,60,NaN,bottle,bottle,NaN,bottle9.png,bottle9.png,1.0,9.13975,5.568738,2.5250864
resnet50,1,61,NaN,knife,car,NaN,car1.png,car1.png,0.0,-0.5221109,4.3410025,-3.4387405
resnet50,1,62,NaN,knife,car,NaN,car10.png,car10.png,0.0,-1.2788684,3.8692756,-3.6402874
resnet50,1,63,NaN,knife,car,NaN,car2.png,car2.png,0.0,-1.2014481,3.217746,-3.1248422
resnet50,1,64,NaN,knife,car,NaN,car3.png,car3.png,0.0,-1.5573364,4.799266,-4.4947968
resnet50,1,65,NaN,oven,car,NaN,car4.png,car4.png,0.0,-2.6560717,3.9793818,-4.691974
resnet50,1,66,NaN,knife,car,NaN,car5.png,car5.png,0.0,-2.0724218,4.662803,-4.762523
resnet50,1,67,NaN,knife,car,NaN,car6.png,car6.png,0.0,-0.9855105,5.7153807,-4.7382455
resnet50,1,68,NaN,bottle,car,NaN,car7.png,car7.png,0.0,-2.5825932,3.7038786,-4.445207
resnet50,1,69,NaN,knife,car,NaN,car8.png,car8.png,0.0,-2.9485338,4.7027845,-5.4102993
resnet50,1,70,NaN,oven,car,NaN,car9.png,car9.png,0.0,-0.61547786,3.2494512,-2.7329175
