subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe2,1,1,NaN,airplane,airplane,0,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,airplane-0001-sketch-0.png,1.0,2.811974,1.1268145,1.1915878
alexnet_w1_mlp_simclrhn_probe2,1,2,NaN,airplane,airplane,0,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,airplane-0002-sketch-1.png,1.0,2.3088114,0.7480781,1.1036052
alexnet_w1_mlp_simclrhn_probe2,1,3,NaN,airplane,airplane,0,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,airplane-0003-sketch-10.png,1.0,1.1644996,0.17612195,0.6988886
alexnet_w1_mlp_simclrhn_probe2,1,4,NaN,airplane,airplane,0,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,airplane-0004-sketch-11.png,1.0,1.1330221,-0.085504845,0.8616287
alexnet_w1_mlp_simclrhn_probe2,1,5,NaN,airplane,airplane,0,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,airplane-0005-sketch-12.png,1.0,2.715939,-0.041109562,1.9495277
alexnet_w1_mlp_simclrhn_probe2,1,6,NaN,airplane,airplane,0,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,airplane-0006-sketch-13.png,1.0,7.2934685,-0.06802927,5.205365
alexnet_w1_mlp_simclrhn_probe2,1,7,NaN,airplane,airplane,0,0007_ske_dnn_0_airplane_00_airplane-0007-sketch-14.png,airplane-0007-sketch-14.png,1.0,2.428677,0.34907305,1.4705023
alexnet_w1_mlp_simclrhn_probe2,1,8,NaN,airplane,airplane,0,0008_ske_dnn_0_airplane_00_airplane-0008-sketch-15.png,airplane-0008-sketch-15.png,1.0,2.1903448,1.4675318,0.511106
alexnet_w1_mlp_simclrhn_probe2,1,9,NaN,airplane,airplane,0,0009_ske_dnn_0_airplane_00_airplane-0009-sketch-16.png,airplane-0009-sketch-16.png,1.0,3.9628448,0.83984756,2.2082925
alexnet_w1_mlp_simclrhn_probe2,1,10,NaN,airplane,airplane,0,0010_ske_dnn_0_airplane_00_airplane-0010-sketch-17.png,airplane-0010-sketch-17.png,1.0,2.8395052,-0.30321193,2.2222366
alexnet_w1_mlp_simclrhn_probe2,1,11,NaN,knife,airplane,0,0011_ske_dnn_0_airplane_00_airplane-0011-sketch-18.png,airplane-0011-sketch-18.png,0.0,0.49056488,1.470648,-0.69302344
alexnet_w1_mlp_simclrhn_probe2,1,12,NaN,airplane,airplane,0,0012_ske_dnn_0_airplane_00_airplane-0012-sketch-19.png,airplane-0012-sketch-19.png,1.0,1.5345557,1.0609006,0.33492473
alexnet_w1_mlp_simclrhn_probe2,1,13,NaN,airplane,airplane,0,0013_ske_dnn_0_airplane_00_airplane-0013-sketch-2.png,airplane-0013-sketch-2.png,1.0,2.7757611,0.35474473,1.7119172
alexnet_w1_mlp_simclrhn_probe2,1,14,NaN,airplane,airplane,0,0014_ske_dnn_0_airplane_00_airplane-0014-sketch-20.png,airplane-0014-sketch-20.png,1.0,3.3731449,0.66578513,1.9143925
alexnet_w1_mlp_simclrhn_probe2,1,15,NaN,airplane,airplane,0,0015_ske_dnn_0_airplane_00_airplane-0015-sketch-21.png,airplane-0015-sketch-21.png,1.0,3.4885433,-0.2071073,2.6132197
alexnet_w1_mlp_simclrhn_probe2,1,16,NaN,airplane,airplane,0,0016_ske_dnn_0_airplane_00_airplane-0016-sketch-22.png,airplane-0016-sketch-22.png,1.0,3.4130356,-0.1041106,2.4869978
alexnet_w1_mlp_simclrhn_probe2,1,17,NaN,airplane,airplane,0,0017_ske_dnn_0_airplane_00_airplane-0017-sketch-23.png,airplane-0017-sketch-23.png,1.0,2.5236535,0.92074496,1.1334276
alexnet_w1_mlp_simclrhn_probe2,1,18,NaN,airplane,airplane,0,0018_ske_dnn_0_airplane_00_airplane-0018-sketch-24.png,airplane-0018-sketch-24.png,1.0,0.30138272,0.23876733,0.04427577
alexnet_w1_mlp_simclrhn_probe2,1,19,NaN,clock,airplane,0,0019_ske_dnn_0_airplane_00_airplane-0019-sketch-25.png,airplane-0019-sketch-25.png,0.0,0.47839442,2.4480553,-1.3927606
alexnet_w1_mlp_simclrhn_probe2,1,20,NaN,clock,airplane,0,0020_ske_dnn_0_airplane_00_airplane-0020-sketch-26.png,airplane-0020-sketch-26.png,0.0,-0.5795063,0.60415393,-0.8369742
alexnet_w1_mlp_simclrhn_probe2,1,21,NaN,knife,airplane,0,0021_ske_dnn_0_airplane_00_airplane-0021-sketch-27.png,airplane-0021-sketch-27.png,0.0,0.27740777,1.8854103,-1.1370295
alexnet_w1_mlp_simclrhn_probe2,1,22,NaN,airplane,airplane,0,0022_ske_dnn_0_airplane_00_airplane-0022-sketch-28.png,airplane-0022-sketch-28.png,1.0,2.7367356,1.1629969,1.1128013
alexnet_w1_mlp_simclrhn_probe2,1,23,NaN,airplane,airplane,0,0023_ske_dnn_0_airplane_00_airplane-0023-sketch-29.png,airplane-0023-sketch-29.png,1.0,0.6910218,0.15432714,0.37950042
alexnet_w1_mlp_simclrhn_probe2,1,24,NaN,airplane,airplane,0,0024_ske_dnn_0_airplane_00_airplane-0024-sketch-3.png,airplane-0024-sketch-3.png,1.0,2.74256,-0.00807596,1.9449933
alexnet_w1_mlp_simclrhn_probe2,1,25,NaN,airplane,airplane,0,0025_ske_dnn_0_airplane_00_airplane-0025-sketch-30.png,airplane-0025-sketch-30.png,1.0,1.8029268,0.9582418,0.59728247
alexnet_w1_mlp_simclrhn_probe2,1,26,NaN,clock,airplane,0,0026_ske_dnn_0_airplane_00_airplane-0027-sketch-32.png,airplane-0027-sketch-32.png,0.0,1.0205853,1.7973155,-0.5492312
alexnet_w1_mlp_simclrhn_probe2,1,27,NaN,knife,airplane,0,0027_ske_dnn_0_airplane_00_airplane-0028-sketch-33.png,airplane-0028-sketch-33.png,0.0,0.7152088,1.9721103,-0.8887636
alexnet_w1_mlp_simclrhn_probe2,1,28,NaN,clock,airplane,0,0028_ske_dnn_0_airplane_00_airplane-0029-sketch-34.png,airplane-0029-sketch-34.png,0.0,0.8916851,1.5209786,-0.44497767
alexnet_w1_mlp_simclrhn_probe2,1,29,NaN,clock,airplane,0,0029_ske_dnn_0_airplane_00_airplane-0030-sketch-35.png,airplane-0030-sketch-35.png,0.0,0.31213886,0.56149477,-0.17632125
alexnet_w1_mlp_simclrhn_probe2,1,30,NaN,airplane,airplane,0,0030_ske_dnn_0_airplane_00_airplane-0031-sketch-36.png,airplane-0031-sketch-36.png,1.0,1.2342551,1.121214,0.079932086
alexnet_w1_mlp_simclrhn_probe2,1,31,NaN,airplane,airplane,0,0031_ske_dnn_0_airplane_00_airplane-0032-sketch-37.png,airplane-0032-sketch-37.png,1.0,2.2583175,0.48803747,1.251777
alexnet_w1_mlp_simclrhn_probe2,1,32,NaN,airplane,airplane,0,0032_ske_dnn_0_airplane_00_airplane-0033-sketch-38.png,airplane-0033-sketch-38.png,1.0,1.6566315,0.6290751,0.7265921
alexnet_w1_mlp_simclrhn_probe2,1,33,NaN,clock,airplane,0,0033_ske_dnn_0_airplane_00_airplane-0034-sketch-39.png,airplane-0034-sketch-39.png,0.0,0.121792465,1.1944867,-0.75850946
alexnet_w1_mlp_simclrhn_probe2,1,34,NaN,airplane,airplane,0,0034_ske_dnn_0_airplane_00_airplane-0035-sketch-4.png,airplane-0035-sketch-4.png,1.0,1.9254069,1.1724248,0.5324388
alexnet_w1_mlp_simclrhn_probe2,1,35,NaN,airplane,airplane,0,0035_ske_dnn_0_airplane_00_airplane-0036-sketch-40.png,airplane-0036-sketch-40.png,1.0,4.7882805,0.25350475,3.2065706
alexnet_w1_mlp_simclrhn_probe2,1,36,NaN,airplane,airplane,0,0036_ske_dnn_0_airplane_00_airplane-0037-sketch-41.png,airplane-0037-sketch-41.png,1.0,1.4254792,1.2048752,0.15599054
alexnet_w1_mlp_simclrhn_probe2,1,37,NaN,clock,airplane,0,0037_ske_dnn_0_airplane_00_airplane-0038-sketch-42.png,airplane-0038-sketch-42.png,0.0,-0.15115815,1.7265943,-1.3277715
alexnet_w1_mlp_simclrhn_probe2,1,38,NaN,knife,airplane,0,0038_ske_dnn_0_airplane_00_airplane-0039-sketch-43.png,airplane-0039-sketch-43.png,0.0,1.240762,1.4580781,-0.15366572
alexnet_w1_mlp_simclrhn_probe2,1,39,NaN,clock,airplane,0,0039_ske_dnn_0_airplane_00_airplane-0040-sketch-44.png,airplane-0040-sketch-44.png,0.0,-1.3045582,1.6459879,-2.0863512
alexnet_w1_mlp_simclrhn_probe2,1,40,NaN,airplane,airplane,0,0040_ske_dnn_0_airplane_00_airplane-0041-sketch-45.png,airplane-0041-sketch-45.png,1.0,2.268545,0.7904167,1.0451945
alexnet_w1_mlp_simclrhn_probe2,1,41,NaN,clock,airplane,0,0041_ske_dnn_0_airplane_00_airplane-0042-sketch-46.png,airplane-0042-sketch-46.png,0.0,-0.10696815,0.4120716,-0.36701652
alexnet_w1_mlp_simclrhn_probe2,1,42,NaN,clock,airplane,0,0042_ske_dnn_0_airplane_00_airplane-0043-sketch-47.png,airplane-0043-sketch-47.png,0.0,1.0064223,1.8739176,-0.61341184
alexnet_w1_mlp_simclrhn_probe2,1,43,NaN,airplane,airplane,0,0043_ske_dnn_0_airplane_00_airplane-0044-sketch-48.png,airplane-0044-sketch-48.png,1.0,1.8344632,0.8497511,0.69629663
alexnet_w1_mlp_simclrhn_probe2,1,44,NaN,airplane,airplane,0,0044_ske_dnn_0_airplane_00_airplane-0045-sketch-49.png,airplane-0045-sketch-49.png,1.0,2.1311185,1.6387869,0.34813103
alexnet_w1_mlp_simclrhn_probe2,1,45,NaN,airplane,airplane,0,0045_ske_dnn_0_airplane_00_airplane-0046-sketch-5.png,airplane-0046-sketch-5.png,1.0,0.91614616,0.19759361,0.50809336
alexnet_w1_mlp_simclrhn_probe2,1,46,NaN,airplane,airplane,0,0046_ske_dnn_0_airplane_00_airplane-0047-sketch-50.png,airplane-0047-sketch-50.png,1.0,1.6846957,0.7759977,0.64254653
alexnet_w1_mlp_simclrhn_probe2,1,47,NaN,airplane,airplane,0,0047_ske_dnn_0_airplane_00_airplane-0048-sketch-6.png,airplane-0048-sketch-6.png,1.0,2.2422922,0.25971165,1.4018961
alexnet_w1_mlp_simclrhn_probe2,1,48,NaN,airplane,airplane,0,0048_ske_dnn_0_airplane_00_airplane-0049-sketch-7.png,airplane-0049-sketch-7.png,1.0,2.394298,1.2294008,0.8237068
alexnet_w1_mlp_simclrhn_probe2,1,49,NaN,clock,airplane,0,0049_ske_dnn_0_airplane_00_airplane-0050-sketch-8.png,airplane-0050-sketch-8.png,0.0,-0.9061628,2.4448798,-2.369545
alexnet_w1_mlp_simclrhn_probe2,1,50,NaN,airplane,airplane,0,0050_ske_dnn_0_airplane_00_airplane-0051-sketch-9.png,airplane-0051-sketch-9.png,1.0,3.6482806,1.047949,1.8387122
alexnet_w1_mlp_simclrhn_probe2,1,51,NaN,bird,bear,0,0051_ske_dnn_0_bear_00_bear-0005-sketch-12.png,bear-0005-sketch-12.png,0.0,-5.527498,-1.0390013,-3.1738462
alexnet_w1_mlp_simclrhn_probe2,1,52,NaN,clock,bear,0,0052_ske_dnn_0_bear_00_bear-0007-sketch-14.png,bear-0007-sketch-14.png,0.0,-8.090689,-0.79047704,-5.1620293
alexnet_w1_mlp_simclrhn_probe2,1,53,NaN,cat,bear,0,0053_ske_dnn_0_bear_00_bear-0017-sketch-23.png,bear-0017-sketch-23.png,0.0,-1.1128819,3.5276449,-3.281348
alexnet_w1_mlp_simclrhn_probe2,1,54,NaN,elephant,bear,0,0054_ske_dnn_0_bear_00_bear-0022-sketch-28.png,bear-0022-sketch-28.png,0.0,-3.3825512,-0.022422895,-2.3759696
alexnet_w1_mlp_simclrhn_probe2,1,55,NaN,cat,bear,0,0055_ske_dnn_0_bear_00_bear-0023-sketch-29.png,bear-0023-sketch-29.png,0.0,-4.936899,-0.1419184,-3.3905637
alexnet_w1_mlp_simclrhn_probe2,1,56,NaN,cat,bear,0,0056_ske_dnn_0_bear_00_bear-0026-sketch-31.png,bear-0026-sketch-31.png,0.0,-0.12025249,0.48226523,-0.42604437
alexnet_w1_mlp_simclrhn_probe2,1,57,NaN,cat,bear,0,0057_ske_dnn_0_bear_00_bear-0027-sketch-32.png,bear-0027-sketch-32.png,0.0,-5.936427,1.8023838,-5.472166
alexnet_w1_mlp_simclrhn_probe2,1,58,NaN,cat,bear,0,0058_ske_dnn_0_bear_00_bear-0030-sketch-35.png,bear-0030-sketch-35.png,0.0,-1.5123724,-0.38805184,-0.7950147
alexnet_w1_mlp_simclrhn_probe2,1,59,NaN,cat,bear,0,0059_ske_dnn_0_bear_00_bear-0033-sketch-38.png,bear-0033-sketch-38.png,0.0,-0.8630785,2.3829756,-2.295307
alexnet_w1_mlp_simclrhn_probe2,1,60,NaN,cat,bear,0,0060_ske_dnn_0_bear_00_bear-0036-sketch-40.png,bear-0036-sketch-40.png,0.0,-6.0279245,-0.599291,-3.8386238
alexnet_w1_mlp_simclrhn_probe2,1,61,NaN,bear,bear,0,0061_ske_dnn_0_bear_00_bear-0037-sketch-41.png,bear-0037-sketch-41.png,1.0,2.0376089,1.2680044,0.54419255
alexnet_w1_mlp_simclrhn_probe2,1,62,NaN,cat,bear,0,0062_ske_dnn_0_bear_00_bear-0038-sketch-42.png,bear-0038-sketch-42.png,0.0,-1.0647871,2.1549864,-2.2767236
alexnet_w1_mlp_simclrhn_probe2,1,63,NaN,cat,bear,0,0063_ske_dnn_0_bear_00_bear-0039-sketch-43.png,bear-0039-sketch-43.png,0.0,-1.4223788,-0.12549247,-0.9170371
alexnet_w1_mlp_simclrhn_probe2,1,64,NaN,cat,bear,0,0064_ske_dnn_0_bear_00_bear-0041-sketch-45.png,bear-0041-sketch-45.png,0.0,-0.5071298,-0.11710247,-0.27579096
alexnet_w1_mlp_simclrhn_probe2,1,65,NaN,elephant,bear,0,0065_ske_dnn_0_bear_00_bear-0045-sketch-49.png,bear-0045-sketch-49.png,0.0,3.0456676,3.5747356,-0.37410757
alexnet_w1_mlp_simclrhn_probe2,1,66,NaN,cat,bear,0,0066_ske_dnn_0_bear_00_bear-0048-sketch-7.png,bear-0048-sketch-7.png,0.0,-6.760537,-1.041547,-4.0439367
alexnet_w1_mlp_simclrhn_probe2,1,67,NaN,cat,bear,0,0067_ske_dnn_0_bear_00_bear-0049-sketch-8.png,bear-0049-sketch-8.png,0.0,-4.1716146,1.7630053,-4.19641
alexnet_w1_mlp_simclrhn_probe2,1,68,NaN,cat,bear,0,0068_ske_dnn_0_bear_00_bear-0053-sketch-10.png,bear-0053-sketch-10.png,0.0,-3.9276714,2.9466689,-4.860893
alexnet_w1_mlp_simclrhn_probe2,1,69,NaN,bear,bear,0,0069_ske_dnn_0_bear_00_bear-0059-sketch-16.png,bear-0059-sketch-16.png,1.0,0.43681425,-1.2012979,1.1583202
alexnet_w1_mlp_simclrhn_probe2,1,70,NaN,dog,bear,0,0070_ske_dnn_0_bear_00_bear-0068-sketch-24.png,bear-0068-sketch-24.png,0.0,-2.2371514,-1.3568467,-0.6224694
alexnet_w1_mlp_simclrhn_probe2,1,71,NaN,oven,bear,0,0071_ske_dnn_0_bear_00_bear-0070-sketch-26.png,bear-0070-sketch-26.png,0.0,-6.507326,-1.9652302,-3.211747
alexnet_w1_mlp_simclrhn_probe2,1,72,NaN,cat,bear,0,0072_ske_dnn_0_bear_00_bear-0073-sketch-29.png,bear-0073-sketch-29.png,0.0,0.07691458,1.9951291,-1.3563825
alexnet_w1_mlp_simclrhn_probe2,1,73,NaN,bear,bear,0,0073_ske_dnn_0_bear_00_bear-0079-sketch-34.png,bear-0079-sketch-34.png,1.0,4.435904,1.013285,2.420157
alexnet_w1_mlp_simclrhn_probe2,1,74,NaN,bear,bear,0,0074_ske_dnn_0_bear_00_bear-0081-sketch-36.png,bear-0081-sketch-36.png,1.0,0.87253875,0.117406525,0.5339591
alexnet_w1_mlp_simclrhn_probe2,1,75,NaN,cat,bear,0,0075_ske_dnn_0_bear_00_bear-0085-sketch-4.png,bear-0085-sketch-4.png,0.0,0.46549958,1.9670168,-1.0617331
alexnet_w1_mlp_simclrhn_probe2,1,76,NaN,dog,bear,0,0076_ske_dnn_0_bear_00_bear-0086-sketch-40.png,bear-0086-sketch-40.png,0.0,-1.1306341,-0.59865236,-0.3761679
alexnet_w1_mlp_simclrhn_probe2,1,77,NaN,clock,bear,0,0077_ske_dnn_0_bear_00_bear-0087-sketch-41.png,bear-0087-sketch-41.png,0.0,-6.3202124,0.9080002,-5.111118
alexnet_w1_mlp_simclrhn_probe2,1,78,NaN,clock,bear,0,0078_ske_dnn_0_bear_00_bear-0090-sketch-44.png,bear-0090-sketch-44.png,0.0,-15.571597,2.2026591,-12.568297
alexnet_w1_mlp_simclrhn_probe2,1,79,NaN,clock,bear,0,0079_ske_dnn_0_bear_00_bear-0103-sketch-1.png,bear-0103-sketch-1.png,0.0,-8.041399,0.48769987,-6.0309834
alexnet_w1_mlp_simclrhn_probe2,1,80,NaN,chair,bear,0,0080_ske_dnn_0_bear_00_bear-0107-sketch-13.png,bear-0107-sketch-13.png,0.0,-5.9053626,-0.6261814,-3.7329447
