subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,airplane,airplane,0,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,airplane-0001-sketch-0.png,1.0,8.222718,3.8985007,3.0576837
alexnet2023_baseline_pgd,1,2,NaN,airplane,airplane,0,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,airplane-0002-sketch-1.png,1.0,7.233142,4.66242,1.817775
alexnet2023_baseline_pgd,1,3,NaN,keyboard,airplane,0,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,airplane-0003-sketch-10.png,0.0,3.0603023,4.947472,-1.3344306
alexnet2023_baseline_pgd,1,4,NaN,keyboard,airplane,0,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,airplane-0004-sketch-11.png,0.0,2.3188367,4.631257,-1.6351281
alexnet2023_baseline_pgd,1,5,NaN,airplane,airplane,0,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,airplane-0005-sketch-12.png,1.0,5.31238,4.3850503,0.655721
alexnet2023_baseline_pgd,1,6,NaN,airplane,airplane,0,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,airplane-0006-sketch-13.png,1.0,15.346345,4.948028,7.3527207
alexnet2023_baseline_pgd,1,7,NaN,airplane,airplane,0,0007_ske_dnn_0_airplane_00_airplane-0007-sketch-14.png,airplane-0007-sketch-14.png,1.0,8.124389,4.201507,2.7738962
alexnet2023_baseline_pgd,1,8,NaN,car,airplane,0,0008_ske_dnn_0_airplane_00_airplane-0008-sketch-15.png,airplane-0008-sketch-15.png,0.0,3.612029,6.9133587,-2.3343925
alexnet2023_baseline_pgd,1,9,NaN,airplane,airplane,0,0009_ske_dnn_0_airplane_00_airplane-0009-sketch-16.png,airplane-0009-sketch-16.png,1.0,5.937394,3.7423573,1.5521255
alexnet2023_baseline_pgd,1,10,NaN,bird,airplane,0,0010_ske_dnn_0_airplane_00_airplane-0010-sketch-17.png,airplane-0010-sketch-17.png,0.0,3.1585543,5.1708493,-1.4229075
alexnet2023_baseline_pgd,1,11,NaN,clock,airplane,0,0011_ske_dnn_0_airplane_00_airplane-0011-sketch-18.png,airplane-0011-sketch-18.png,0.0,3.7742784,4.8673644,-0.77292854
alexnet2023_baseline_pgd,1,12,NaN,truck,airplane,0,0012_ske_dnn_0_airplane_00_airplane-0012-sketch-19.png,airplane-0012-sketch-19.png,0.0,1.9170529,3.4759636,-1.1023164
alexnet2023_baseline_pgd,1,13,NaN,airplane,airplane,0,0013_ske_dnn_0_airplane_00_airplane-0013-sketch-2.png,airplane-0013-sketch-2.png,1.0,9.014487,5.407818,2.5503004
alexnet2023_baseline_pgd,1,14,NaN,airplane,airplane,0,0014_ske_dnn_0_airplane_00_airplane-0014-sketch-20.png,airplane-0014-sketch-20.png,1.0,7.8101096,3.884915,2.7755318
alexnet2023_baseline_pgd,1,15,NaN,airplane,airplane,0,0015_ske_dnn_0_airplane_00_airplane-0015-sketch-21.png,airplane-0015-sketch-21.png,1.0,6.007969,3.696257,1.6346271
alexnet2023_baseline_pgd,1,16,NaN,airplane,airplane,0,0016_ske_dnn_0_airplane_00_airplane-0016-sketch-22.png,airplane-0016-sketch-22.png,1.0,9.493863,3.2017138,4.4492216
alexnet2023_baseline_pgd,1,17,NaN,airplane,airplane,0,0017_ske_dnn_0_airplane_00_airplane-0017-sketch-23.png,airplane-0017-sketch-23.png,1.0,3.3972714,2.514243,0.62439543
