subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,clock,airplane,0,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,airplane-0001-sketch-0.png,0.0,2.9945478,5.5946755,-1.838568
alexnet,1,2,NaN,clock,airplane,0,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,airplane-0002-sketch-1.png,0.0,0.45161235,4.440906,-2.8208566
alexnet,1,3,NaN,knife,airplane,0,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,airplane-0003-sketch-10.png,0.0,1.3267406,4.7228956,-2.4014442
alexnet,1,4,NaN,clock,airplane,0,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,airplane-0004-sketch-11.png,0.0,2.8024173,3.4575856,-0.46327394
alexnet,1,5,NaN,airplane,airplane,0,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,airplane-0005-sketch-12.png,1.0,6.2927103,3.529002,1.954237
alexnet,1,6,NaN,airplane,airplane,0,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,airplane-0006-sketch-13.png,1.0,14.068408,5.8014345,5.845633
alexnet,1,7,NaN,knife,airplane,0,0007_ske_dnn_0_airplane_00_airplane-0007-sketch-14.png,airplane-0007-sketch-14.png,0.0,3.060637,3.85926,-0.5647118
alexnet,1,8,NaN,clock,airplane,0,0008_ske_dnn_0_airplane_00_airplane-0008-sketch-15.png,airplane-0008-sketch-15.png,0.0,1.6194142,3.7973602,-1.5400405
alexnet,1,9,NaN,oven,airplane,0,0009_ske_dnn_0_airplane_00_airplane-0009-sketch-16.png,airplane-0009-sketch-16.png,0.0,4.0574427,5.4515395,-0.98577535
alexnet,1,10,NaN,bicycle,airplane,0,0010_ske_dnn_0_airplane_00_airplane-0010-sketch-17.png,airplane-0010-sketch-17.png,0.0,0.3218013,5.514679,-3.671919
alexnet,1,11,NaN,knife,airplane,0,0011_ske_dnn_0_airplane_00_airplane-0011-sketch-18.png,airplane-0011-sketch-18.png,0.0,0.21409929,4.4182663,-2.972795
alexnet,1,12,NaN,clock,airplane,0,0012_ske_dnn_0_airplane_00_airplane-0012-sketch-19.png,airplane-0012-sketch-19.png,0.0,0.98814213,6.6553226,-4.007302
alexnet,1,13,NaN,airplane,airplane,0,0013_ske_dnn_0_airplane_00_airplane-0013-sketch-2.png,airplane-0013-sketch-2.png,1.0,11.1220455,6.9680243,2.9373367
alexnet,1,14,NaN,knife,airplane,0,0014_ske_dnn_0_airplane_00_airplane-0014-sketch-20.png,airplane-0014-sketch-20.png,0.0,4.8172884,7.670511,-2.0175328
alexnet,1,15,NaN,clock,airplane,0,0015_ske_dnn_0_airplane_00_airplane-0015-sketch-21.png,airplane-0015-sketch-21.png,0.0,2.2680743,5.637179,-2.3823168
alexnet,1,16,NaN,airplane,airplane,0,0016_ske_dnn_0_airplane_00_airplane-0016-sketch-22.png,airplane-0016-sketch-22.png,1.0,9.839729,5.157728,3.310675
alexnet,1,17,NaN,oven,airplane,0,0017_ske_dnn_0_airplane_00_airplane-0017-sketch-23.png,airplane-0017-sketch-23.png,0.0,2.5341063,5.4465547,-2.059412
alexnet,1,18,NaN,oven,airplane,0,0018_ske_dnn_0_airplane_00_airplane-0018-sketch-24.png,airplane-0018-sketch-24.png,0.0,1.3103429,5.68935,-3.0964258
