subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,airplane,airplane,0,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,00_airplane-0001-sketch-0.png,1.0,8.219593,4.2401943,2.81386
bagnet33,1,2,NaN,clock,airplane,0,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,00_airplane-0002-sketch-1.png,0.0,-1.3300952,2.8519886,-2.9571798
bagnet33,1,3,NaN,clock,airplane,0,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,00_airplane-0003-sketch-10.png,0.0,0.40903652,2.3920274,-1.4021863
bagnet33,1,4,NaN,clock,airplane,0,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,00_airplane-0004-sketch-11.png,0.0,-0.8584064,1.2680174,-1.5036087
bagnet33,1,5,NaN,clock,airplane,0,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,00_airplane-0005-sketch-12.png,0.0,1.2117324,3.2326992,-1.4290394
bagnet33,1,6,NaN,bicycle,airplane,0,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,00_airplane-0006-sketch-13.png,0.0,5.480904,6.341387,-0.60845315
bagnet33,1,7,NaN,clock,airplane,0,0007_ske_dnn_0_airplane_00_airplane-0007-sketch-14.png,00_airplane-0007-sketch-14.png,0.0,0.88918686,2.3226185,-1.0135893
bagnet33,1,8,NaN,clock,airplane,0,0008_ske_dnn_0_airplane_00_airplane-0008-sketch-15.png,00_airplane-0008-sketch-15.png,0.0,-1.3399241,1.9895955,-2.354326
bagnet33,1,9,NaN,clock,airplane,0,0009_ske_dnn_0_airplane_00_airplane-0009-sketch-16.png,00_airplane-0009-sketch-16.png,0.0,-1.0010355,2.4677413,-2.4527955
bagnet33,1,10,NaN,clock,airplane,0,0010_ske_dnn_0_airplane_00_airplane-0010-sketch-17.png,00_airplane-0010-sketch-17.png,0.0,-0.83345485,3.777971,-3.2607706
bagnet33,1,11,NaN,bottle,airplane,0,0011_ske_dnn_0_airplane_00_airplane-0011-sketch-18.png,00_airplane-0011-sketch-18.png,0.0,0.7307129,3.1620996,-1.7192501
bagnet33,1,12,NaN,clock,airplane,0,0012_ske_dnn_0_airplane_00_airplane-0012-sketch-19.png,00_airplane-0012-sketch-19.png,0.0,0.06590514,4.370236,-3.0436215
bagnet33,1,13,NaN,airplane,airplane,0,0013_ske_dnn_0_airplane_00_airplane-0013-sketch-2.png,00_airplane-0013-sketch-2.png,1.0,11.2344,5.733677,3.8895986
bagnet33,1,14,NaN,clock,airplane,0,0014_ske_dnn_0_airplane_00_airplane-0014-sketch-20.png,00_airplane-0014-sketch-20.png,0.0,-0.96598095,3.6404736,-3.257255
bagnet33,1,15,NaN,oven,airplane,0,0015_ske_dnn_0_airplane_00_airplane-0015-sketch-21.png,00_airplane-0015-sketch-21.png,0.0,3.117671,3.87644,-0.53653073
bagnet33,1,16,NaN,airplane,airplane,0,0016_ske_dnn_0_airplane_00_airplane-0016-sketch-22.png,00_airplane-0016-sketch-22.png,1.0,9.346509,3.6121814,4.054782
bagnet33,1,17,NaN,clock,airplane,0,0017_ske_dnn_0_airplane_00_airplane-0017-sketch-23.png,00_airplane-0017-sketch-23.png,0.0,-0.9671496,2.499898,-2.451573
bagnet33,1,18,NaN,clock,airplane,0,0018_ske_dnn_0_airplane_00_airplane-0018-sketch-24.png,00_airplane-0018-sketch-24.png,0.0,-0.10797803,4.3826156,-3.1753292
bagnet33,1,19,NaN,clock,airplane,0,0019_ske_dnn_0_airplane_00_airplane-0019-sketch-25.png,00_airplane-0019-sketch-25.png,0.0,-2.305019,7.182568,-6.7087374
bagnet33,1,20,NaN,clock,airplane,0,0020_ske_dnn_0_airplane_00_airplane-0020-sketch-26.png,00_airplane-0020-sketch-26.png,0.0,-2.0500622,2.5896256,-3.2807546
bagnet33,1,21,NaN,clock,airplane,0,0021_ske_dnn_0_airplane_00_airplane-0021-sketch-27.png,00_airplane-0021-sketch-27.png,0.0,-2.9230056,4.4197254,-5.192095
bagnet33,1,22,NaN,clock,airplane,0,0022_ske_dnn_0_airplane_00_airplane-0022-sketch-28.png,00_airplane-0022-sketch-28.png,0.0,-1.5937791,2.1032047,-2.6141624
bagnet33,1,23,NaN,clock,airplane,0,0023_ske_dnn_0_airplane_00_airplane-0023-sketch-29.png,00_airplane-0023-sketch-29.png,0.0,-0.69197845,2.406688,-2.1910882
bagnet33,1,24,NaN,clock,airplane,0,0024_ske_dnn_0_airplane_00_airplane-0024-sketch-3.png,00_airplane-0024-sketch-3.png,0.0,-1.3930873,2.8816311,-3.0226824
bagnet33,1,25,NaN,clock,airplane,0,0025_ske_dnn_0_airplane_00_airplane-0025-sketch-30.png,00_airplane-0025-sketch-30.png,0.0,0.17661735,2.240815,-1.4596081
bagnet33,1,26,NaN,clock,airplane,0,0026_ske_dnn_0_airplane_00_airplane-0027-sketch-32.png,00_airplane-0027-sketch-32.png,0.0,-2.2692013,8.025689,-7.279587
bagnet33,1,27,NaN,clock,airplane,0,0027_ske_dnn_0_airplane_00_airplane-0028-sketch-33.png,00_airplane-0028-sketch-33.png,0.0,-0.9488622,4.4821315,-3.8402925
bagnet33,1,28,NaN,clock,airplane,0,0028_ske_dnn_0_airplane_00_airplane-0029-sketch-34.png,00_airplane-0029-sketch-34.png,0.0,-1.6425846,4.30074,-4.2025647
bagnet33,1,29,NaN,clock,airplane,0,0029_ske_dnn_0_airplane_00_airplane-0030-sketch-35.png,00_airplane-0030-sketch-35.png,0.0,-1.3165526,2.8107026,-2.9184103
bagnet33,1,30,NaN,clock,airplane,0,0030_ske_dnn_0_airplane_00_airplane-0031-sketch-36.png,00_airplane-0031-sketch-36.png,0.0,2.2657406,3.9528077,-1.1929365
bagnet33,1,31,NaN,clock,airplane,0,0031_ske_dnn_0_airplane_00_airplane-0032-sketch-37.png,00_airplane-0032-sketch-37.png,0.0,-0.77261853,2.3054883,-2.1765504
bagnet33,1,32,NaN,clock,airplane,0,0032_ske_dnn_0_airplane_00_airplane-0033-sketch-38.png,00_airplane-0033-sketch-38.png,0.0,-1.5984952,2.2276266,-2.7054768
