subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,airplane,airplane,0,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,00_airplane-0001-sketch-0.png,1.0,5.710851,2.94523,1.9555895
resnet50,1,2,NaN,clock,airplane,0,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,00_airplane-0002-sketch-1.png,0.0,0.3843671,2.845392,-1.7402073
resnet50,1,3,NaN,knife,airplane,0,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,00_airplane-0003-sketch-10.png,0.0,0.5476209,3.1250305,-1.8225039
resnet50,1,4,NaN,chair,airplane,0,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,00_airplane-0004-sketch-11.png,0.0,2.156138,2.7678154,-0.43252125
resnet50,1,5,NaN,airplane,airplane,0,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,00_airplane-0005-sketch-12.png,1.0,4.3603244,1.811277,1.8024487
resnet50,1,6,NaN,airplane,airplane,0,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,00_airplane-0006-sketch-13.png,1.0,9.658392,2.7156923,4.9092298
resnet50,1,7,NaN,airplane,airplane,0,0007_ske_dnn_0_airplane_00_airplane-0007-sketch-14.png,00_airplane-0007-sketch-14.png,1.0,3.1419163,2.9259148,0.15273614
resnet50,1,8,NaN,knife,airplane,0,0008_ske_dnn_0_airplane_00_airplane-0008-sketch-15.png,00_airplane-0008-sketch-15.png,0.0,-1.5874157,3.430191,-3.547984
resnet50,1,9,NaN,oven,airplane,0,0009_ske_dnn_0_airplane_00_airplane-0009-sketch-16.png,00_airplane-0009-sketch-16.png,0.0,0.98306656,4.6482716,-2.5916913
resnet50,1,10,NaN,bicycle,airplane,0,0010_ske_dnn_0_airplane_00_airplane-0010-sketch-17.png,00_airplane-0010-sketch-17.png,0.0,2.377608,3.0450802,-0.47197407
resnet50,1,11,NaN,clock,airplane,0,0011_ske_dnn_0_airplane_00_airplane-0011-sketch-18.png,00_airplane-0011-sketch-18.png,0.0,1.2661185,2.9616888,-1.1989492
