subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,airplane,airplane,0,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,airplane-0001-sketch-0.png,1.0,7.4130955,0.6444494,4.7861557
vit_b_16,1,2,NaN,airplane,airplane,0,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,airplane-0002-sketch-1.png,1.0,3.6376252,1.3563839,1.6130813
vit_b_16,1,3,NaN,knife,airplane,0,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,airplane-0003-sketch-10.png,0.0,1.3281564,2.3318014,-0.70968425
vit_b_16,1,4,NaN,knife,airplane,0,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,airplane-0004-sketch-11.png,0.0,-0.55043525,1.3808287,-1.3656099
vit_b_16,1,5,NaN,airplane,airplane,0,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,airplane-0005-sketch-12.png,1.0,6.330702,0.4798224,4.1371965
vit_b_16,1,6,NaN,airplane,airplane,0,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,airplane-0006-sketch-13.png,1.0,6.6816187,0.7494574,4.1946716
vit_b_16,1,7,NaN,knife,airplane,0,0007_ske_dnn_0_airplane_00_airplane-0007-sketch-14.png,airplane-0007-sketch-14.png,0.0,0.46120572,2.9369159,-1.7505915
vit_b_16,1,8,NaN,knife,airplane,0,0008_ske_dnn_0_airplane_00_airplane-0008-sketch-15.png,airplane-0008-sketch-15.png,0.0,-0.10855043,2.1520607,-1.5984935
vit_b_16,1,9,NaN,airplane,airplane,0,0009_ske_dnn_0_airplane_00_airplane-0009-sketch-16.png,airplane-0009-sketch-16.png,1.0,2.2164822,0.81316406,0.9922958
vit_b_16,1,10,NaN,airplane,airplane,0,0010_ske_dnn_0_airplane_00_airplane-0010-sketch-17.png,airplane-0010-sketch-17.png,1.0,2.0419729,1.7024535,0.24007647
vit_b_16,1,11,NaN,knife,airplane,0,0011_ske_dnn_0_airplane_00_airplane-0011-sketch-18.png,airplane-0011-sketch-18.png,0.0,0.644616,2.905076,-1.5983865
vit_b_16,1,12,NaN,knife,airplane,0,0012_ske_dnn_0_airplane_00_airplane-0012-sketch-19.png,airplane-0012-sketch-19.png,0.0,-0.05340384,0.96312237,-0.7187926
vit_b_16,1,13,NaN,airplane,airplane,0,0013_ske_dnn_0_airplane_00_airplane-0013-sketch-2.png,airplane-0013-sketch-2.png,1.0,8.058362,0.56518656,5.2984753
vit_b_16,1,14,NaN,airplane,airplane,0,0014_ske_dnn_0_airplane_00_airplane-0014-sketch-20.png,airplane-0014-sketch-20.png,1.0,2.1312668,2.1194322,0.008368341
vit_b_16,1,15,NaN,airplane,airplane,0,0015_ske_dnn_0_airplane_00_airplane-0015-sketch-21.png,airplane-0015-sketch-21.png,1.0,2.3091307,1.987251,0.22760327
vit_b_16,1,16,NaN,airplane,airplane,0,0016_ske_dnn_0_airplane_00_airplane-0016-sketch-22.png,airplane-0016-sketch-22.png,1.0,8.801552,0.39451048,5.9446764
vit_b_16,1,17,NaN,knife,airplane,0,0017_ske_dnn_0_airplane_00_airplane-0017-sketch-23.png,airplane-0017-sketch-23.png,0.0,0.42980283,1.8408848,-0.9977857
vit_b_16,1,18,NaN,airplane,airplane,0,0018_ske_dnn_0_airplane_00_airplane-0018-sketch-24.png,airplane-0018-sketch-24.png,1.0,3.1900437,2.3964615,0.5611474
vit_b_16,1,19,NaN,knife,airplane,0,0019_ske_dnn_0_airplane_00_airplane-0019-sketch-25.png,airplane-0019-sketch-25.png,0.0,-0.27467608,2.3848808,-1.8805907
vit_b_16,1,20,NaN,knife,airplane,0,0020_ske_dnn_0_airplane_00_airplane-0020-sketch-26.png,airplane-0020-sketch-26.png,0.0,0.57893217,1.7966429,-0.86105156
vit_b_16,1,21,NaN,knife,airplane,0,0021_ske_dnn_0_airplane_00_airplane-0021-sketch-27.png,airplane-0021-sketch-27.png,0.0,0.69724405,2.3761516,-1.1871669
vit_b_16,1,22,NaN,airplane,airplane,0,0022_ske_dnn_0_airplane_00_airplane-0022-sketch-28.png,airplane-0022-sketch-28.png,1.0,3.2264047,1.1682292,1.4553499
vit_b_16,1,23,NaN,knife,airplane,0,0023_ske_dnn_0_airplane_00_airplane-0023-sketch-29.png,airplane-0023-sketch-29.png,0.0,0.454817,3.0907342,-1.8638749
vit_b_16,1,24,NaN,clock,airplane,0,0024_ske_dnn_0_airplane_00_airplane-0024-sketch-3.png,airplane-0024-sketch-3.png,0.0,1.1206058,4.6758404,-2.5139303
vit_b_16,1,25,NaN,airplane,airplane,0,0025_ske_dnn_0_airplane_00_airplane-0025-sketch-30.png,airplane-0025-sketch-30.png,1.0,2.803721,1.4577277,0.951761
vit_b_16,1,26,NaN,knife,airplane,0,0026_ske_dnn_0_airplane_00_airplane-0027-sketch-32.png,airplane-0027-sketch-32.png,0.0,0.1909146,2.745078,-1.8060663
vit_b_16,1,27,NaN,clock,airplane,0,0027_ske_dnn_0_airplane_00_airplane-0028-sketch-33.png,airplane-0028-sketch-33.png,0.0,0.88638914,1.8556118,-0.6853439
vit_b_16,1,28,NaN,knife,airplane,0,0028_ske_dnn_0_airplane_00_airplane-0029-sketch-34.png,airplane-0029-sketch-34.png,0.0,0.59047925,1.9185096,-0.93905926
vit_b_16,1,29,NaN,knife,airplane,0,0029_ske_dnn_0_airplane_00_airplane-0030-sketch-35.png,airplane-0030-sketch-35.png,0.0,1.485486,1.8248479,-0.23996511
vit_b_16,1,30,NaN,airplane,airplane,0,0030_ske_dnn_0_airplane_00_airplane-0031-sketch-36.png,airplane-0031-sketch-36.png,1.0,6.0925055,2.4095302,2.6042569
vit_b_16,1,31,NaN,knife,airplane,0,0031_ske_dnn_0_airplane_00_airplane-0032-sketch-37.png,airplane-0032-sketch-37.png,0.0,0.2685563,1.8990895,-1.1529611
vit_b_16,1,32,NaN,knife,airplane,0,0032_ske_dnn_0_airplane_00_airplane-0033-sketch-38.png,airplane-0033-sketch-38.png,0.0,0.5097096,2.525804,-1.4255941
vit_b_16,1,33,NaN,clock,airplane,0,0033_ske_dnn_0_airplane_00_airplane-0034-sketch-39.png,airplane-0034-sketch-39.png,0.0,0.025040805,2.2798808,-1.5944126
vit_b_16,1,34,NaN,airplane,airplane,0,0034_ske_dnn_0_airplane_00_airplane-0035-sketch-4.png,airplane-0035-sketch-4.png,1.0,4.5821924,1.2083883,2.38564
vit_b_16,1,35,NaN,airplane,airplane,0,0035_ske_dnn_0_airplane_00_airplane-0036-sketch-40.png,airplane-0036-sketch-40.png,1.0,8.897177,0.4070569,6.0034213
vit_b_16,1,36,NaN,airplane,airplane,0,0036_ske_dnn_0_airplane_00_airplane-0037-sketch-41.png,airplane-0037-sketch-41.png,1.0,4.3433533,1.6255918,1.9217477
vit_b_16,1,37,NaN,knife,airplane,0,0037_ske_dnn_0_airplane_00_airplane-0038-sketch-42.png,airplane-0038-sketch-42.png,0.0,-0.44505835,5.1010895,-3.9217188
vit_b_16,1,38,NaN,airplane,airplane,0,0038_ske_dnn_0_airplane_00_airplane-0039-sketch-43.png,airplane-0039-sketch-43.png,1.0,3.1363883,2.3677232,0.5435283
vit_b_16,1,39,NaN,knife,airplane,0,0039_ske_dnn_0_airplane_00_airplane-0040-sketch-44.png,airplane-0040-sketch-44.png,0.0,-0.05097297,3.3040657,-2.3723707
vit_b_16,1,40,NaN,knife,airplane,0,0040_ske_dnn_0_airplane_00_airplane-0041-sketch-45.png,airplane-0041-sketch-45.png,0.0,-0.58695143,3.3304782,-2.7700412
vit_b_16,1,41,NaN,chair,airplane,0,0041_ske_dnn_0_airplane_00_airplane-0042-sketch-46.png,airplane-0042-sketch-46.png,0.0,-0.630403,2.2129807,-2.010576
vit_b_16,1,42,NaN,knife,airplane,0,0042_ske_dnn_0_airplane_00_airplane-0043-sketch-47.png,airplane-0043-sketch-47.png,0.0,-0.019785985,1.4748075,-1.0568372
vit_b_16,1,43,NaN,knife,airplane,0,0043_ske_dnn_0_airplane_00_airplane-0044-sketch-48.png,airplane-0044-sketch-48.png,0.0,0.6359589,0.99157524,-0.25145873
vit_b_16,1,44,NaN,airplane,airplane,0,0044_ske_dnn_0_airplane_00_airplane-0045-sketch-49.png,airplane-0045-sketch-49.png,1.0,7.1105714,0.65370786,4.565692
vit_b_16,1,45,NaN,knife,airplane,0,0045_ske_dnn_0_airplane_00_airplane-0046-sketch-5.png,airplane-0046-sketch-5.png,0.0,0.64677763,2.50535,-1.3142092
vit_b_16,1,46,NaN,airplane,airplane,0,0046_ske_dnn_0_airplane_00_airplane-0047-sketch-50.png,airplane-0047-sketch-50.png,1.0,3.1008558,1.1501359,1.3793674
vit_b_16,1,47,NaN,airplane,airplane,0,0047_ske_dnn_0_airplane_00_airplane-0048-sketch-6.png,airplane-0048-sketch-6.png,1.0,3.290979,0.91785747,1.6780503
vit_b_16,1,48,NaN,airplane,airplane,0,0048_ske_dnn_0_airplane_00_airplane-0049-sketch-7.png,airplane-0049-sketch-7.png,1.0,4.354106,2.8731384,1.0472022
vit_b_16,1,49,NaN,chair,airplane,0,0049_ske_dnn_0_airplane_00_airplane-0050-sketch-8.png,airplane-0050-sketch-8.png,0.0,-0.039282456,1.367709,-0.99489325
vit_b_16,1,50,NaN,clock,airplane,0,0050_ske_dnn_0_airplane_00_airplane-0051-sketch-9.png,airplane-0051-sketch-9.png,0.0,-0.16076763,1.5703903,-1.2241136
vit_b_16,1,51,NaN,cat,bear,0,0051_ske_dnn_0_bear_00_bear-0005-sketch-12.png,bear-0005-sketch-12.png,0.0,1.9228898,2.1265838,-0.1440334
vit_b_16,1,52,NaN,bear,bear,0,0052_ske_dnn_0_bear_00_bear-0007-sketch-14.png,bear-0007-sketch-14.png,1.0,2.4225156,0.37320027,1.4490849
vit_b_16,1,53,NaN,bear,bear,0,0053_ske_dnn_0_bear_00_bear-0017-sketch-23.png,bear-0017-sketch-23.png,1.0,5.422512,1.0592898,3.085264
vit_b_16,1,54,NaN,bear,bear,0,0054_ske_dnn_0_bear_00_bear-0022-sketch-28.png,bear-0022-sketch-28.png,1.0,1.3048946,0.65441173,0.45996082
vit_b_16,1,55,NaN,bear,bear,0,0055_ske_dnn_0_bear_00_bear-0023-sketch-29.png,bear-0023-sketch-29.png,1.0,2.3595881,1.7056614,0.46239603
vit_b_16,1,56,NaN,bear,bear,0,0056_ske_dnn_0_bear_00_bear-0026-sketch-31.png,bear-0026-sketch-31.png,1.0,5.5246377,0.7288615,3.3911262
vit_b_16,1,57,NaN,bear,bear,0,0057_ske_dnn_0_bear_00_bear-0027-sketch-32.png,bear-0027-sketch-32.png,1.0,3.8455567,0.7456345,2.191976
vit_b_16,1,58,NaN,bear,bear,0,0058_ske_dnn_0_bear_00_bear-0030-sketch-35.png,bear-0030-sketch-35.png,1.0,5.178522,0.19313017,3.5252047
vit_b_16,1,59,NaN,bear,bear,0,0059_ske_dnn_0_bear_00_bear-0033-sketch-38.png,bear-0033-sketch-38.png,1.0,6.1959953,0.7816129,3.8285465
vit_b_16,1,60,NaN,cat,bear,0,0060_ske_dnn_0_bear_00_bear-0036-sketch-40.png,bear-0036-sketch-40.png,0.0,0.85360175,1.5583063,-0.4983014
vit_b_16,1,61,NaN,cat,bear,0,0061_ske_dnn_0_bear_00_bear-0037-sketch-41.png,bear-0037-sketch-41.png,0.0,2.1637013,2.386417,-0.15748373
vit_b_16,1,62,NaN,bear,bear,0,0062_ske_dnn_0_bear_00_bear-0038-sketch-42.png,bear-0038-sketch-42.png,1.0,6.16326,0.386229,4.0849776
vit_b_16,1,63,NaN,bear,bear,0,0063_ske_dnn_0_bear_00_bear-0039-sketch-43.png,bear-0039-sketch-43.png,1.0,5.678899,0.7413211,3.4913948
vit_b_16,1,64,NaN,bear,bear,0,0064_ske_dnn_0_bear_00_bear-0041-sketch-45.png,bear-0041-sketch-45.png,1.0,4.6350136,0.15312949,3.1691706
vit_b_16,1,65,NaN,bear,bear,0,0065_ske_dnn_0_bear_00_bear-0045-sketch-49.png,bear-0045-sketch-49.png,1.0,4.570198,1.0895278,2.4612055
vit_b_16,1,66,NaN,bear,bear,0,0066_ske_dnn_0_bear_00_bear-0048-sketch-7.png,bear-0048-sketch-7.png,1.0,5.416579,3.0217361,1.6934094
vit_b_16,1,67,NaN,bear,bear,0,0067_ske_dnn_0_bear_00_bear-0049-sketch-8.png,bear-0049-sketch-8.png,1.0,3.3784811,0.6491452,1.929932
vit_b_16,1,68,NaN,bear,bear,0,0068_ske_dnn_0_bear_00_bear-0053-sketch-10.png,bear-0053-sketch-10.png,1.0,5.559722,0.4706678,3.5985048
vit_b_16,1,69,NaN,bear,bear,0,0069_ske_dnn_0_bear_00_bear-0059-sketch-16.png,bear-0059-sketch-16.png,1.0,6.0012965,0.36264753,3.987127
vit_b_16,1,70,NaN,bear,bear,0,0070_ske_dnn_0_bear_00_bear-0068-sketch-24.png,bear-0068-sketch-24.png,1.0,6.176151,1.9968895,2.955184
vit_b_16,1,71,NaN,bear,bear,0,0071_ske_dnn_0_bear_00_bear-0070-sketch-26.png,bear-0070-sketch-26.png,1.0,1.4770424,1.2983983,0.12632051
vit_b_16,1,72,NaN,bear,bear,0,0072_ske_dnn_0_bear_00_bear-0073-sketch-29.png,bear-0073-sketch-29.png,1.0,5.057772,0.40608388,3.2892404
vit_b_16,1,73,NaN,bear,bear,0,0073_ske_dnn_0_bear_00_bear-0079-sketch-34.png,bear-0079-sketch-34.png,1.0,7.465474,0.8633882,4.66838
vit_b_16,1,74,NaN,bear,bear,0,0074_ske_dnn_0_bear_00_bear-0081-sketch-36.png,bear-0081-sketch-36.png,1.0,5.443101,0.2634818,3.662544
vit_b_16,1,75,NaN,bear,bear,0,0075_ske_dnn_0_bear_00_bear-0085-sketch-4.png,bear-0085-sketch-4.png,1.0,5.340438,1.6971422,2.5761993
vit_b_16,1,76,NaN,bear,bear,0,0076_ske_dnn_0_bear_00_bear-0086-sketch-40.png,bear-0086-sketch-40.png,1.0,6.1470947,2.0235016,2.9158208
