subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,bicycle,airplane,0,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,00_airplane-0001-ILSVRC2012-val-00000631.png,0.0,3.2922013,5.2908735,-1.4132748
alexnet,1,2,NaN,knife,airplane,0,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,00_airplane-0002-ILSVRC2012-val-00001390.png,0.0,2.6167827,2.8274913,-0.14899349
alexnet,1,3,NaN,bicycle,airplane,0,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,00_airplane-0003-ILSVRC2012-val-00001506.png,0.0,-1.7889922,3.3603334,-3.641123
alexnet,1,4,NaN,bear,airplane,0,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,00_airplane-0004-ILSVRC2012-val-00001952.png,0.0,-1.4540155,7.843643,-6.5744376
alexnet,1,5,NaN,bear,airplane,0,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,00_airplane-0005-ILSVRC2012-val-00003960.png,0.0,2.0970078,5.192766,-2.1890318
alexnet,1,6,NaN,elephant,airplane,0,0006_sty_dnn_0_airplane_00_airplane-0006-ILSVRC2012-val-00008292.png,00_airplane-0006-ILSVRC2012-val-00008292.png,0.0,-2.4362326,5.668564,-5.7309566
alexnet,1,7,NaN,airplane,airplane,0,0007_sty_dnn_0_airplane_00_airplane-0007-ILSVRC2012-val-00009537.png,00_airplane-0007-ILSVRC2012-val-00009537.png,1.0,6.372945,4.38615,1.4048762
alexnet,1,8,NaN,elephant,airplane,0,0008_sty_dnn_0_airplane_00_airplane-0008-ILSVRC2012-val-00010597.png,00_airplane-0008-ILSVRC2012-val-00010597.png,0.0,-3.1001253,4.934183,-5.681114
alexnet,1,9,NaN,oven,airplane,0,0009_sty_dnn_0_airplane_00_airplane-0009-ILSVRC2012-val-00011168.png,00_airplane-0009-ILSVRC2012-val-00011168.png,0.0,1.5366693,4.8722672,-2.358624
alexnet,1,10,NaN,keyboard,airplane,0,0010_sty_dnn_0_airplane_00_airplane-0010-ILSVRC2012-val-00012263.png,00_airplane-0010-ILSVRC2012-val-00012263.png,0.0,-2.038056,4.1589856,-4.38197
alexnet,1,11,NaN,oven,airplane,0,0011_sty_dnn_0_airplane_00_airplane-0011-ILSVRC2012-val-00014425.png,00_airplane-0011-ILSVRC2012-val-00014425.png,0.0,-1.4660112,6.4457226,-5.5944405
alexnet,1,12,NaN,elephant,airplane,0,0012_sty_dnn_0_airplane_00_airplane-0012-ILSVRC2012-val-00015498.png,00_airplane-0012-ILSVRC2012-val-00015498.png,0.0,-4.0580254,3.6152682,-5.425838
alexnet,1,13,NaN,clock,airplane,0,0013_sty_dnn_0_airplane_00_airplane-0013-ILSVRC2012-val-00015636.png,00_airplane-0013-ILSVRC2012-val-00015636.png,0.0,-1.6428881,5.1143446,-4.778085
alexnet,1,14,NaN,oven,airplane,0,0014_sty_dnn_0_airplane_00_airplane-0014-ILSVRC2012-val-00016995.png,00_airplane-0014-ILSVRC2012-val-00016995.png,0.0,-1.7880381,7.7078815,-6.714629
alexnet,1,15,NaN,oven,airplane,0,0015_sty_dnn_0_airplane_00_airplane-0015-ILSVRC2012-val-00018616.png,00_airplane-0015-ILSVRC2012-val-00018616.png,0.0,3.3550067,5.3216295,-1.3906124
alexnet,1,16,NaN,knife,airplane,0,0016_sty_dnn_0_airplane_00_airplane-0016-ILSVRC2012-val-00018685.png,00_airplane-0016-ILSVRC2012-val-00018685.png,0.0,-3.1630316,4.092422,-5.1303806
alexnet,1,17,NaN,knife,airplane,0,0017_sty_dnn_0_airplane_00_airplane-0017-ILSVRC2012-val-00019179.png,00_airplane-0017-ILSVRC2012-val-00019179.png,0.0,-7.3957853,4.782734,-8.611514
alexnet,1,18,NaN,knife,airplane,0,0018_sty_dnn_0_airplane_00_airplane-0018-ILSVRC2012-val-00019677.png,00_airplane-0018-ILSVRC2012-val-00019677.png,0.0,-1.2223806,3.5347795,-3.3638203
alexnet,1,19,NaN,knife,airplane,0,0019_sty_dnn_0_airplane_00_airplane-0019-ILSVRC2012-val-00022532.png,00_airplane-0019-ILSVRC2012-val-00022532.png,0.0,-1.500546,5.580409,-5.0069914
alexnet,1,20,NaN,bicycle,airplane,0,0020_sty_dnn_0_airplane_00_airplane-0020-ILSVRC2012-val-00022975.png,00_airplane-0020-ILSVRC2012-val-00022975.png,0.0,-0.8758757,5.202337,-4.2979455
alexnet,1,21,NaN,oven,airplane,0,0021_sty_dnn_0_airplane_00_airplane-0021-ILSVRC2012-val-00023316.png,00_airplane-0021-ILSVRC2012-val-00023316.png,0.0,-1.3729796,4.785676,-4.3548274
alexnet,1,22,NaN,knife,airplane,0,0022_sty_dnn_0_airplane_00_airplane-0022-ILSVRC2012-val-00023781.png,00_airplane-0022-ILSVRC2012-val-00023781.png,0.0,-1.8822294,2.0823054,-2.8033495
alexnet,1,23,NaN,airplane,airplane,0,0023_sty_dnn_0_airplane_00_airplane-0023-ILSVRC2012-val-00023863.png,00_airplane-0023-ILSVRC2012-val-00023863.png,1.0,10.806262,4.116804,4.730161
alexnet,1,24,NaN,elephant,airplane,0,0024_sty_dnn_0_airplane_00_airplane-0024-ILSVRC2012-val-00024108.png,00_airplane-0024-ILSVRC2012-val-00024108.png,0.0,0.3499865,2.919775,-1.8171148
alexnet,1,25,NaN,airplane,airplane,0,0025_sty_dnn_0_airplane_00_airplane-0025-ILSVRC2012-val-00024747.png,00_airplane-0025-ILSVRC2012-val-00024747.png,1.0,12.332853,7.0004873,3.7705522
