subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,airplane,airplane,0,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,00_airplane-0001-ILSVRC2012-val-00000631.png,1.0,5.5328608,1.9893049,2.5056722
convnext_large,1,2,NaN,clock,airplane,0,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,00_airplane-0002-ILSVRC2012-val-00001390.png,0.0,0.086244345,1.5414945,-1.0290172
convnext_large,1,3,NaN,airplane,airplane,0,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,00_airplane-0003-ILSVRC2012-val-00001506.png,1.0,1.0914978,1.0619013,0.02092785
convnext_large,1,4,NaN,airplane,airplane,0,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,00_airplane-0004-ILSVRC2012-val-00001952.png,1.0,5.050888,1.6015034,2.4390833
convnext_large,1,5,NaN,airplane,airplane,0,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,00_airplane-0005-ILSVRC2012-val-00003960.png,1.0,6.152511,1.8001003,3.0776193
convnext_large,1,6,NaN,cat,airplane,0,0006_sty_dnn_0_airplane_00_airplane-0006-ILSVRC2012-val-00008292.png,00_airplane-0006-ILSVRC2012-val-00008292.png,0.0,-0.49489516,2.2751899,-1.958746
convnext_large,1,7,NaN,boat,airplane,0,0007_sty_dnn_0_airplane_00_airplane-0007-ILSVRC2012-val-00009537.png,00_airplane-0007-ILSVRC2012-val-00009537.png,0.0,2.248867,2.718934,-0.3323876
convnext_large,1,8,NaN,cat,airplane,0,0008_sty_dnn_0_airplane_00_airplane-0008-ILSVRC2012-val-00010597.png,00_airplane-0008-ILSVRC2012-val-00010597.png,0.0,-0.80243903,2.1155307,-2.063316
convnext_large,1,9,NaN,bear,airplane,0,0009_sty_dnn_0_airplane_00_airplane-0009-ILSVRC2012-val-00011168.png,00_airplane-0009-ILSVRC2012-val-00011168.png,0.0,1.2219594,1.8332257,-0.4322306
convnext_large,1,10,NaN,cat,airplane,0,0010_sty_dnn_0_airplane_00_airplane-0010-ILSVRC2012-val-00012263.png,00_airplane-0010-ILSVRC2012-val-00012263.png,0.0,-1.1014029,1.0423063,-1.5158314
convnext_large,1,11,NaN,clock,airplane,0,0011_sty_dnn_0_airplane_00_airplane-0011-ILSVRC2012-val-00014425.png,00_airplane-0011-ILSVRC2012-val-00014425.png,0.0,-0.11407629,2.0243742,-1.512113
convnext_large,1,12,NaN,clock,airplane,0,0012_sty_dnn_0_airplane_00_airplane-0012-ILSVRC2012-val-00015498.png,00_airplane-0012-ILSVRC2012-val-00015498.png,0.0,0.017162353,2.1764364,-1.5268373
convnext_large,1,13,NaN,cat,airplane,0,0013_sty_dnn_0_airplane_00_airplane-0013-ILSVRC2012-val-00015636.png,00_airplane-0013-ILSVRC2012-val-00015636.png,0.0,-1.1863759,0.24939425,-1.0152428
convnext_large,1,14,NaN,oven,airplane,0,0014_sty_dnn_0_airplane_00_airplane-0014-ILSVRC2012-val-00016995.png,00_airplane-0014-ILSVRC2012-val-00016995.png,0.0,-0.27208763,2.6718628,-2.0816875
convnext_large,1,15,NaN,airplane,airplane,0,0015_sty_dnn_0_airplane_00_airplane-0015-ILSVRC2012-val-00018616.png,00_airplane-0015-ILSVRC2012-val-00018616.png,1.0,2.3704038,2.3533297,0.012073218
convnext_large,1,16,NaN,airplane,airplane,0,0016_sty_dnn_0_airplane_00_airplane-0016-ILSVRC2012-val-00018685.png,00_airplane-0016-ILSVRC2012-val-00018685.png,1.0,3.657618,2.0944262,1.1053436
convnext_large,1,17,NaN,chair,airplane,0,0017_sty_dnn_0_airplane_00_airplane-0017-ILSVRC2012-val-00019179.png,00_airplane-0017-ILSVRC2012-val-00019179.png,0.0,-1.1978693,0.7285323,-1.3621716
convnext_large,1,18,NaN,airplane,airplane,0,0018_sty_dnn_0_airplane_00_airplane-0018-ILSVRC2012-val-00019677.png,00_airplane-0018-ILSVRC2012-val-00019677.png,1.0,3.9590583,0.9387596,2.1356738
convnext_large,1,19,NaN,knife,airplane,0,0019_sty_dnn_0_airplane_00_airplane-0019-ILSVRC2012-val-00022532.png,00_airplane-0019-ILSVRC2012-val-00022532.png,0.0,-0.16975072,2.1352239,-1.6298631
convnext_large,1,20,NaN,chair,airplane,0,0020_sty_dnn_0_airplane_00_airplane-0020-ILSVRC2012-val-00022975.png,00_airplane-0020-ILSVRC2012-val-00022975.png,0.0,0.26944882,0.9441914,-0.47711506
convnext_large,1,21,NaN,cat,airplane,0,0021_sty_dnn_0_airplane_00_airplane-0021-ILSVRC2012-val-00023316.png,00_airplane-0021-ILSVRC2012-val-00023316.png,0.0,0.39164546,0.7491658,-0.25280505
convnext_large,1,22,NaN,airplane,airplane,0,0022_sty_dnn_0_airplane_00_airplane-0022-ILSVRC2012-val-00023781.png,00_airplane-0022-ILSVRC2012-val-00023781.png,1.0,1.6996322,0.7640402,0.66156346
convnext_large,1,23,NaN,airplane,airplane,0,0023_sty_dnn_0_airplane_00_airplane-0023-ILSVRC2012-val-00023863.png,00_airplane-0023-ILSVRC2012-val-00023863.png,1.0,7.76531,0.72452676,4.9785852
convnext_large,1,24,NaN,clock,airplane,0,0024_sty_dnn_0_airplane_00_airplane-0024-ILSVRC2012-val-00024108.png,00_airplane-0024-ILSVRC2012-val-00024108.png,0.0,0.35711366,1.2046248,-0.5992809
convnext_large,1,25,NaN,airplane,airplane,0,0025_sty_dnn_0_airplane_00_airplane-0025-ILSVRC2012-val-00024747.png,00_airplane-0025-ILSVRC2012-val-00024747.png,1.0,7.225023,0.812227,4.5345316
convnext_large,1,26,NaN,cat,airplane,0,0026_sty_dnn_0_airplane_00_airplane-0026-ILSVRC2012-val-00026189.png,00_airplane-0026-ILSVRC2012-val-00026189.png,0.0,-0.16207865,2.49813,-1.8810517
convnext_large,1,27,NaN,clock,airplane,0,0027_sty_dnn_0_airplane_00_airplane-0027-ILSVRC2012-val-00026859.png,00_airplane-0027-ILSVRC2012-val-00026859.png,0.0,-0.033213034,1.9581747,-1.4081237
convnext_large,1,28,NaN,clock,airplane,0,0028_sty_dnn_0_airplane_00_airplane-0028-ILSVRC2012-val-00028019.png,00_airplane-0028-ILSVRC2012-val-00028019.png,0.0,-0.62805814,0.6661982,-0.91517746
convnext_large,1,29,NaN,knife,airplane,0,0029_sty_dnn_0_airplane_00_airplane-0029-ILSVRC2012-val-00030319.png,00_airplane-0029-ILSVRC2012-val-00030319.png,0.0,-1.0150534,1.9485095,-2.0955555
convnext_large,1,30,NaN,airplane,airplane,0,0030_sty_dnn_0_airplane_00_airplane-0030-ILSVRC2012-val-00030411.png,00_airplane-0030-ILSVRC2012-val-00030411.png,1.0,1.860517,1.2151581,0.4563377
convnext_large,1,31,NaN,airplane,airplane,0,0031_sty_dnn_0_airplane_00_airplane-0031-ILSVRC2012-val-00030531.png,00_airplane-0031-ILSVRC2012-val-00030531.png,1.0,8.156099,0.69385463,5.2766037
convnext_large,1,32,NaN,clock,airplane,0,0032_sty_dnn_0_airplane_00_airplane-0032-ILSVRC2012-val-00032804.png,00_airplane-0032-ILSVRC2012-val-00032804.png,0.0,0.037399784,1.158859,-0.79299146
convnext_large,1,33,NaN,car,airplane,0,0033_sty_dnn_0_airplane_00_airplane-0033-ILSVRC2012-val-00033161.png,00_airplane-0033-ILSVRC2012-val-00033161.png,0.0,-0.4592747,0.8859047,-0.9511855
convnext_large,1,34,NaN,airplane,airplane,0,0034_sty_dnn_0_airplane_00_airplane-0034-ILSVRC2012-val-00033441.png,00_airplane-0034-ILSVRC2012-val-00033441.png,1.0,2.2691145,1.3657123,0.6388018
convnext_large,1,35,NaN,airplane,airplane,0,0035_sty_dnn_0_airplane_00_airplane-0035-ILSVRC2012-val-00033920.png,00_airplane-0035-ILSVRC2012-val-00033920.png,1.0,3.698921,2.5541527,0.8094734
convnext_large,1,36,NaN,airplane,airplane,0,0036_sty_dnn_0_airplane_00_airplane-0036-ILSVRC2012-val-00034342.png,00_airplane-0036-ILSVRC2012-val-00034342.png,1.0,2.942338,0.99910253,1.3740749
convnext_large,1,37,NaN,car,airplane,0,0037_sty_dnn_0_airplane_00_airplane-0037-ILSVRC2012-val-00035783.png,00_airplane-0037-ILSVRC2012-val-00035783.png,0.0,2.191627,2.4744132,-0.19996
convnext_large,1,38,NaN,airplane,airplane,0,0038_sty_dnn_0_airplane_00_airplane-0038-ILSVRC2012-val-00036394.png,00_airplane-0038-ILSVRC2012-val-00036394.png,1.0,2.102263,1.0875481,0.7175118
convnext_large,1,39,NaN,bicycle,airplane,0,0039_sty_dnn_0_airplane_00_airplane-0039-ILSVRC2012-val-00037801.png,00_airplane-0039-ILSVRC2012-val-00037801.png,0.0,-0.5904126,0.5695667,-0.8202293
convnext_large,1,40,NaN,cat,airplane,0,0040_sty_dnn_0_airplane_00_airplane-0040-ILSVRC2012-val-00039213.png,00_airplane-0040-ILSVRC2012-val-00039213.png,0.0,1.3055662,2.1020467,-0.5631968
convnext_large,1,41,NaN,clock,airplane,0,0041_sty_dnn_0_airplane_00_airplane-0041-ILSVRC2012-val-00040136.png,00_airplane-0041-ILSVRC2012-val-00040136.png,0.0,-0.46020168,0.6539062,-0.7877932
convnext_large,1,42,NaN,cat,airplane,0,0042_sty_dnn_0_airplane_00_airplane-0042-ILSVRC2012-val-00040547.png,00_airplane-0042-ILSVRC2012-val-00040547.png,0.0,-0.7335717,1.42107,-1.5235617
convnext_large,1,43,NaN,elephant,airplane,0,0043_sty_dnn_0_airplane_00_airplane-0043-ILSVRC2012-val-00041518.png,00_airplane-0043-ILSVRC2012-val-00041518.png,0.0,-0.3594346,2.3396394,-1.9085336
convnext_large,1,44,NaN,airplane,airplane,0,0044_sty_dnn_0_airplane_00_airplane-0044-ILSVRC2012-val-00043242.png,00_airplane-0044-ILSVRC2012-val-00043242.png,1.0,2.8106675,2.4378545,0.2636186
convnext_large,1,45,NaN,keyboard,airplane,0,0045_sty_dnn_0_airplane_00_airplane-0045-ILSVRC2012-val-00044253.png,00_airplane-0045-ILSVRC2012-val-00044253.png,0.0,0.68473804,0.94045633,-0.18082014
convnext_large,1,46,NaN,clock,airplane,0,0046_sty_dnn_0_airplane_00_airplane-0046-ILSVRC2012-val-00046862.png,00_airplane-0046-ILSVRC2012-val-00046862.png,0.0,-0.6346085,1.1889839,-1.2894746
convnext_large,1,47,NaN,keyboard,airplane,0,0047_sty_dnn_0_airplane_00_airplane-0047-ILSVRC2012-val-00046971.png,00_airplane-0047-ILSVRC2012-val-00046971.png,0.0,-0.4253664,1.1613386,-1.1219698
convnext_large,1,48,NaN,oven,airplane,0,0048_sty_dnn_0_airplane_00_airplane-0048-ILSVRC2012-val-00047829.png,00_airplane-0048-ILSVRC2012-val-00047829.png,0.0,3.1104498,4.224946,-0.7880679
convnext_large,1,49,NaN,airplane,airplane,0,0049_sty_dnn_0_airplane_00_airplane-0049-ILSVRC2012-val-00048111.png,00_airplane-0049-ILSVRC2012-val-00048111.png,1.0,2.69942,1.1573429,1.0904132
convnext_large,1,50,NaN,airplane,airplane,0,0050_sty_dnn_0_airplane_00_airplane-0050-ILSVRC2012-val-00049097.png,00_airplane-0050-ILSVRC2012-val-00049097.png,1.0,4.6070995,1.6039133,2.1235733
convnext_large,1,51,NaN,clock,bear,0,0051_sty_dnn_0_bear_00_bear-0003-ILSVRC2012-val-00003044.png,00_bear-0003-ILSVRC2012-val-00003044.png,0.0,-0.2977925,1.3399676,-1.1580713
convnext_large,1,52,NaN,bear,bear,0,0052_sty_dnn_0_bear_00_bear-0005-ILSVRC2012-val-00006703.png,00_bear-0005-ILSVRC2012-val-00006703.png,1.0,3.4221268,0.573362,2.014381
convnext_large,1,53,NaN,elephant,bear,0,0053_sty_dnn_0_bear_00_bear-0009-ILSVRC2012-val-00011967.png,00_bear-0009-ILSVRC2012-val-00011967.png,0.0,2.0140023,2.666106,-0.46110693
convnext_large,1,54,NaN,bear,bear,0,0054_sty_dnn_0_bear_00_bear-0010-ILSVRC2012-val-00013390.png,00_bear-0010-ILSVRC2012-val-00013390.png,1.0,4.4481335,1.0459176,2.40573
convnext_large,1,55,NaN,bear,bear,0,0055_sty_dnn_0_bear_00_bear-0021-ILSVRC2012-val-00031253.png,00_bear-0021-ILSVRC2012-val-00031253.png,1.0,3.8684702,0.7265916,2.2216437
