subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,airplane,airplane,0,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,airplane-0001-ILSVRC2012-val-00000631.png,1.0,6.5195656,4.0670195,1.734212
resnet50,1,2,NaN,bear,airplane,0,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,airplane-0002-ILSVRC2012-val-00001390.png,0.0,0.12588596,2.3055441,-1.5412511
resnet50,1,3,NaN,airplane,airplane,0,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,airplane-0003-ILSVRC2012-val-00001506.png,1.0,3.0398784,2.0496037,0.70022994
resnet50,1,4,NaN,bear,airplane,0,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,airplane-0004-ILSVRC2012-val-00001952.png,0.0,-0.3480305,2.7270603,-2.1744177
resnet50,1,5,NaN,airplane,airplane,0,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,airplane-0005-ILSVRC2012-val-00003960.png,1.0,3.790357,2.634568,0.81726635
resnet50,1,6,NaN,clock,airplane,0,0006_sty_dnn_0_airplane_00_airplane-0006-ILSVRC2012-val-00008292.png,airplane-0006-ILSVRC2012-val-00008292.png,0.0,-0.17115733,3.661066,-2.7097912
resnet50,1,7,NaN,boat,airplane,0,0007_sty_dnn_0_airplane_00_airplane-0007-ILSVRC2012-val-00009537.png,airplane-0007-ILSVRC2012-val-00009537.png,0.0,2.7564096,5.99118,-2.287328
resnet50,1,8,NaN,elephant,airplane,0,0008_sty_dnn_0_airplane_00_airplane-0008-ILSVRC2012-val-00010597.png,airplane-0008-ILSVRC2012-val-00010597.png,0.0,-1.751735,4.7886357,-4.6247406
resnet50,1,9,NaN,bear,airplane,0,0009_sty_dnn_0_airplane_00_airplane-0009-ILSVRC2012-val-00011168.png,airplane-0009-ILSVRC2012-val-00011168.png,0.0,1.0274711,4.089892,-2.1654587
resnet50,1,10,NaN,clock,airplane,0,0010_sty_dnn_0_airplane_00_airplane-0010-ILSVRC2012-val-00012263.png,airplane-0010-ILSVRC2012-val-00012263.png,0.0,-1.2513909,2.7365026,-2.8198667
resnet50,1,11,NaN,oven,airplane,0,0011_sty_dnn_0_airplane_00_airplane-0011-ILSVRC2012-val-00014425.png,airplane-0011-ILSVRC2012-val-00014425.png,0.0,-1.7792317,6.973711,-6.1892653
resnet50,1,12,NaN,elephant,airplane,0,0012_sty_dnn_0_airplane_00_airplane-0012-ILSVRC2012-val-00015498.png,airplane-0012-ILSVRC2012-val-00015498.png,0.0,-2.4761527,3.5653057,-4.271956
resnet50,1,13,NaN,clock,airplane,0,0013_sty_dnn_0_airplane_00_airplane-0013-ILSVRC2012-val-00015636.png,airplane-0013-ILSVRC2012-val-00015636.png,0.0,-0.24628943,3.2616107,-2.4804602
resnet50,1,14,NaN,oven,airplane,0,0014_sty_dnn_0_airplane_00_airplane-0014-ILSVRC2012-val-00016995.png,airplane-0014-ILSVRC2012-val-00016995.png,0.0,-0.1490623,6.510125,-4.7087564
resnet50,1,15,NaN,oven,airplane,0,0015_sty_dnn_0_airplane_00_airplane-0015-ILSVRC2012-val-00018616.png,airplane-0015-ILSVRC2012-val-00018616.png,0.0,1.1082159,3.7163975,-1.8442628
resnet50,1,16,NaN,bottle,airplane,0,0016_sty_dnn_0_airplane_00_airplane-0016-ILSVRC2012-val-00018685.png,airplane-0016-ILSVRC2012-val-00018685.png,0.0,0.14914793,2.813146,-1.8837311
resnet50,1,17,NaN,clock,airplane,0,0017_sty_dnn_0_airplane_00_airplane-0017-ILSVRC2012-val-00019179.png,airplane-0017-ILSVRC2012-val-00019179.png,0.0,0.18166947,3.459152,-2.3175302
resnet50,1,18,NaN,airplane,airplane,0,0018_sty_dnn_0_airplane_00_airplane-0018-ILSVRC2012-val-00019677.png,airplane-0018-ILSVRC2012-val-00019677.png,1.0,4.023492,3.5628161,0.32574692
resnet50,1,19,NaN,clock,airplane,0,0019_sty_dnn_0_airplane_00_airplane-0019-ILSVRC2012-val-00022532.png,airplane-0019-ILSVRC2012-val-00022532.png,0.0,1.7113045,4.3072553,-1.8356143
resnet50,1,20,NaN,clock,airplane,0,0020_sty_dnn_0_airplane_00_airplane-0020-ILSVRC2012-val-00022975.png,airplane-0020-ILSVRC2012-val-00022975.png,0.0,1.5545315,2.5253477,-0.68647075
resnet50,1,21,NaN,airplane,airplane,0,0021_sty_dnn_0_airplane_00_airplane-0021-ILSVRC2012-val-00023316.png,airplane-0021-ILSVRC2012-val-00023316.png,1.0,1.6826662,1.4606282,0.1570046
resnet50,1,22,NaN,clock,airplane,0,0022_sty_dnn_0_airplane_00_airplane-0022-ILSVRC2012-val-00023781.png,airplane-0022-ILSVRC2012-val-00023781.png,0.0,-1.635714,3.0282733,-3.297937
resnet50,1,23,NaN,airplane,airplane,0,0023_sty_dnn_0_airplane_00_airplane-0023-ILSVRC2012-val-00023863.png,airplane-0023-ILSVRC2012-val-00023863.png,1.0,12.587604,3.3109238,6.559603
resnet50,1,24,NaN,oven,airplane,0,0024_sty_dnn_0_airplane_00_airplane-0024-ILSVRC2012-val-00024108.png,airplane-0024-ILSVRC2012-val-00024108.png,0.0,-0.3687544,2.809942,-2.2476778
resnet50,1,25,NaN,airplane,airplane,0,0025_sty_dnn_0_airplane_00_airplane-0025-ILSVRC2012-val-00024747.png,airplane-0025-ILSVRC2012-val-00024747.png,1.0,10.054225,3.7383685,4.465985
resnet50,1,26,NaN,cat,airplane,0,0026_sty_dnn_0_airplane_00_airplane-0026-ILSVRC2012-val-00026189.png,airplane-0026-ILSVRC2012-val-00026189.png,0.0,-2.9781904,5.0194383,-5.6551776
resnet50,1,27,NaN,airplane,airplane,0,0027_sty_dnn_0_airplane_00_airplane-0027-ILSVRC2012-val-00026859.png,airplane-0027-ILSVRC2012-val-00026859.png,1.0,4.4937277,3.154527,0.94695795
resnet50,1,28,NaN,clock,airplane,0,0028_sty_dnn_0_airplane_00_airplane-0028-ILSVRC2012-val-00028019.png,airplane-0028-ILSVRC2012-val-00028019.png,0.0,-0.2666418,3.341256,-2.551169
resnet50,1,29,NaN,clock,airplane,0,0029_sty_dnn_0_airplane_00_airplane-0029-ILSVRC2012-val-00030319.png,airplane-0029-ILSVRC2012-val-00030319.png,0.0,-1.2351477,4.3125033,-3.922782
resnet50,1,30,NaN,oven,airplane,0,0030_sty_dnn_0_airplane_00_airplane-0030-ILSVRC2012-val-00030411.png,airplane-0030-ILSVRC2012-val-00030411.png,0.0,1.5529125,4.155432,-1.8402594
resnet50,1,31,NaN,airplane,airplane,0,0031_sty_dnn_0_airplane_00_airplane-0031-ILSVRC2012-val-00030531.png,airplane-0031-ILSVRC2012-val-00030531.png,1.0,10.596188,3.2390435,5.2022867
resnet50,1,32,NaN,airplane,airplane,0,0032_sty_dnn_0_airplane_00_airplane-0032-ILSVRC2012-val-00032804.png,airplane-0032-ILSVRC2012-val-00032804.png,1.0,4.0738907,3.1063037,0.68418735
resnet50,1,33,NaN,bottle,airplane,0,0033_sty_dnn_0_airplane_00_airplane-0033-ILSVRC2012-val-00033161.png,airplane-0033-ILSVRC2012-val-00033161.png,0.0,-2.1693401,3.0552192,-3.6943214
resnet50,1,34,NaN,truck,airplane,0,0034_sty_dnn_0_airplane_00_airplane-0034-ILSVRC2012-val-00033441.png,airplane-0034-ILSVRC2012-val-00033441.png,0.0,3.370128,4.0611434,-0.48862174
resnet50,1,35,NaN,airplane,airplane,0,0035_sty_dnn_0_airplane_00_airplane-0035-ILSVRC2012-val-00033920.png,airplane-0035-ILSVRC2012-val-00033920.png,1.0,3.4352374,3.121379,0.22193149
resnet50,1,36,NaN,oven,airplane,0,0036_sty_dnn_0_airplane_00_airplane-0036-ILSVRC2012-val-00034342.png,airplane-0036-ILSVRC2012-val-00034342.png,0.0,-0.1405425,4.267413,-3.1168954
resnet50,1,37,NaN,chair,airplane,0,0037_sty_dnn_0_airplane_00_airplane-0037-ILSVRC2012-val-00035783.png,airplane-0037-ILSVRC2012-val-00035783.png,0.0,1.7227969,2.7322888,-0.7138186
resnet50,1,38,NaN,bicycle,airplane,0,0038_sty_dnn_0_airplane_00_airplane-0038-ILSVRC2012-val-00036394.png,airplane-0038-ILSVRC2012-val-00036394.png,0.0,-1.2861985,1.5820326,-2.0281456
resnet50,1,39,NaN,clock,airplane,0,0039_sty_dnn_0_airplane_00_airplane-0039-ILSVRC2012-val-00037801.png,airplane-0039-ILSVRC2012-val-00037801.png,0.0,-2.3428876,2.5332868,-3.447976
resnet50,1,40,NaN,knife,airplane,0,0040_sty_dnn_0_airplane_00_airplane-0040-ILSVRC2012-val-00039213.png,airplane-0040-ILSVRC2012-val-00039213.png,0.0,0.4909048,6.070126,-3.9451053
resnet50,1,41,NaN,airplane,airplane,0,0041_sty_dnn_0_airplane_00_airplane-0041-ILSVRC2012-val-00040136.png,airplane-0041-ILSVRC2012-val-00040136.png,1.0,3.6314416,2.4640825,0.82544756
