subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,airplane,airplane,0,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,00_airplane-0001-ILSVRC2012-val-00000631.png,1.0,3.153146,2.9299698,0.15780944
simclr_resnet50x1,1,2,NaN,oven,airplane,0,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,00_airplane-0002-ILSVRC2012-val-00001390.png,0.0,0.9677744,2.9671795,-1.413793
simclr_resnet50x1,1,3,NaN,oven,airplane,0,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,00_airplane-0003-ILSVRC2012-val-00001506.png,0.0,1.675054,2.7191687,-0.7383006
simclr_resnet50x1,1,4,NaN,bear,airplane,0,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,00_airplane-0004-ILSVRC2012-val-00001952.png,0.0,-0.6451174,1.6438444,-1.6185405
simclr_resnet50x1,1,5,NaN,oven,airplane,0,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,00_airplane-0005-ILSVRC2012-val-00003960.png,0.0,3.9929137,4.4518843,-0.32454118
simclr_resnet50x1,1,6,NaN,elephant,airplane,0,0006_sty_dnn_0_airplane_00_airplane-0006-ILSVRC2012-val-00008292.png,00_airplane-0006-ILSVRC2012-val-00008292.png,0.0,-0.58788896,2.7436082,-2.3557243
simclr_resnet50x1,1,7,NaN,airplane,airplane,0,0007_sty_dnn_0_airplane_00_airplane-0007-ILSVRC2012-val-00009537.png,00_airplane-0007-ILSVRC2012-val-00009537.png,1.0,4.255169,2.4195037,1.2980113
simclr_resnet50x1,1,8,NaN,cat,airplane,0,0008_sty_dnn_0_airplane_00_airplane-0008-ILSVRC2012-val-00010597.png,00_airplane-0008-ILSVRC2012-val-00010597.png,0.0,-0.5071999,1.3223435,-1.2936826
simclr_resnet50x1,1,9,NaN,oven,airplane,0,0009_sty_dnn_0_airplane_00_airplane-0009-ILSVRC2012-val-00011168.png,00_airplane-0009-ILSVRC2012-val-00011168.png,0.0,3.291015,4.142894,-0.60236937
simclr_resnet50x1,1,10,NaN,elephant,airplane,0,0010_sty_dnn_0_airplane_00_airplane-0010-ILSVRC2012-val-00012263.png,00_airplane-0010-ILSVRC2012-val-00012263.png,0.0,-0.88683116,1.7016542,-1.8303355
