subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,airplane,airplane,0,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,airplane-0001-ILSVRC2012-val-00000631.png,1.0,4.337127,1.0307552,2.3379583
vit_b_16,1,2,NaN,clock,airplane,0,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,airplane-0002-ILSVRC2012-val-00001390.png,0.0,-0.1930386,1.5548774,-1.2359632
vit_b_16,1,3,NaN,airplane,airplane,0,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,airplane-0003-ILSVRC2012-val-00001506.png,1.0,1.647081,1.1411281,0.35776278
vit_b_16,1,4,NaN,airplane,airplane,0,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,airplane-0004-ILSVRC2012-val-00001952.png,1.0,3.7225404,1.3796121,1.6567006
vit_b_16,1,5,NaN,airplane,airplane,0,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,airplane-0005-ILSVRC2012-val-00003960.png,1.0,5.1479445,1.7734715,2.386113
vit_b_16,1,6,NaN,elephant,airplane,0,0006_sty_dnn_0_airplane_00_airplane-0006-ILSVRC2012-val-00008292.png,airplane-0006-ILSVRC2012-val-00008292.png,0.0,0.13165765,1.8103831,-1.1870382
vit_b_16,1,7,NaN,boat,airplane,0,0007_sty_dnn_0_airplane_00_airplane-0007-ILSVRC2012-val-00009537.png,airplane-0007-ILSVRC2012-val-00009537.png,0.0,2.1484349,2.2766428,-0.09065669
vit_b_16,1,8,NaN,knife,airplane,0,0008_sty_dnn_0_airplane_00_airplane-0008-ILSVRC2012-val-00010597.png,airplane-0008-ILSVRC2012-val-00010597.png,0.0,-0.8669203,2.329957,-2.2605336
vit_b_16,1,9,NaN,bear,airplane,0,0009_sty_dnn_0_airplane_00_airplane-0009-ILSVRC2012-val-00011168.png,airplane-0009-ILSVRC2012-val-00011168.png,0.0,2.1659036,2.2113302,-0.03212146
vit_b_16,1,10,NaN,chair,airplane,0,0010_sty_dnn_0_airplane_00_airplane-0010-ILSVRC2012-val-00012263.png,airplane-0010-ILSVRC2012-val-00012263.png,0.0,-0.34267765,1.3406005,-1.1902573
vit_b_16,1,11,NaN,clock,airplane,0,0011_sty_dnn_0_airplane_00_airplane-0011-ILSVRC2012-val-00014425.png,airplane-0011-ILSVRC2012-val-00014425.png,0.0,1.187644,1.3718663,-0.13026486
vit_b_16,1,12,NaN,oven,airplane,0,0012_sty_dnn_0_airplane_00_airplane-0012-ILSVRC2012-val-00015498.png,airplane-0012-ILSVRC2012-val-00015498.png,0.0,0.18078054,1.1742035,-0.7024561
vit_b_16,1,13,NaN,clock,airplane,0,0013_sty_dnn_0_airplane_00_airplane-0013-ILSVRC2012-val-00015636.png,airplane-0013-ILSVRC2012-val-00015636.png,0.0,-1.3269299,3.136485,-3.1561112
vit_b_16,1,14,NaN,airplane,airplane,0,0014_sty_dnn_0_airplane_00_airplane-0014-ILSVRC2012-val-00016995.png,airplane-0014-ILSVRC2012-val-00016995.png,1.0,2.5810456,1.2201121,0.96232533
vit_b_16,1,15,NaN,airplane,airplane,0,0015_sty_dnn_0_airplane_00_airplane-0015-ILSVRC2012-val-00018616.png,airplane-0015-ILSVRC2012-val-00018616.png,1.0,1.5201538,0.9650766,0.39249882
vit_b_16,1,16,NaN,airplane,airplane,0,0016_sty_dnn_0_airplane_00_airplane-0016-ILSVRC2012-val-00018685.png,airplane-0016-ILSVRC2012-val-00018685.png,1.0,1.4259552,0.73166704,0.49093586
vit_b_16,1,17,NaN,chair,airplane,0,0017_sty_dnn_0_airplane_00_airplane-0017-ILSVRC2012-val-00019179.png,airplane-0017-ILSVRC2012-val-00019179.png,0.0,0.15869634,1.259053,-0.7780697
vit_b_16,1,18,NaN,airplane,airplane,0,0018_sty_dnn_0_airplane_00_airplane-0018-ILSVRC2012-val-00019677.png,airplane-0018-ILSVRC2012-val-00019677.png,1.0,6.1281166,1.1839713,3.4960387
vit_b_16,1,19,NaN,knife,airplane,0,0019_sty_dnn_0_airplane_00_airplane-0019-ILSVRC2012-val-00022532.png,airplane-0019-ILSVRC2012-val-00022532.png,0.0,0.16306998,1.1680181,-0.7106057
vit_b_16,1,20,NaN,airplane,airplane,0,0020_sty_dnn_0_airplane_00_airplane-0020-ILSVRC2012-val-00022975.png,airplane-0020-ILSVRC2012-val-00022975.png,1.0,1.0884552,0.8684562,0.1555628
