subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe0,1,1,NaN,bicycle,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,n02504458_7209.png,0.0,-2.1908956,-2.1700597,-0.01473319
alexnet_w1_mlp_simclrhn_probe0,1,2,NaN,knife,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,n03041632_82878.png,1.0,-1.9166337,-2.721097,0.56884146
alexnet_w1_mlp_simclrhn_probe0,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,n03196217_9231.png,1.0,1.4957142,0.02386713,1.040753
alexnet_w1_mlp_simclrhn_probe0,1,4,NaN,oven,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,n04111531_11026.png,1.0,-1.6458845,-2.0409863,0.27937916
alexnet_w1_mlp_simclrhn_probe0,1,5,NaN,elephant,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,n04548280_1114.png,0.0,-3.0513685,-1.0120593,-1.4420092
alexnet_w1_mlp_simclrhn_probe0,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,n02708093_8100.png,1.0,-0.8368682,-1.3146489,0.33784193
alexnet_w1_mlp_simclrhn_probe0,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,n02708093_3591.png,1.0,1.8673118,-0.9788445,2.0125365
alexnet_w1_mlp_simclrhn_probe0,1,8,NaN,clock,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,n03376595_16202.png,0.0,-1.0109092,-0.9050569,-0.07484888
alexnet_w1_mlp_simclrhn_probe0,1,9,NaN,knife,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,n02823428_3478.png,0.0,-7.436986,-1.6259284,-4.1090384
alexnet_w1_mlp_simclrhn_probe0,1,10,NaN,bear,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,n02087394_28673.png,0.0,-3.0766864,-1.2793849,-1.2708842
