subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,bicycle,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,n02504458_7209.png,0.0,1.6043737,3.9230447,-1.6395481
alexnet2023_baseline_pgd,1,2,NaN,clock,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,n03041632_82878.png,0.0,0.9282903,2.3566096,-1.0099742
alexnet2023_baseline_pgd,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,n03196217_9231.png,1.0,10.849789,6.3659124,3.1705794
alexnet2023_baseline_pgd,1,4,NaN,oven,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,n04111531_11026.png,1.0,2.5515256,2.5013056,0.035510913
alexnet2023_baseline_pgd,1,5,NaN,cat,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,n04548280_1114.png,0.0,1.1707498,2.0254247,-0.60434645
alexnet2023_baseline_pgd,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,n02708093_8100.png,1.0,6.370037,3.524771,2.011907
alexnet2023_baseline_pgd,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,n02708093_3591.png,1.0,12.412479,5.7791553,4.690469
alexnet2023_baseline_pgd,1,8,NaN,chair,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,n03376595_16202.png,1.0,4.323563,3.4616566,0.60945994
alexnet2023_baseline_pgd,1,9,NaN,keyboard,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,n02823428_3478.png,0.0,0.6451435,2.1875386,-1.090638
alexnet2023_baseline_pgd,1,10,NaN,knife,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,n02087394_28673.png,0.0,-0.7277965,1.4754751,-1.5579484
alexnet2023_baseline_pgd,1,11,NaN,elephant,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png,n04099969_1690.png,0.0,-0.68147063,1.7935026,-1.7500703
alexnet2023_baseline_pgd,1,12,NaN,elephant,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png,n02125311_1736.png,0.0,1.9018377,2.904876,-0.70925516
alexnet2023_baseline_pgd,1,13,NaN,clock,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png,n02133161_1169.png,0.0,-0.5546986,2.8865159,-2.4333062
alexnet2023_baseline_pgd,1,14,NaN,keyboard,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png,n02133161_8835.png,0.0,-0.7070545,2.6621013,-2.382353
alexnet2023_baseline_pgd,1,15,NaN,clock,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png,n02814533_5430.png,0.0,-2.3927505,2.99537,-3.8099768
alexnet2023_baseline_pgd,1,16,NaN,clock,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png,n02134418_3767.png,0.0,-1.3085834,2.6619046,-2.807559
alexnet2023_baseline_pgd,1,17,NaN,clock,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png,n03041632_10540.png,0.0,-0.514206,2.3452241,-2.0219223
alexnet2023_baseline_pgd,1,18,NaN,clock,bicycle,0.20,0018_nse_dnn_0.20_bicycle_10_n02835271_1075.png,n02835271_1075.png,0.0,-1.5277762,2.4739332,-2.8296359
alexnet2023_baseline_pgd,1,19,NaN,bear,bear,0.00,0019_nse_dnn_0.00_bear_10_n02134084_3888.png,n02134084_3888.png,1.0,5.171635,4.1891527,0.69472003
alexnet2023_baseline_pgd,1,20,NaN,dog,dog,0.00,0020_nse_dnn_0.00_dog_10_n02085936_9009.png,n02085936_9009.png,1.0,4.363451,1.6879094,1.8918936
alexnet2023_baseline_pgd,1,21,NaN,knife,knife,0.03,0021_nse_dnn_0.03_knife_10_n03041632_12651.png,n03041632_12651.png,1.0,1.9749656,1.5113803,0.3278043
alexnet2023_baseline_pgd,1,22,NaN,clock,bicycle,0.35,0022_nse_dnn_0.35_bicycle_10_n03792782_565.png,n03792782_565.png,0.0,-2.153964,2.4839532,-3.2795029
alexnet2023_baseline_pgd,1,23,NaN,clock,boat,0.20,0023_nse_dnn_0.20_boat_10_n04612504_40672.png,n04612504_40672.png,0.0,-1.3636551,3.276685,-3.281216
alexnet2023_baseline_pgd,1,24,NaN,airplane,dog,0.05,0024_nse_dnn_0.05_dog_10_n02098105_146.png,n02098105_146.png,0.0,-0.9490545,1.6370091,-1.8286232
alexnet2023_baseline_pgd,1,25,NaN,clock,clock,0.03,0025_nse_dnn_0.03_clock_10_n02708093_5944.png,n02708093_5944.png,1.0,5.5852036,2.784184,1.98062
alexnet2023_baseline_pgd,1,26,NaN,cat,cat,0.03,0026_nse_dnn_0.03_cat_10_n02124075_14021.png,n02124075_14021.png,1.0,1.1854299,0.47617787,0.50151694
alexnet2023_baseline_pgd,1,27,NaN,clock,bear,0.20,0027_nse_dnn_0.20_bear_10_n02133161_7184.png,n02133161_7184.png,0.0,-0.86334157,2.2637017,-2.2111535
alexnet2023_baseline_pgd,1,28,NaN,airplane,bottle,0.00,0028_nse_dnn_0.00_bottle_10_n03937543_9745.png,n03937543_9745.png,0.0,0.16200778,3.2529106,-2.1855984
alexnet2023_baseline_pgd,1,29,NaN,clock,airplane,0.60,0029_nse_dnn_0.60_airplane_10_n02690373_9605.png,n02690373_9605.png,0.0,-2.0140333,1.5409034,-2.51372
alexnet2023_baseline_pgd,1,30,NaN,clock,cat,0.20,0030_nse_dnn_0.20_cat_10_n02123045_7167.png,n02123045_7167.png,0.0,0.11050304,3.103159,-2.1161275
alexnet2023_baseline_pgd,1,31,NaN,airplane,airplane,0.05,0031_nse_dnn_0.05_airplane_10_n02690373_4706.png,n02690373_4706.png,1.0,5.4883523,1.872225,2.5569882
alexnet2023_baseline_pgd,1,32,NaN,clock,knife,0.35,0032_nse_dnn_0.35_knife_10_n03041632_45270.png,n03041632_45270.png,0.0,0.6086165,2.4538538,-1.3047799
alexnet2023_baseline_pgd,1,33,NaN,keyboard,dog,0.35,0033_nse_dnn_0.35_dog_10_n02105855_9326.png,n02105855_9326.png,0.0,-2.1189742,2.8665032,-3.525265
alexnet2023_baseline_pgd,1,34,NaN,clock,bear,0.10,0034_nse_dnn_0.10_bear_10_n02134418_4349.png,n02134418_4349.png,0.0,-2.0174668,2.2797418,-3.0385854
alexnet2023_baseline_pgd,1,35,NaN,cat,cat,0.00,0035_nse_dnn_0.00_cat_10_n02123159_469.png,n02123159_469.png,1.0,4.5290065,2.9165258,1.140196
alexnet2023_baseline_pgd,1,36,NaN,clock,truck,0.90,0036_nse_dnn_0.90_truck_10_n03417042_5004.png,n03417042_5004.png,0.0,-3.0704002,2.070542,-3.6351955
alexnet2023_baseline_pgd,1,37,NaN,cat,bird,0.10,0037_nse_dnn_0.10_bird_10_n02051845_6333.png,n02051845_6333.png,0.0,-2.9301555,3.4812543,-4.5335517
alexnet2023_baseline_pgd,1,38,NaN,clock,clock,0.90,0038_nse_dnn_0.90_clock_10_n03196217_12701.png,n03196217_12701.png,1.0,2.5127451,2.378604,0.09485216
alexnet2023_baseline_pgd,1,39,NaN,clock,chair,0.60,0039_nse_dnn_0.60_chair_10_n03376595_12341.png,n03376595_12341.png,0.0,-1.3218999,2.6722672,-2.8243027
alexnet2023_baseline_pgd,1,40,NaN,elephant,bicycle,0.10,0040_nse_dnn_0.10_bicycle_10_n03792782_66837.png,n03792782_66837.png,0.0,-0.37874058,1.8574548,-1.5812289
alexnet2023_baseline_pgd,1,41,NaN,bicycle,bicycle,0.05,0041_nse_dnn_0.05_bicycle_10_n02835271_20177.png,n02835271_20177.png,1.0,5.4314747,1.8272054,2.5486033
alexnet2023_baseline_pgd,1,42,NaN,bottle,knife,0.00,0042_nse_dnn_0.00_knife_10_n03041632_22330.png,n03041632_22330.png,0.0,3.1706204,3.413484,-0.17173053
alexnet2023_baseline_pgd,1,43,NaN,keyboard,cat,0.60,0043_nse_dnn_0.60_cat_10_n02123045_5913.png,n02123045_5913.png,0.0,-1.8634623,3.2864563,-3.6415424
alexnet2023_baseline_pgd,1,44,NaN,clock,elephant,0.20,0044_nse_dnn_0.20_elephant_10_n02504013_2464.png,n02504013_2464.png,0.0,-0.56384975,3.2206573,-2.6760507
alexnet2023_baseline_pgd,1,45,NaN,clock,knife,0.90,0045_nse_dnn_0.90_knife_10_n03041632_99460.png,n03041632_99460.png,0.0,1.1946683,2.3991687,-0.85171044
alexnet2023_baseline_pgd,1,46,NaN,elephant,dog,0.00,0046_nse_dnn_0.00_dog_10_n02099601_8686.png,n02099601_8686.png,0.0,2.2083938,5.269224,-2.1643338
alexnet2023_baseline_pgd,1,47,NaN,clock,chair,0.90,0047_nse_dnn_0.90_chair_10_n02791124_5400.png,n02791124_5400.png,0.0,-1.533737,2.36459,-2.7565334
alexnet2023_baseline_pgd,1,48,NaN,elephant,chair,0.05,0048_nse_dnn_0.05_chair_10_n03376595_830.png,n03376595_830.png,0.0,0.31811672,2.7985435,-1.7539266
alexnet2023_baseline_pgd,1,49,NaN,clock,cat,0.90,0049_nse_dnn_0.90_cat_10_n02124075_6024.png,n02124075_6024.png,0.0,-1.0770973,2.5417106,-2.5588837
alexnet2023_baseline_pgd,1,50,NaN,knife,bicycle,0.10,0050_nse_dnn_0.10_bicycle_10_n03792782_9004.png,n03792782_9004.png,0.0,0.59938776,1.9660112,-0.9663487
alexnet2023_baseline_pgd,1,51,NaN,clock,keyboard,0.60,0051_nse_dnn_0.60_keyboard_10_n03085013_24088.png,n03085013_24088.png,0.0,0.99030256,2.375717,-0.9796359
alexnet2023_baseline_pgd,1,52,NaN,clock,cat,0.10,0052_nse_dnn_0.10_cat_10_n02125311_33778.png,n02125311_33778.png,0.0,0.69397765,1.823986,-0.7990367
alexnet2023_baseline_pgd,1,53,NaN,bicycle,bicycle,0.00,0053_nse_dnn_0.00_bicycle_10_n03792782_7092.png,n03792782_7092.png,1.0,8.441947,2.1214702,4.469252
alexnet2023_baseline_pgd,1,54,NaN,clock,airplane,0.35,0054_nse_dnn_0.35_airplane_10_n02690373_5724.png,n02690373_5724.png,0.0,-0.48560092,2.328306,-1.9897327
alexnet2023_baseline_pgd,1,55,NaN,keyboard,bear,0.60,0055_nse_dnn_0.60_bear_10_n02133161_5637.png,n02133161_5637.png,0.0,-0.8862361,2.7926197,-2.601344
alexnet2023_baseline_pgd,1,56,NaN,clock,bear,0.10,0056_nse_dnn_0.10_bear_10_n02132136_5365.png,n02132136_5365.png,0.0,-1.837396,2.334829,-2.9502087
alexnet2023_baseline_pgd,1,57,NaN,clock,car,0.35,0057_nse_dnn_0.35_car_10_n03100240_1702.png,n03100240_1702.png,0.0,-2.4835455,2.5617292,-3.567548
alexnet2023_baseline_pgd,1,58,NaN,clock,oven,0.35,0058_nse_dnn_0.35_oven_10_n04111531_2677.png,n04111531_2677.png,0.0,-1.8434268,1.9112457,-2.6549544
alexnet2023_baseline_pgd,1,59,NaN,chair,oven,0.05,0059_nse_dnn_0.05_oven_10_n04111531_16583.png,n04111531_16583.png,0.0,1.9632412,2.6653883,-0.496493
alexnet2023_baseline_pgd,1,60,NaN,bicycle,chair,0.10,0060_nse_dnn_0.10_chair_10_n04099969_6266.png,n04099969_6266.png,0.0,1.8223476,1.9598628,-0.09723792
alexnet2023_baseline_pgd,1,61,NaN,keyboard,oven,0.60,0061_nse_dnn_0.60_oven_10_n04111531_6695.png,n04111531_6695.png,0.0,-1.8950278,2.3710265,-3.0165558
alexnet2023_baseline_pgd,1,62,NaN,clock,car,0.10,0062_nse_dnn_0.10_car_10_n03100240_1438.png,n03100240_1438.png,0.0,0.21028924,1.1413417,-0.6583535
alexnet2023_baseline_pgd,1,63,NaN,clock,keyboard,0.20,0063_nse_dnn_0.20_keyboard_10_n04505470_4684.png,n04505470_4684.png,0.0,1.432519,2.5940428,-0.82132137
alexnet2023_baseline_pgd,1,64,NaN,chair,chair,0.00,0064_nse_dnn_0.00_chair_10_n04099969_8021.png,n04099969_8021.png,1.0,6.3324366,2.5963588,2.641806
alexnet2023_baseline_pgd,1,65,NaN,clock,car,0.20,0065_nse_dnn_0.20_car_10_n04285008_7139.png,n04285008_7139.png,0.0,-2.0209835,2.7079437,-3.3438566
alexnet2023_baseline_pgd,1,66,NaN,truck,truck,0.03,0066_nse_dnn_0.03_truck_10_n03796401_9207.png,n03796401_9207.png,1.0,6.6018305,5.8502793,0.5314269
