subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,chair,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,n02504458_7209.png,0.0,2.5327659,5.2102704,-1.8932817
alexnet,1,2,NaN,clock,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,n03041632_82878.png,0.0,1.3301181,3.2202663,-1.3365366
alexnet,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,n03196217_9231.png,1.0,13.192505,6.4991665,4.732905
alexnet,1,4,NaN,chair,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,n04111531_11026.png,0.0,3.785401,5.206498,-1.0048673
alexnet,1,5,NaN,clock,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,n04548280_1114.png,1.0,4.4663224,2.5721076,1.3394122
alexnet,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,n02708093_8100.png,1.0,7.804769,3.4795258,3.0584087
alexnet,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,n02708093_3591.png,1.0,13.029435,7.494401,3.9138603
alexnet,1,8,NaN,clock,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,n03376595_16202.png,0.0,3.9936457,7.09666,-2.1941626
alexnet,1,9,NaN,clock,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,n02823428_3478.png,0.0,2.2093759,2.657048,-0.316552
alexnet,1,10,NaN,clock,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,n02087394_28673.png,0.0,0.78276503,3.1440752,-1.6696984
alexnet,1,11,NaN,cat,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png,n04099969_1690.png,0.0,-0.02422966,2.7648633,-1.9721866
alexnet,1,12,NaN,elephant,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png,n02125311_1736.png,0.0,2.5804927,3.843133,-0.8928215
alexnet,1,13,NaN,clock,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png,n02133161_1169.png,0.0,0.12785375,3.0828407,-2.0894914
alexnet,1,14,NaN,clock,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png,n02133161_8835.png,0.0,-0.31000423,2.9351692,-2.2946842
alexnet,1,15,NaN,cat,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png,n02814533_5430.png,0.0,-1.1128958,1.7710711,-2.0392725
