subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,airplane,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,n02504458_7209.png,0.0,2.5490193,4.6432433,-1.48084
bagnet33,1,2,NaN,elephant,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,n03041632_82878.png,0.0,7.0382805,13.663385,-4.6846566
bagnet33,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,n03196217_9231.png,1.0,9.276652,4.94653,3.0618591
bagnet33,1,4,NaN,chair,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,n04111531_11026.png,0.0,1.1398414,4.213884,-2.1736763
bagnet33,1,5,NaN,knife,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,n04548280_1114.png,0.0,-0.49766263,1.7558025,-1.5934405
bagnet33,1,6,NaN,truck,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,n02708093_8100.png,0.0,6.0190263,6.581647,-0.39783287
bagnet33,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,n02708093_3591.png,1.0,22.518896,5.253164,12.208716
bagnet33,1,8,NaN,clock,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,n03376595_16202.png,0.0,2.5584197,6.630178,-2.879168
bagnet33,1,9,NaN,elephant,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,n02823428_3478.png,0.0,-2.9208655,9.646187,-8.886249
bagnet33,1,10,NaN,knife,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,n02087394_28673.png,0.0,-0.471794,2.3224497,-1.9758288
bagnet33,1,11,NaN,elephant,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png,n04099969_1690.png,0.0,-0.0026123822,2.6172042,-1.8524901
bagnet33,1,12,NaN,knife,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png,n02125311_1736.png,0.0,1.1213053,2.1809752,-0.74929976
