subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,elephant,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,n02504458_7209.png,1.0,4.7518024,1.6769097,2.1742775
convnext_large,1,2,NaN,clock,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,n03041632_82878.png,0.0,-0.87457633,4.5554314,-3.8395956
convnext_large,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,n03196217_9231.png,1.0,5.6266522,1.3845959,2.9995868
convnext_large,1,4,NaN,oven,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,n04111531_11026.png,1.0,6.9331446,1.7517802,3.663778
convnext_large,1,5,NaN,clock,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,n04548280_1114.png,1.0,4.9141326,0.29832503,3.2638688
convnext_large,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,n02708093_8100.png,1.0,3.2321503,0.60094553,1.8605428
convnext_large,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,n02708093_3591.png,1.0,5.3128314,1.0309818,3.0277252
convnext_large,1,8,NaN,chair,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,n03376595_16202.png,1.0,2.1914523,1.0425237,0.8124152
convnext_large,1,9,NaN,clock,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,n02823428_3478.png,0.0,0.31750387,4.46028,-2.929385
convnext_large,1,10,NaN,dog,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,n02087394_28673.png,1.0,0.75789255,0.2672439,0.346941
convnext_large,1,11,NaN,chair,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png,n04099969_1690.png,1.0,4.076949,2.3292701,1.2357957
convnext_large,1,12,NaN,cat,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png,n02125311_1736.png,1.0,2.5752223,0.5119901,1.4589255
convnext_large,1,13,NaN,clock,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png,n02133161_1169.png,0.0,-1.0658369,4.5408425,-3.9645212
convnext_large,1,14,NaN,clock,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png,n02133161_8835.png,0.0,-1.0650271,4.4963107,-3.9324598
convnext_large,1,15,NaN,car,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png,n02814533_5430.png,1.0,4.814382,1.629714,2.2519004
convnext_large,1,16,NaN,clock,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png,n02134418_3767.png,0.0,-1.0204462,4.533207,-3.927026
convnext_large,1,17,NaN,clock,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png,n03041632_10540.png,0.0,0.8930073,1.4466203,-0.39146355
convnext_large,1,18,NaN,clock,bicycle,0.20,0018_nse_dnn_0.20_bicycle_10_n02835271_1075.png,n02835271_1075.png,0.0,3.2863417,3.3182418,-0.022556825
convnext_large,1,19,NaN,bear,bear,0.00,0019_nse_dnn_0.00_bear_10_n02134084_3888.png,n02134084_3888.png,1.0,2.6394665,0.7569624,1.3311315
convnext_large,1,20,NaN,dog,dog,0.00,0020_nse_dnn_0.00_dog_10_n02085936_9009.png,n02085936_9009.png,1.0,0.42908376,0.4071384,0.015517712
convnext_large,1,21,NaN,knife,knife,0.03,0021_nse_dnn_0.03_knife_10_n03041632_12651.png,n03041632_12651.png,1.0,7.351956,1.2175825,4.3376575
convnext_large,1,22,NaN,clock,bicycle,0.35,0022_nse_dnn_0.35_bicycle_10_n03792782_565.png,n03792782_565.png,0.0,-1.3165703,4.086439,-3.8205047
