subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,elephant,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,n02504458_7209.png,1.0,9.293392,3.7899683,3.8915083
simclr_resnet50x1,1,2,NaN,knife,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,n03041632_82878.png,1.0,2.3099916,2.0887868,0.15641539
simclr_resnet50x1,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,n03196217_9231.png,1.0,12.133256,6.108321,4.2602725
simclr_resnet50x1,1,4,NaN,oven,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,n04111531_11026.png,1.0,7.6869593,3.4430604,3.0008898
simclr_resnet50x1,1,5,NaN,clock,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,n04548280_1114.png,1.0,5.1928964,1.3790826,2.6967735
simclr_resnet50x1,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,n02708093_8100.png,1.0,5.1521883,2.4560251,1.9064753
simclr_resnet50x1,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,n02708093_3591.png,1.0,21.403143,5.8962746,10.965012
simclr_resnet50x1,1,8,NaN,chair,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,n03376595_16202.png,1.0,3.1864173,2.4411132,0.5270096
simclr_resnet50x1,1,9,NaN,clock,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,n02823428_3478.png,0.0,0.99764526,1.5975175,-0.42417374
simclr_resnet50x1,1,10,NaN,dog,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,n02087394_28673.png,1.0,3.9991095,3.4234169,0.40707618
simclr_resnet50x1,1,11,NaN,chair,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png,n04099969_1690.png,1.0,3.1613338,2.5128355,0.45855755
simclr_resnet50x1,1,12,NaN,cat,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png,n02125311_1736.png,1.0,5.1283154,4.063744,0.75276566
