subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,elephant,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,n02504458_7209.png,1.0,4.608202,1.4186428,2.255359
vit_b_16,1,2,NaN,clock,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,n03041632_82878.png,0.0,1.4879465,3.2505834,-1.2463726
vit_b_16,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,n03196217_9231.png,1.0,6.8313117,2.7239563,2.9043386
vit_b_16,1,4,NaN,oven,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,n04111531_11026.png,1.0,2.5975919,2.2077444,0.27566382
vit_b_16,1,5,NaN,clock,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,n04548280_1114.png,1.0,5.6442227,1.3842174,3.0122788
vit_b_16,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,n02708093_8100.png,1.0,5.0995774,2.9945197,1.4885006
vit_b_16,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,n02708093_3591.png,1.0,4.800938,2.0955129,1.9130245
vit_b_16,1,8,NaN,chair,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,n03376595_16202.png,1.0,2.7308667,2.2738764,0.32314092
vit_b_16,1,9,NaN,clock,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,n02823428_3478.png,0.0,0.2869765,2.9861517,-1.9086051
vit_b_16,1,10,NaN,dog,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,n02087394_28673.png,1.0,1.5000176,0.58123046,0.6496807
vit_b_16,1,11,NaN,airplane,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png,n04099969_1690.png,0.0,0.57378745,1.7990316,-0.8663785
vit_b_16,1,12,NaN,cat,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png,n02125311_1736.png,1.0,1.7546571,0.4228406,0.9417365
vit_b_16,1,13,NaN,clock,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png,n02133161_1169.png,0.0,-0.90143037,3.348113,-3.004881
vit_b_16,1,14,NaN,clock,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png,n02133161_8835.png,0.0,-0.82360363,3.251686,-2.881665
vit_b_16,1,15,NaN,car,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png,n02814533_5430.png,1.0,6.0634637,2.3795135,2.6049461
vit_b_16,1,16,NaN,clock,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png,n02134418_3767.png,0.0,-0.7458242,2.9460547,-2.6105525
vit_b_16,1,17,NaN,knife,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png,n03041632_10540.png,1.0,3.5419154,1.9165319,1.1493198
vit_b_16,1,18,NaN,bicycle,bicycle,0.20,0018_nse_dnn_0.20_bicycle_10_n02835271_1075.png,n02835271_1075.png,1.0,4.9049234,2.5958092,1.6327903
vit_b_16,1,19,NaN,bear,bear,0.00,0019_nse_dnn_0.00_bear_10_n02134084_3888.png,n02134084_3888.png,1.0,2.713433,0.67518365,1.4412601
vit_b_16,1,20,NaN,knife,dog,0.00,0020_nse_dnn_0.00_dog_10_n02085936_9009.png,n02085936_9009.png,0.0,0.054845564,1.3196526,-0.8943536
vit_b_16,1,21,NaN,knife,knife,0.03,0021_nse_dnn_0.03_knife_10_n03041632_12651.png,n03041632_12651.png,1.0,8.1221,2.0000691,4.3289294
vit_b_16,1,22,NaN,clock,bicycle,0.35,0022_nse_dnn_0.35_bicycle_10_n03792782_565.png,n03792782_565.png,0.0,-0.9337096,2.9764426,-2.7648952
vit_b_16,1,23,NaN,boat,boat,0.20,0023_nse_dnn_0.20_boat_10_n04612504_40672.png,n04612504_40672.png,1.0,2.7930703,2.005256,0.5570689
vit_b_16,1,24,NaN,airplane,dog,0.05,0024_nse_dnn_0.05_dog_10_n02098105_146.png,n02098105_146.png,0.0,0.70488816,2.1322584,-1.0093032
vit_b_16,1,25,NaN,clock,clock,0.03,0025_nse_dnn_0.03_clock_10_n02708093_5944.png,n02708093_5944.png,1.0,5.3963265,0.7479206,3.2869196
vit_b_16,1,26,NaN,cat,cat,0.03,0026_nse_dnn_0.03_cat_10_n02124075_14021.png,n02124075_14021.png,1.0,3.1754053,2.0583577,0.78987193
vit_b_16,1,27,NaN,airplane,bear,0.20,0027_nse_dnn_0.20_bear_10_n02133161_7184.png,n02133161_7184.png,0.0,0.2240265,1.6854644,-1.0333927
vit_b_16,1,28,NaN,bottle,bottle,0.00,0028_nse_dnn_0.00_bottle_10_n03937543_9745.png,n03937543_9745.png,1.0,0.89947903,0.42902246,0.33266303
vit_b_16,1,29,NaN,clock,airplane,0.60,0029_nse_dnn_0.60_airplane_10_n02690373_9605.png,n02690373_9605.png,0.0,2.1770458,2.54693,-0.26154765
vit_b_16,1,30,NaN,clock,cat,0.20,0030_nse_dnn_0.20_cat_10_n02123045_7167.png,n02123045_7167.png,0.0,0.6381627,1.54461,-0.6409551
vit_b_16,1,31,NaN,airplane,airplane,0.05,0031_nse_dnn_0.05_airplane_10_n02690373_4706.png,n02690373_4706.png,1.0,8.887371,0.2962125,6.074867
vit_b_16,1,32,NaN,clock,knife,0.35,0032_nse_dnn_0.35_knife_10_n03041632_45270.png,n03041632_45270.png,0.0,0.16987057,1.705844,-1.0860972
vit_b_16,1,33,NaN,clock,dog,0.35,0033_nse_dnn_0.35_dog_10_n02105855_9326.png,n02105855_9326.png,0.0,-0.051281296,1.8919039,-1.3740394
vit_b_16,1,34,NaN,bear,bear,0.10,0034_nse_dnn_0.10_bear_10_n02134418_4349.png,n02134418_4349.png,1.0,2.5088556,2.0666335,0.31269827
vit_b_16,1,35,NaN,cat,cat,0.00,0035_nse_dnn_0.00_cat_10_n02123159_469.png,n02123159_469.png,1.0,4.868159,0.3842164,3.1706262
