subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,colour,humanvshuman_pairwise,0,subject-01,subject-02,bw,0.4336421424172366
humanvshuman,colour,humanvshuman_pairwise,0,subject-01,subject-02,cr,0.46804888951162893
humanvshuman,colour,humanvshuman_pairwise,1,subject-01,subject-03,bw,0.4126489281700588
humanvshuman,colour,humanvshuman_pairwise,1,subject-01,subject-03,cr,0.4148629191389115
humanvshuman,colour,humanvshuman_pairwise,2,subject-01,subject-04,bw,0.3255924150009478
humanvshuman,colour,humanvshuman_pairwise,2,subject-01,subject-04,cr,0.46347894559548924
humanvshuman,colour,humanvshuman_pairwise,3,subject-02,subject-03,bw,0.4613420903841147
humanvshuman,colour,humanvshuman_pairwise,3,subject-02,subject-03,cr,0.5605381427862323
humanvshuman,colour,humanvshuman_pairwise,4,subject-02,subject-04,bw,0.463063421205423
humanvshuman,colour,humanvshuman_pairwise,4,subject-02,subject-04,cr,0.5351492760867297
humanvshuman,colour,humanvshuman_pairwise,5,subject-03,subject-04,bw,0.42070119667766837
humanvshuman,colour,humanvshuman_pairwise,5,subject-03,subject-04,cr,0.46188976476367116
