subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,contrast,humanvshuman_pairwise,0,subject-01,subject-02,c01,0.040872446107213634
humanvshuman,contrast,humanvshuman_pairwise,0,subject-01,subject-02,c03,0.21004201260420152
humanvshuman,contrast,humanvshuman_pairwise,0,subject-01,subject-02,c05,0.3619115424564033
humanvshuman,contrast,humanvshuman_pairwise,0,subject-01,subject-02,c10,0.3974871068365151
humanvshuman,contrast,humanvshuman_pairwise,0,subject-01,subject-02,c15,0.33833719655313904
humanvshuman,contrast,humanvshuman_pairwise,0,subject-01,subject-02,c30,0.4022386633377592
humanvshuman,contrast,humanvshuman_pairwise,0,subject-01,subject-02,c50,0.5903455172811718
humanvshuman,contrast,humanvshuman_pairwise,0,subject-01,subject-02,c100,0.22805263149685523
humanvshuman,contrast,humanvshuman_pairwise,1,subject-01,subject-03,c01,-0.05600876294531367
humanvshuman,contrast,humanvshuman_pairwise,1,subject-01,subject-03,c03,0.24848052077628896
humanvshuman,contrast,humanvshuman_pairwise,1,subject-01,subject-03,c05,0.4725870472913849
humanvshuman,contrast,humanvshuman_pairwise,1,subject-01,subject-03,c10,0.38924947208076155
humanvshuman,contrast,humanvshuman_pairwise,1,subject-01,subject-03,c15,0.5018184082672754
humanvshuman,contrast,humanvshuman_pairwise,1,subject-01,subject-03,c30,0.49753678973806253
humanvshuman,contrast,humanvshuman_pairwise,1,subject-01,subject-03,c50,0.35983995998999757
humanvshuman,contrast,humanvshuman_pairwise,1,subject-01,subject-03,c100,0.389278776415071
humanvshuman,contrast,humanvshuman_pairwise,2,subject-01,subject-04,c01,0.03347126564139577
humanvshuman,contrast,humanvshuman_pairwise,2,subject-01,subject-04,c03,0.10675210253672476
humanvshuman,contrast,humanvshuman_pairwise,2,subject-01,subject-04,c05,0.498803342093401
humanvshuman,contrast,humanvshuman_pairwise,2,subject-01,subject-04,c10,0.405742556500245
humanvshuman,contrast,humanvshuman_pairwise,2,subject-01,subject-04,c15,0.3796631983009995
humanvshuman,contrast,humanvshuman_pairwise,2,subject-01,subject-04,c30,0.45733756229700717
humanvshuman,contrast,humanvshuman_pairwise,2,subject-01,subject-04,c50,0.4363129849392925
humanvshuman,contrast,humanvshuman_pairwise,2,subject-01,subject-04,c100,0.4512810603426112
humanvshuman,contrast,humanvshuman_pairwise,3,subject-02,subject-03,c01,-0.06233420255521831
humanvshuman,contrast,humanvshuman_pairwise,3,subject-02,subject-03,c03,0.09963802929205716
humanvshuman,contrast,humanvshuman_pairwise,3,subject-02,subject-03,c05,0.42953341994705607
humanvshuman,contrast,humanvshuman_pairwise,3,subject-02,subject-03,c10,0.4265617038812147
humanvshuman,contrast,humanvshuman_pairwise,3,subject-02,subject-03,c15,0.4864402452371012
humanvshuman,contrast,humanvshuman_pairwise,3,subject-02,subject-03,c30,0.5344978184081202
humanvshuman,contrast,humanvshuman_pairwise,3,subject-02,subject-03,c50,0.3440475178939814
humanvshuman,contrast,humanvshuman_pairwise,3,subject-02,subject-03,c100,0.48133345857997967
humanvshuman,contrast,humanvshuman_pairwise,4,subject-02,subject-04,c01,0.016411454530468605
humanvshuman,contrast,humanvshuman_pairwise,4,subject-02,subject-04,c03,0.2466466911319812
humanvshuman,contrast,humanvshuman_pairwise,4,subject-02,subject-04,c05,0.48735942415252764
humanvshuman,contrast,humanvshuman_pairwise,4,subject-02,subject-04,c10,0.5042607345833592
humanvshuman,contrast,humanvshuman_pairwise,4,subject-02,subject-04,c15,0.41702882811414943
humanvshuman,contrast,humanvshuman_pairwise,4,subject-02,subject-04,c30,0.39436118750781873
humanvshuman,contrast,humanvshuman_pairwise,4,subject-02,subject-04,c50,0.45991502373020854
humanvshuman,contrast,humanvshuman_pairwise,4,subject-02,subject-04,c100,0.5777881494145162
humanvshuman,contrast,humanvshuman_pairwise,5,subject-03,subject-04,c01,-0.06532553344640134
humanvshuman,contrast,humanvshuman_pairwise,5,subject-03,subject-04,c03,0.2224551557707888
humanvshuman,contrast,humanvshuman_pairwise,5,subject-03,subject-04,c05,0.5125564533836509
humanvshuman,contrast,humanvshuman_pairwise,5,subject-03,subject-04,c10,0.467508812768476
humanvshuman,contrast,humanvshuman_pairwise,5,subject-03,subject-04,c15,0.5318978854080616
humanvshuman,contrast,humanvshuman_pairwise,5,subject-03,subject-04,c30,0.600255904473969
humanvshuman,contrast,humanvshuman_pairwise,5,subject-03,subject-04,c50,0.38849786330210984
humanvshuman,contrast,humanvshuman_pairwise,5,subject-03,subject-04,c100,0.5351134946175936
