subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,edge,humanvshuman_pairwise,0,subject-01,subject-02,0,0.24612727814938612
humanvshuman,edge,humanvshuman_pairwise,1,subject-01,subject-03,0,0.1328296786342438
humanvshuman,edge,humanvshuman_pairwise,2,subject-01,subject-04,0,0.2984947841386171
humanvshuman,edge,humanvshuman_pairwise,3,subject-01,subject-05,0,0.39073836301945847
humanvshuman,edge,humanvshuman_pairwise,4,subject-01,subject-06,0,0.20983239088597933
humanvshuman,edge,humanvshuman_pairwise,5,subject-01,subject-07,0,0.4059618566545663
humanvshuman,edge,humanvshuman_pairwise,6,subject-01,subject-08,0,0.3228869617515374
humanvshuman,edge,humanvshuman_pairwise,7,subject-01,subject-09,0,0.22532870980076336
humanvshuman,edge,humanvshuman_pairwise,8,subject-01,subject-10,0,0.19439773478658662
humanvshuman,edge,humanvshuman_pairwise,9,subject-02,subject-03,0,0.6126788517448398
humanvshuman,edge,humanvshuman_pairwise,10,subject-02,subject-04,0,0.3866666666666666
humanvshuman,edge,humanvshuman_pairwise,11,subject-02,subject-05,0,0.48006694021145147
humanvshuman,edge,humanvshuman_pairwise,12,subject-02,subject-06,0,0.6126788517448398
humanvshuman,edge,humanvshuman_pairwise,13,subject-02,subject-07,0,0.2067245576486808
humanvshuman,edge,humanvshuman_pairwise,14,subject-02,subject-08,0,0.5759469664695669
humanvshuman,edge,humanvshuman_pairwise,15,subject-02,subject-09,0,0.21861976514407935
humanvshuman,edge,humanvshuman_pairwise,16,subject-02,subject-10,0,0.3012272125737919
humanvshuman,edge,humanvshuman_pairwise,17,subject-03,subject-04,0,0.596340749031644
humanvshuman,edge,humanvshuman_pairwise,18,subject-03,subject-05,0,0.42429364303280936
humanvshuman,edge,humanvshuman_pairwise,19,subject-03,subject-06,0,0.5495495495495495
humanvshuman,edge,humanvshuman_pairwise,20,subject-03,subject-07,0,0.2279803762937765
humanvshuman,edge,humanvshuman_pairwise,21,subject-03,subject-08,0,0.40314249144219627
humanvshuman,edge,humanvshuman_pairwise,22,subject-03,subject-09,0,0.3092881954182643
humanvshuman,edge,humanvshuman_pairwise,23,subject-03,subject-10,0,0.34956991031712414
humanvshuman,edge,humanvshuman_pairwise,24,subject-04,subject-05,0,0.5549710018047276
humanvshuman,edge,humanvshuman_pairwise,25,subject-04,subject-06,0,0.5309883381788612
humanvshuman,edge,humanvshuman_pairwise,26,subject-04,subject-07,0,0.41069278786204577
humanvshuman,edge,humanvshuman_pairwise,27,subject-04,subject-08,0,0.41289348737772585
humanvshuman,edge,humanvshuman_pairwise,28,subject-04,subject-09,0,0.32903378794411947
humanvshuman,edge,humanvshuman_pairwise,29,subject-04,subject-10,0,0.31304004443943073
humanvshuman,edge,humanvshuman_pairwise,30,subject-05,subject-06,0,0.34919742302700246
humanvshuman,edge,humanvshuman_pairwise,31,subject-05,subject-07,0,0.28505573384448246
humanvshuman,edge,humanvshuman_pairwise,32,subject-05,subject-08,0,0.5040700458966886
humanvshuman,edge,humanvshuman_pairwise,33,subject-05,subject-09,0,0.24461761445951546
humanvshuman,edge,humanvshuman_pairwise,34,subject-05,subject-10,0,0.32849279804935605
humanvshuman,edge,humanvshuman_pairwise,35,subject-06,subject-07,0,0.22798037629377652
humanvshuman,edge,humanvshuman_pairwise,36,subject-06,subject-08,0,0.40314249144219616
humanvshuman,edge,humanvshuman_pairwise,37,subject-06,subject-09,0,0.21187459056211808
humanvshuman,edge,humanvshuman_pairwise,38,subject-06,subject-10,0,0.34956991031712414
humanvshuman,edge,humanvshuman_pairwise,39,subject-07,subject-08,0,0.21039790769253663
humanvshuman,edge,humanvshuman_pairwise,40,subject-07,subject-09,0,0.3081414152909201
humanvshuman,edge,humanvshuman_pairwise,41,subject-07,subject-10,0,0.38461538461538436
humanvshuman,edge,humanvshuman_pairwise,42,subject-08,subject-09,0,0.2061968973433418
humanvshuman,edge,humanvshuman_pairwise,43,subject-08,subject-10,0,0.16007016897538512
humanvshuman,edge,humanvshuman_pairwise,44,subject-09,subject-10,0,0.326923368222938
