subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,eidolonI,humanvshuman_pairwise,0,subject-01,subject-02,1-10-10,0.41718381442470276
humanvshuman,eidolonI,humanvshuman_pairwise,0,subject-01,subject-02,2-10-10,0.43955848362901623
humanvshuman,eidolonI,humanvshuman_pairwise,0,subject-01,subject-02,4-10-10,0.5082461841521083
humanvshuman,eidolonI,humanvshuman_pairwise,0,subject-01,subject-02,8-10-10,0.5168527610168477
humanvshuman,eidolonI,humanvshuman_pairwise,0,subject-01,subject-02,16-10-10,0.4738682900371427
humanvshuman,eidolonI,humanvshuman_pairwise,0,subject-01,subject-02,32-10-10,0.3895968612369898
humanvshuman,eidolonI,humanvshuman_pairwise,0,subject-01,subject-02,64-10-10,0.4002848528750746
humanvshuman,eidolonI,humanvshuman_pairwise,0,subject-01,subject-02,128-10-10,0.18270005567822803
humanvshuman,eidolonI,humanvshuman_pairwise,1,subject-01,subject-03,1-10-10,0.4860064888894469
humanvshuman,eidolonI,humanvshuman_pairwise,1,subject-01,subject-03,2-10-10,0.4855892120462585
humanvshuman,eidolonI,humanvshuman_pairwise,1,subject-01,subject-03,4-10-10,0.5261018932301005
humanvshuman,eidolonI,humanvshuman_pairwise,1,subject-01,subject-03,8-10-10,0.3858390521939389
humanvshuman,eidolonI,humanvshuman_pairwise,1,subject-01,subject-03,16-10-10,0.36133077831414395
humanvshuman,eidolonI,humanvshuman_pairwise,1,subject-01,subject-03,32-10-10,0.4126793880451679
humanvshuman,eidolonI,humanvshuman_pairwise,1,subject-01,subject-03,64-10-10,0.24615001791324037
humanvshuman,eidolonI,humanvshuman_pairwise,1,subject-01,subject-03,128-10-10,0.21827300968376115
humanvshuman,eidolonI,humanvshuman_pairwise,2,subject-01,subject-04,1-10-10,0.44228766952092663
humanvshuman,eidolonI,humanvshuman_pairwise,2,subject-01,subject-04,2-10-10,0.4872835753532182
humanvshuman,eidolonI,humanvshuman_pairwise,2,subject-01,subject-04,4-10-10,0.3185186599531989
humanvshuman,eidolonI,humanvshuman_pairwise,2,subject-01,subject-04,8-10-10,0.49038772811069326
humanvshuman,eidolonI,humanvshuman_pairwise,2,subject-01,subject-04,16-10-10,0.4500428844629313
humanvshuman,eidolonI,humanvshuman_pairwise,2,subject-01,subject-04,32-10-10,0.2984714504475521
humanvshuman,eidolonI,humanvshuman_pairwise,2,subject-01,subject-04,64-10-10,0.15982503185468827
humanvshuman,eidolonI,humanvshuman_pairwise,2,subject-01,subject-04,128-10-10,0.09411821050090535
humanvshuman,eidolonI,humanvshuman_pairwise,3,subject-02,subject-03,1-10-10,0.4273462351800965
humanvshuman,eidolonI,humanvshuman_pairwise,3,subject-02,subject-03,2-10-10,0.2457009873327281
humanvshuman,eidolonI,humanvshuman_pairwise,3,subject-02,subject-03,4-10-10,0.44863391335461034
humanvshuman,eidolonI,humanvshuman_pairwise,3,subject-02,subject-03,8-10-10,0.5906398188973535
humanvshuman,eidolonI,humanvshuman_pairwise,3,subject-02,subject-03,16-10-10,0.4353371506389045
humanvshuman,eidolonI,humanvshuman_pairwise,3,subject-02,subject-03,32-10-10,0.3038024971663591
humanvshuman,eidolonI,humanvshuman_pairwise,3,subject-02,subject-03,64-10-10,0.25024526887831705
humanvshuman,eidolonI,humanvshuman_pairwise,3,subject-02,subject-03,128-10-10,0.11222190272356958
humanvshuman,eidolonI,humanvshuman_pairwise,4,subject-02,subject-04,1-10-10,0.4731695430625359
humanvshuman,eidolonI,humanvshuman_pairwise,4,subject-02,subject-04,2-10-10,0.3659938746052408
humanvshuman,eidolonI,humanvshuman_pairwise,4,subject-02,subject-04,4-10-10,0.3461542252067122
humanvshuman,eidolonI,humanvshuman_pairwise,4,subject-02,subject-04,8-10-10,0.5431745593739128
humanvshuman,eidolonI,humanvshuman_pairwise,4,subject-02,subject-04,16-10-10,0.43420895232721135
humanvshuman,eidolonI,humanvshuman_pairwise,4,subject-02,subject-04,32-10-10,0.2802242691589023
humanvshuman,eidolonI,humanvshuman_pairwise,4,subject-02,subject-04,64-10-10,0.1883489698780756
humanvshuman,eidolonI,humanvshuman_pairwise,4,subject-02,subject-04,128-10-10,0.25333333333333335
humanvshuman,eidolonI,humanvshuman_pairwise,5,subject-03,subject-04,1-10-10,0.36402800060245205
humanvshuman,eidolonI,humanvshuman_pairwise,5,subject-03,subject-04,2-10-10,0.268570742950639
humanvshuman,eidolonI,humanvshuman_pairwise,5,subject-03,subject-04,4-10-10,0.19218081381336544
humanvshuman,eidolonI,humanvshuman_pairwise,5,subject-03,subject-04,8-10-10,0.4215615168996881
humanvshuman,eidolonI,humanvshuman_pairwise,5,subject-03,subject-04,16-10-10,0.4062862369638294
humanvshuman,eidolonI,humanvshuman_pairwise,5,subject-03,subject-04,32-10-10,0.29630648277325716
humanvshuman,eidolonI,humanvshuman_pairwise,5,subject-03,subject-04,64-10-10,0.39018892250957354
humanvshuman,eidolonI,humanvshuman_pairwise,5,subject-03,subject-04,128-10-10,0.11222190272356958
