subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,eidolonII,humanvshuman_pairwise,0,subject-01,subject-02,1-3-10,0.4127428881725726
humanvshuman,eidolonII,humanvshuman_pairwise,0,subject-01,subject-02,2-3-10,0.6660363283492903
humanvshuman,eidolonII,humanvshuman_pairwise,0,subject-01,subject-02,4-3-10,0.48322118509443546
humanvshuman,eidolonII,humanvshuman_pairwise,0,subject-01,subject-02,8-3-10,0.45865371350535195
humanvshuman,eidolonII,humanvshuman_pairwise,0,subject-01,subject-02,16-3-10,0.28694491186487536
humanvshuman,eidolonII,humanvshuman_pairwise,0,subject-01,subject-02,32-3-10,0.09722222222222218
humanvshuman,eidolonII,humanvshuman_pairwise,0,subject-01,subject-02,64-3-10,-0.0636086697675111
humanvshuman,eidolonII,humanvshuman_pairwise,0,subject-01,subject-02,128-3-10,-0.06951724402443737
humanvshuman,eidolonII,humanvshuman_pairwise,1,subject-01,subject-03,1-3-10,0.44713726666368936
humanvshuman,eidolonII,humanvshuman_pairwise,1,subject-01,subject-03,2-3-10,0.5761387879053492
humanvshuman,eidolonII,humanvshuman_pairwise,1,subject-01,subject-03,4-3-10,0.5091530437039538
humanvshuman,eidolonII,humanvshuman_pairwise,1,subject-01,subject-03,8-3-10,0.5168254546610938
humanvshuman,eidolonII,humanvshuman_pairwise,1,subject-01,subject-03,16-3-10,0.24768387230352157
humanvshuman,eidolonII,humanvshuman_pairwise,1,subject-01,subject-03,32-3-10,-0.008233590595890641
humanvshuman,eidolonII,humanvshuman_pairwise,1,subject-01,subject-03,64-3-10,-0.06090641957040376
humanvshuman,eidolonII,humanvshuman_pairwise,1,subject-01,subject-03,128-3-10,0.11019119470457485
humanvshuman,eidolonII,humanvshuman_pairwise,2,subject-01,subject-04,1-3-10,0.3417664270790863
humanvshuman,eidolonII,humanvshuman_pairwise,2,subject-01,subject-04,2-3-10,0.44988130755824385
humanvshuman,eidolonII,humanvshuman_pairwise,2,subject-01,subject-04,4-3-10,0.5308672575053082
humanvshuman,eidolonII,humanvshuman_pairwise,2,subject-01,subject-04,8-3-10,0.4647581414848838
humanvshuman,eidolonII,humanvshuman_pairwise,2,subject-01,subject-04,16-3-10,0.27792911773683204
humanvshuman,eidolonII,humanvshuman_pairwise,2,subject-01,subject-04,32-3-10,0.019117977822546796
humanvshuman,eidolonII,humanvshuman_pairwise,2,subject-01,subject-04,64-3-10,0.048230749603937036
humanvshuman,eidolonII,humanvshuman_pairwise,2,subject-01,subject-04,128-3-10,0.016411454530468605
humanvshuman,eidolonII,humanvshuman_pairwise,3,subject-02,subject-03,1-3-10,0.41267214678614217
humanvshuman,eidolonII,humanvshuman_pairwise,3,subject-02,subject-03,2-3-10,0.5560881881622739
humanvshuman,eidolonII,humanvshuman_pairwise,3,subject-02,subject-03,4-3-10,0.35687196159827594
humanvshuman,eidolonII,humanvshuman_pairwise,3,subject-02,subject-03,8-3-10,0.5418960862072931
humanvshuman,eidolonII,humanvshuman_pairwise,3,subject-02,subject-03,16-3-10,0.31496135615675913
humanvshuman,eidolonII,humanvshuman_pairwise,3,subject-02,subject-03,32-3-10,0.23877412728082875
humanvshuman,eidolonII,humanvshuman_pairwise,3,subject-02,subject-03,64-3-10,0.17587057599805636
humanvshuman,eidolonII,humanvshuman_pairwise,3,subject-02,subject-03,128-3-10,0.14807886212613458
humanvshuman,eidolonII,humanvshuman_pairwise,4,subject-02,subject-04,1-3-10,0.35470500693488133
humanvshuman,eidolonII,humanvshuman_pairwise,4,subject-02,subject-04,2-3-10,0.5427921658618606
humanvshuman,eidolonII,humanvshuman_pairwise,4,subject-02,subject-04,4-3-10,0.47020639878429327
humanvshuman,eidolonII,humanvshuman_pairwise,4,subject-02,subject-04,8-3-10,0.4153056111301069
humanvshuman,eidolonII,humanvshuman_pairwise,4,subject-02,subject-04,16-3-10,0.32025630761017415
humanvshuman,eidolonII,humanvshuman_pairwise,4,subject-02,subject-04,32-3-10,0.21029775604801504
humanvshuman,eidolonII,humanvshuman_pairwise,4,subject-02,subject-04,64-3-10,0.24646781789638939
humanvshuman,eidolonII,humanvshuman_pairwise,4,subject-02,subject-04,128-3-10,0.14807886212613455
humanvshuman,eidolonII,humanvshuman_pairwise,5,subject-03,subject-04,1-3-10,0.48025211274096646
humanvshuman,eidolonII,humanvshuman_pairwise,5,subject-03,subject-04,2-3-10,0.5969295060347266
humanvshuman,eidolonII,humanvshuman_pairwise,5,subject-03,subject-04,4-3-10,0.4882906806046713
humanvshuman,eidolonII,humanvshuman_pairwise,5,subject-03,subject-04,8-3-10,0.48793659169272785
humanvshuman,eidolonII,humanvshuman_pairwise,5,subject-03,subject-04,16-3-10,0.4882945655692246
humanvshuman,eidolonII,humanvshuman_pairwise,5,subject-03,subject-04,32-3-10,0.05100071118154227
humanvshuman,eidolonII,humanvshuman_pairwise,5,subject-03,subject-04,64-3-10,0.08902090883852236
humanvshuman,eidolonII,humanvshuman_pairwise,5,subject-03,subject-04,128-3-10,0.21903599755948744
