subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,eidolonIII,humanvshuman_pairwise,0,subject-01,subject-02,1-0-10,0.4478683741749138
humanvshuman,eidolonIII,humanvshuman_pairwise,0,subject-01,subject-02,2-0-10,0.5510345445288064
humanvshuman,eidolonIII,humanvshuman_pairwise,0,subject-01,subject-02,4-0-10,0.4682415360749921
humanvshuman,eidolonIII,humanvshuman_pairwise,0,subject-01,subject-02,8-0-10,0.5096736169032059
humanvshuman,eidolonIII,humanvshuman_pairwise,0,subject-01,subject-02,16-0-10,0.2013451317043246
humanvshuman,eidolonIII,humanvshuman_pairwise,0,subject-01,subject-02,32-0-10,0.02098723315175962
humanvshuman,eidolonIII,humanvshuman_pairwise,0,subject-01,subject-02,64-0-10,0.02450715406979357
humanvshuman,eidolonIII,humanvshuman_pairwise,0,subject-01,subject-02,128-0-10,-0.045283341285172626
humanvshuman,eidolonIII,humanvshuman_pairwise,1,subject-01,subject-03,1-0-10,0.4992301766027062
humanvshuman,eidolonIII,humanvshuman_pairwise,1,subject-01,subject-03,2-0-10,0.49391667215491775
humanvshuman,eidolonIII,humanvshuman_pairwise,1,subject-01,subject-03,4-0-10,0.489874869797847
humanvshuman,eidolonIII,humanvshuman_pairwise,1,subject-01,subject-03,8-0-10,0.34711210784964197
humanvshuman,eidolonIII,humanvshuman_pairwise,1,subject-01,subject-03,16-0-10,0.026836379837912407
humanvshuman,eidolonIII,humanvshuman_pairwise,1,subject-01,subject-03,32-0-10,-0.010252770865347777
humanvshuman,eidolonIII,humanvshuman_pairwise,1,subject-01,subject-03,64-0-10,-0.0666666666666667
humanvshuman,eidolonIII,humanvshuman_pairwise,1,subject-01,subject-03,128-0-10,-0.048189014620846425
humanvshuman,eidolonIII,humanvshuman_pairwise,2,subject-01,subject-04,1-0-10,0.5262963441406464
humanvshuman,eidolonIII,humanvshuman_pairwise,2,subject-01,subject-04,2-0-10,0.40050093945740695
humanvshuman,eidolonIII,humanvshuman_pairwise,2,subject-01,subject-04,4-0-10,0.6062022577951198
humanvshuman,eidolonIII,humanvshuman_pairwise,2,subject-01,subject-04,8-0-10,0.49709007423336354
humanvshuman,eidolonIII,humanvshuman_pairwise,2,subject-01,subject-04,16-0-10,0.46500785142577616
humanvshuman,eidolonIII,humanvshuman_pairwise,2,subject-01,subject-04,32-0-10,0.11498726905880262
humanvshuman,eidolonIII,humanvshuman_pairwise,2,subject-01,subject-04,64-0-10,0.01771924779845835
humanvshuman,eidolonIII,humanvshuman_pairwise,2,subject-01,subject-04,128-0-10,0.1717258092431178
humanvshuman,eidolonIII,humanvshuman_pairwise,3,subject-02,subject-03,1-0-10,0.4364357804719847
humanvshuman,eidolonIII,humanvshuman_pairwise,3,subject-02,subject-03,2-0-10,0.4455431199798596
humanvshuman,eidolonIII,humanvshuman_pairwise,3,subject-02,subject-03,4-0-10,0.4589967109618941
humanvshuman,eidolonIII,humanvshuman_pairwise,3,subject-02,subject-03,8-0-10,0.4161849730956436
humanvshuman,eidolonIII,humanvshuman_pairwise,3,subject-02,subject-03,16-0-10,0.05933797427724147
humanvshuman,eidolonIII,humanvshuman_pairwise,3,subject-02,subject-03,32-0-10,0.06577252577220138
humanvshuman,eidolonIII,humanvshuman_pairwise,3,subject-02,subject-03,64-0-10,0.41662161918649104
humanvshuman,eidolonIII,humanvshuman_pairwise,3,subject-02,subject-03,128-0-10,0.19291907236719164
humanvshuman,eidolonIII,humanvshuman_pairwise,4,subject-02,subject-04,1-0-10,0.5506940169266648
humanvshuman,eidolonIII,humanvshuman_pairwise,4,subject-02,subject-04,2-0-10,0.45126134071262974
humanvshuman,eidolonIII,humanvshuman_pairwise,4,subject-02,subject-04,4-0-10,0.5400375793288389
humanvshuman,eidolonIII,humanvshuman_pairwise,4,subject-02,subject-04,8-0-10,0.4295115416168087
humanvshuman,eidolonIII,humanvshuman_pairwise,4,subject-02,subject-04,16-0-10,0.19264531977517235
humanvshuman,eidolonIII,humanvshuman_pairwise,4,subject-02,subject-04,32-0-10,0.28642769696236614
humanvshuman,eidolonIII,humanvshuman_pairwise,4,subject-02,subject-04,64-0-10,0.3495699103171242
humanvshuman,eidolonIII,humanvshuman_pairwise,4,subject-02,subject-04,128-0-10,0.23342135483010112
humanvshuman,eidolonIII,humanvshuman_pairwise,5,subject-03,subject-04,1-0-10,0.44994365425187494
humanvshuman,eidolonIII,humanvshuman_pairwise,5,subject-03,subject-04,2-0-10,0.46180511873460894
humanvshuman,eidolonIII,humanvshuman_pairwise,5,subject-03,subject-04,4-0-10,0.5298136811378538
humanvshuman,eidolonIII,humanvshuman_pairwise,5,subject-03,subject-04,8-0-10,0.4078111019497259
humanvshuman,eidolonIII,humanvshuman_pairwise,5,subject-03,subject-04,16-0-10,0.10508804812591052
humanvshuman,eidolonIII,humanvshuman_pairwise,5,subject-03,subject-04,32-0-10,0.09187857764836938
humanvshuman,eidolonIII,humanvshuman_pairwise,5,subject-03,subject-04,64-0-10,0.11222190272356959
humanvshuman,eidolonIII,humanvshuman_pairwise,5,subject-03,subject-04,128-0-10,0.020399933088329197
