subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,false-colour,humanvshuman_pairwise,0,subject-01,subject-02,False,0.4467234029008015
humanvshuman,false-colour,humanvshuman_pairwise,0,subject-01,subject-02,True,0.4204890158225906
humanvshuman,false-colour,humanvshuman_pairwise,1,subject-01,subject-03,False,0.53006993006993
humanvshuman,false-colour,humanvshuman_pairwise,1,subject-01,subject-03,True,0.4792537975312273
humanvshuman,false-colour,humanvshuman_pairwise,2,subject-01,subject-04,False,0.4144015307281154
humanvshuman,false-colour,humanvshuman_pairwise,2,subject-01,subject-04,True,0.36984985659000735
humanvshuman,false-colour,humanvshuman_pairwise,3,subject-02,subject-03,False,0.41794398321435355
humanvshuman,false-colour,humanvshuman_pairwise,3,subject-02,subject-03,True,0.43395206629742844
humanvshuman,false-colour,humanvshuman_pairwise,4,subject-02,subject-04,False,0.4170816130458984
humanvshuman,false-colour,humanvshuman_pairwise,4,subject-02,subject-04,True,0.46710913139516974
humanvshuman,false-colour,humanvshuman_pairwise,5,subject-03,subject-04,False,0.5121542085746802
humanvshuman,false-colour,humanvshuman_pairwise,5,subject-03,subject-04,True,0.4705213856261486
