subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,high-pass,humanvshuman_pairwise,0,subject-01,subject-02,0.4,0.16109144535022119
humanvshuman,high-pass,humanvshuman_pairwise,0,subject-01,subject-02,0.45,-0.0682238475629885
humanvshuman,high-pass,humanvshuman_pairwise,0,subject-01,subject-02,0.55,0.1342826754629008
humanvshuman,high-pass,humanvshuman_pairwise,0,subject-01,subject-02,0.7,0.2570230534217152
humanvshuman,high-pass,humanvshuman_pairwise,0,subject-01,subject-02,1.0,0.4546834481948284
humanvshuman,high-pass,humanvshuman_pairwise,0,subject-01,subject-02,1.5,0.4923817203844909
humanvshuman,high-pass,humanvshuman_pairwise,0,subject-01,subject-02,3.0,0.5245864215976127
humanvshuman,high-pass,humanvshuman_pairwise,0,subject-01,subject-02,inf,0.4062499999999998
humanvshuman,high-pass,humanvshuman_pairwise,1,subject-01,subject-03,0.4,-0.06951724402443739
humanvshuman,high-pass,humanvshuman_pairwise,1,subject-01,subject-03,0.45,0.17770466332772777
humanvshuman,high-pass,humanvshuman_pairwise,1,subject-01,subject-03,0.55,0.317553674414978
humanvshuman,high-pass,humanvshuman_pairwise,1,subject-01,subject-03,0.7,0.15515419416211815
humanvshuman,high-pass,humanvshuman_pairwise,1,subject-01,subject-03,1.0,0.30129503682011444
humanvshuman,high-pass,humanvshuman_pairwise,1,subject-01,subject-03,1.5,0.5704820278101628
humanvshuman,high-pass,humanvshuman_pairwise,1,subject-01,subject-03,3.0,0.4568956169528764
humanvshuman,high-pass,humanvshuman_pairwise,1,subject-01,subject-03,inf,0.3915276732479057
humanvshuman,high-pass,humanvshuman_pairwise,2,subject-01,subject-04,0.4,-0.06303578296313003
humanvshuman,high-pass,humanvshuman_pairwise,2,subject-01,subject-04,0.45,0.019117977822546837
humanvshuman,high-pass,humanvshuman_pairwise,2,subject-01,subject-04,0.55,0.15127296747399627
humanvshuman,high-pass,humanvshuman_pairwise,2,subject-01,subject-04,0.7,0.30286027816646965
humanvshuman,high-pass,humanvshuman_pairwise,2,subject-01,subject-04,1.0,0.29162235942810755
humanvshuman,high-pass,humanvshuman_pairwise,2,subject-01,subject-04,1.5,0.5091818392782945
humanvshuman,high-pass,humanvshuman_pairwise,2,subject-01,subject-04,3.0,0.4978617310365472
humanvshuman,high-pass,humanvshuman_pairwise,2,subject-01,subject-04,inf,0.4288450139351179
humanvshuman,high-pass,humanvshuman_pairwise,3,subject-02,subject-03,0.4,0.12253577034896795
humanvshuman,high-pass,humanvshuman_pairwise,3,subject-02,subject-03,0.45,0.11222190272356958
humanvshuman,high-pass,humanvshuman_pairwise,3,subject-02,subject-03,0.55,0.34824264886206474
humanvshuman,high-pass,humanvshuman_pairwise,3,subject-02,subject-03,0.7,0.43090677245844844
humanvshuman,high-pass,humanvshuman_pairwise,3,subject-02,subject-03,1.0,0.5229763603684907
humanvshuman,high-pass,humanvshuman_pairwise,3,subject-02,subject-03,1.5,0.6186923047658403
humanvshuman,high-pass,humanvshuman_pairwise,3,subject-02,subject-03,3.0,0.6145751628766728
humanvshuman,high-pass,humanvshuman_pairwise,3,subject-02,subject-03,inf,0.5378561975930829
humanvshuman,high-pass,humanvshuman_pairwise,4,subject-02,subject-04,0.4,0.03999999999999998
humanvshuman,high-pass,humanvshuman_pairwise,4,subject-02,subject-04,0.45,0.12962755308030868
humanvshuman,high-pass,humanvshuman_pairwise,4,subject-02,subject-04,0.55,0.3798692487226536
humanvshuman,high-pass,humanvshuman_pairwise,4,subject-02,subject-04,0.7,0.48444794695380766
humanvshuman,high-pass,humanvshuman_pairwise,4,subject-02,subject-04,1.0,0.43139348881441597
humanvshuman,high-pass,humanvshuman_pairwise,4,subject-02,subject-04,1.5,0.46516502458489684
humanvshuman,high-pass,humanvshuman_pairwise,4,subject-02,subject-04,3.0,0.6577607154461395
humanvshuman,high-pass,humanvshuman_pairwise,4,subject-02,subject-04,inf,0.5360562674188976
humanvshuman,high-pass,humanvshuman_pairwise,5,subject-03,subject-04,0.4,0.12253577034896795
humanvshuman,high-pass,humanvshuman_pairwise,5,subject-03,subject-04,0.45,4.163336342344337e-17
humanvshuman,high-pass,humanvshuman_pairwise,5,subject-03,subject-04,0.55,0.47533191677545067
humanvshuman,high-pass,humanvshuman_pairwise,5,subject-03,subject-04,0.7,0.42732144166671293
humanvshuman,high-pass,humanvshuman_pairwise,5,subject-03,subject-04,1.0,0.36972614250026525
humanvshuman,high-pass,humanvshuman_pairwise,5,subject-03,subject-04,1.5,0.5969295060347266
humanvshuman,high-pass,humanvshuman_pairwise,5,subject-03,subject-04,3.0,0.5265791596008751
humanvshuman,high-pass,humanvshuman_pairwise,5,subject-03,subject-04,inf,0.47827396685025325
