subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,low-pass,humanvshuman_pairwise,0,subject-01,subject-02,0,0.2655255681288681
humanvshuman,low-pass,humanvshuman_pairwise,0,subject-01,subject-02,1,0.5905487572981981
humanvshuman,low-pass,humanvshuman_pairwise,0,subject-01,subject-02,3,0.6142943948376995
humanvshuman,low-pass,humanvshuman_pairwise,0,subject-01,subject-02,5,0.47112269442584287
humanvshuman,low-pass,humanvshuman_pairwise,0,subject-01,subject-02,7,0.4415798659871819
humanvshuman,low-pass,humanvshuman_pairwise,0,subject-01,subject-02,10,0.40899557406742465
humanvshuman,low-pass,humanvshuman_pairwise,0,subject-01,subject-02,15,0.12491051269110383
humanvshuman,low-pass,humanvshuman_pairwise,0,subject-01,subject-02,40,-0.05960264900662249
humanvshuman,low-pass,humanvshuman_pairwise,1,subject-01,subject-03,0,0.3391533656562534
humanvshuman,low-pass,humanvshuman_pairwise,1,subject-01,subject-03,1,0.6410906364162967
humanvshuman,low-pass,humanvshuman_pairwise,1,subject-01,subject-03,3,0.5235425895441612
humanvshuman,low-pass,humanvshuman_pairwise,1,subject-01,subject-03,5,0.47112269442584276
humanvshuman,low-pass,humanvshuman_pairwise,1,subject-01,subject-03,7,0.5139740384195608
humanvshuman,low-pass,humanvshuman_pairwise,1,subject-01,subject-03,10,0.2655450805774263
humanvshuman,low-pass,humanvshuman_pairwise,1,subject-01,subject-03,15,0.14719090746522834
humanvshuman,low-pass,humanvshuman_pairwise,1,subject-01,subject-03,40,-0.056008762945313664
humanvshuman,low-pass,humanvshuman_pairwise,2,subject-01,subject-04,0,0.19417478894736256
humanvshuman,low-pass,humanvshuman_pairwise,2,subject-01,subject-04,1,0.44576067802097796
humanvshuman,low-pass,humanvshuman_pairwise,2,subject-01,subject-04,3,0.5518866724329057
humanvshuman,low-pass,humanvshuman_pairwise,2,subject-01,subject-04,5,0.5886913875687401
humanvshuman,low-pass,humanvshuman_pairwise,2,subject-01,subject-04,7,0.41541217022497856
humanvshuman,low-pass,humanvshuman_pairwise,2,subject-01,subject-04,10,0.41053913156843136
humanvshuman,low-pass,humanvshuman_pairwise,2,subject-01,subject-04,15,0.2927058149597186
humanvshuman,low-pass,humanvshuman_pairwise,2,subject-01,subject-04,40,0.026682614619567932
humanvshuman,low-pass,humanvshuman_pairwise,3,subject-02,subject-03,0,0.3211100332397353
humanvshuman,low-pass,humanvshuman_pairwise,3,subject-02,subject-03,1,0.6728696357492128
humanvshuman,low-pass,humanvshuman_pairwise,3,subject-02,subject-03,3,0.47305153971070046
humanvshuman,low-pass,humanvshuman_pairwise,3,subject-02,subject-03,5,0.43614700453096156
humanvshuman,low-pass,humanvshuman_pairwise,3,subject-02,subject-03,7,0.5282978502043062
humanvshuman,low-pass,humanvshuman_pairwise,3,subject-02,subject-03,10,0.26944813181046856
humanvshuman,low-pass,humanvshuman_pairwise,3,subject-02,subject-03,15,0.2567194115822354
humanvshuman,low-pass,humanvshuman_pairwise,3,subject-02,subject-03,40,0.06845515471093891
humanvshuman,low-pass,humanvshuman_pairwise,4,subject-02,subject-04,0,0.3380187281281697
humanvshuman,low-pass,humanvshuman_pairwise,4,subject-02,subject-04,1,0.46741181657979247
humanvshuman,low-pass,humanvshuman_pairwise,4,subject-02,subject-04,3,0.5160164580670098
humanvshuman,low-pass,humanvshuman_pairwise,4,subject-02,subject-04,5,0.552696889387508
humanvshuman,low-pass,humanvshuman_pairwise,4,subject-02,subject-04,7,0.4350826512598299
humanvshuman,low-pass,humanvshuman_pairwise,4,subject-02,subject-04,10,0.32971985713159935
humanvshuman,low-pass,humanvshuman_pairwise,4,subject-02,subject-04,15,0.3215386464180368
humanvshuman,low-pass,humanvshuman_pairwise,4,subject-02,subject-04,40,0.12596676204121587
humanvshuman,low-pass,humanvshuman_pairwise,5,subject-03,subject-04,0,0.17213259316477422
humanvshuman,low-pass,humanvshuman_pairwise,5,subject-03,subject-04,1,0.5178432398929212
humanvshuman,low-pass,humanvshuman_pairwise,5,subject-03,subject-04,3,0.4214787526491243
humanvshuman,low-pass,humanvshuman_pairwise,5,subject-03,subject-04,5,0.4712182324753447
humanvshuman,low-pass,humanvshuman_pairwise,5,subject-03,subject-04,7,0.4516866815946183
humanvshuman,low-pass,humanvshuman_pairwise,5,subject-03,subject-04,10,0.2647278064763742
humanvshuman,low-pass,humanvshuman_pairwise,5,subject-03,subject-04,15,0.13194286696016114
humanvshuman,low-pass,humanvshuman_pairwise,5,subject-03,subject-04,40,0.141695683400053
