subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,phase-scrambling,humanvshuman_pairwise,0,subject-01,subject-02,0,0.3761785234030691
humanvshuman,phase-scrambling,humanvshuman_pairwise,0,subject-01,subject-02,30,0.539284245166598
humanvshuman,phase-scrambling,humanvshuman_pairwise,0,subject-01,subject-02,60,0.360288346061446
humanvshuman,phase-scrambling,humanvshuman_pairwise,0,subject-01,subject-02,90,0.5241301791378983
humanvshuman,phase-scrambling,humanvshuman_pairwise,0,subject-01,subject-02,120,0.38443396531031243
humanvshuman,phase-scrambling,humanvshuman_pairwise,0,subject-01,subject-02,150,0.044060232631903784
humanvshuman,phase-scrambling,humanvshuman_pairwise,0,subject-01,subject-02,180,-0.05664482705110445
humanvshuman,phase-scrambling,humanvshuman_pairwise,1,subject-01,subject-03,0,0.6287372835939983
humanvshuman,phase-scrambling,humanvshuman_pairwise,1,subject-01,subject-03,30,0.5867450725454497
humanvshuman,phase-scrambling,humanvshuman_pairwise,1,subject-01,subject-03,60,0.5340682950386861
humanvshuman,phase-scrambling,humanvshuman_pairwise,1,subject-01,subject-03,90,0.47610125496744354
humanvshuman,phase-scrambling,humanvshuman_pairwise,1,subject-01,subject-03,120,0.3491826637619425
humanvshuman,phase-scrambling,humanvshuman_pairwise,1,subject-01,subject-03,150,0.3035292451906503
humanvshuman,phase-scrambling,humanvshuman_pairwise,1,subject-01,subject-03,180,0.29603827864081106
humanvshuman,phase-scrambling,humanvshuman_pairwise,2,subject-01,subject-04,0,0.3418346359522829
humanvshuman,phase-scrambling,humanvshuman_pairwise,2,subject-01,subject-04,30,0.3334915503021254
humanvshuman,phase-scrambling,humanvshuman_pairwise,2,subject-01,subject-04,60,0.40032038451271784
humanvshuman,phase-scrambling,humanvshuman_pairwise,2,subject-01,subject-04,90,0.5231031871272447
humanvshuman,phase-scrambling,humanvshuman_pairwise,2,subject-01,subject-04,120,0.43916216401259367
humanvshuman,phase-scrambling,humanvshuman_pairwise,2,subject-01,subject-04,150,0.04937971009526118
humanvshuman,phase-scrambling,humanvshuman_pairwise,2,subject-01,subject-04,180,0.12530328958415907
humanvshuman,phase-scrambling,humanvshuman_pairwise,3,subject-02,subject-03,0,0.32163376045133846
humanvshuman,phase-scrambling,humanvshuman_pairwise,3,subject-02,subject-03,30,0.5867450725454495
humanvshuman,phase-scrambling,humanvshuman_pairwise,3,subject-02,subject-03,60,0.4298773669876203
humanvshuman,phase-scrambling,humanvshuman_pairwise,3,subject-02,subject-03,90,0.39353418513409333
humanvshuman,phase-scrambling,humanvshuman_pairwise,3,subject-02,subject-03,120,0.3798359520383996
humanvshuman,phase-scrambling,humanvshuman_pairwise,3,subject-02,subject-03,150,0.14165066103598264
humanvshuman,phase-scrambling,humanvshuman_pairwise,3,subject-02,subject-03,180,0.2182730096837611
humanvshuman,phase-scrambling,humanvshuman_pairwise,4,subject-02,subject-04,0,0.44576067802097796
humanvshuman,phase-scrambling,humanvshuman_pairwise,4,subject-02,subject-04,30,0.3334915503021253
humanvshuman,phase-scrambling,humanvshuman_pairwise,4,subject-02,subject-04,60,0.5312499999999999
humanvshuman,phase-scrambling,humanvshuman_pairwise,4,subject-02,subject-04,90,0.38348055012781296
humanvshuman,phase-scrambling,humanvshuman_pairwise,4,subject-02,subject-04,120,0.4173650061841515
humanvshuman,phase-scrambling,humanvshuman_pairwise,4,subject-02,subject-04,150,-0.09489318603775618
humanvshuman,phase-scrambling,humanvshuman_pairwise,4,subject-02,subject-04,180,-0.011131453887437765
humanvshuman,phase-scrambling,humanvshuman_pairwise,5,subject-03,subject-04,0,0.22310032643658007
humanvshuman,phase-scrambling,humanvshuman_pairwise,5,subject-03,subject-04,30,0.43602035217556934
humanvshuman,phase-scrambling,humanvshuman_pairwise,5,subject-03,subject-04,60,0.503994154399279
humanvshuman,phase-scrambling,humanvshuman_pairwise,5,subject-03,subject-04,90,0.4243464573789308
humanvshuman,phase-scrambling,humanvshuman_pairwise,5,subject-03,subject-04,120,0.48806306140595346
humanvshuman,phase-scrambling,humanvshuman_pairwise,5,subject-03,subject-04,150,-0.07559975203322
humanvshuman,phase-scrambling,humanvshuman_pairwise,5,subject-03,subject-04,180,0.12805415886413962
