subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,power-equalisation,humanvshuman_pairwise,0,subject-01,subject-02,0,0.4282751106535675
humanvshuman,power-equalisation,humanvshuman_pairwise,0,subject-01,subject-02,pow,0.49507346122247115
humanvshuman,power-equalisation,humanvshuman_pairwise,1,subject-01,subject-03,0,0.4364450092533103
humanvshuman,power-equalisation,humanvshuman_pairwise,1,subject-01,subject-03,pow,0.5515286477416403
humanvshuman,power-equalisation,humanvshuman_pairwise,2,subject-01,subject-04,0,0.4727464278261261
humanvshuman,power-equalisation,humanvshuman_pairwise,2,subject-01,subject-04,pow,0.46763015083971826
humanvshuman,power-equalisation,humanvshuman_pairwise,3,subject-02,subject-03,0,0.42135995440946145
humanvshuman,power-equalisation,humanvshuman_pairwise,3,subject-02,subject-03,pow,0.5156483382194956
humanvshuman,power-equalisation,humanvshuman_pairwise,4,subject-02,subject-04,0,0.45868363539396717
humanvshuman,power-equalisation,humanvshuman_pairwise,4,subject-02,subject-04,pow,0.5111173845225271
humanvshuman,power-equalisation,humanvshuman_pairwise,5,subject-03,subject-04,0,0.48811502297906206
humanvshuman,power-equalisation,humanvshuman_pairwise,5,subject-03,subject-04,pow,0.5521804947671115
