subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,rotation,humanvshuman_pairwise,0,subject-01,subject-02,0,0.5233215213522993
humanvshuman,rotation,humanvshuman_pairwise,0,subject-01,subject-02,90,0.5737138572986279
humanvshuman,rotation,humanvshuman_pairwise,0,subject-01,subject-02,180,0.46657297712265056
humanvshuman,rotation,humanvshuman_pairwise,0,subject-01,subject-02,270,0.30101232170080156
humanvshuman,rotation,humanvshuman_pairwise,1,subject-01,subject-03,0,0.4402397612076814
humanvshuman,rotation,humanvshuman_pairwise,1,subject-01,subject-03,90,0.6226138651045752
humanvshuman,rotation,humanvshuman_pairwise,1,subject-01,subject-03,180,0.5541060890279602
humanvshuman,rotation,humanvshuman_pairwise,1,subject-01,subject-03,270,0.451698511053724
humanvshuman,rotation,humanvshuman_pairwise,2,subject-01,subject-04,0,0.5033222956847166
humanvshuman,rotation,humanvshuman_pairwise,2,subject-01,subject-04,90,0.4314488475095175
humanvshuman,rotation,humanvshuman_pairwise,2,subject-01,subject-04,180,0.4543280692564307
humanvshuman,rotation,humanvshuman_pairwise,2,subject-01,subject-04,270,0.4243015010174999
humanvshuman,rotation,humanvshuman_pairwise,3,subject-02,subject-03,0,0.4043613797339873
humanvshuman,rotation,humanvshuman_pairwise,3,subject-02,subject-03,90,0.5241078515284374
humanvshuman,rotation,humanvshuman_pairwise,3,subject-02,subject-03,180,0.43337459031861303
humanvshuman,rotation,humanvshuman_pairwise,3,subject-02,subject-03,270,0.30091848961423723
humanvshuman,rotation,humanvshuman_pairwise,4,subject-02,subject-04,0,0.2871647479601307
humanvshuman,rotation,humanvshuman_pairwise,4,subject-02,subject-04,90,0.45790381620688453
humanvshuman,rotation,humanvshuman_pairwise,4,subject-02,subject-04,180,0.49300311349561843
humanvshuman,rotation,humanvshuman_pairwise,4,subject-02,subject-04,270,0.2598610642077209
humanvshuman,rotation,humanvshuman_pairwise,5,subject-03,subject-04,0,0.44741569612078436
humanvshuman,rotation,humanvshuman_pairwise,5,subject-03,subject-04,90,0.36800353072314673
humanvshuman,rotation,humanvshuman_pairwise,5,subject-03,subject-04,180,0.4601564637435105
humanvshuman,rotation,humanvshuman_pairwise,5,subject-03,subject-04,270,0.3796675424442424
