subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,silhouette,humanvshuman_pairwise,0,subject-01,subject-02,0,0.5592589407158035
humanvshuman,silhouette,humanvshuman_pairwise,1,subject-01,subject-03,0,0.5312499999999998
humanvshuman,silhouette,humanvshuman_pairwise,2,subject-01,subject-04,0,0.5912007858381338
humanvshuman,silhouette,humanvshuman_pairwise,3,subject-01,subject-05,0,0.46693576069344955
humanvshuman,silhouette,humanvshuman_pairwise,4,subject-01,subject-06,0,0.42691803960383884
humanvshuman,silhouette,humanvshuman_pairwise,5,subject-01,subject-07,0,0.6021603328321976
humanvshuman,silhouette,humanvshuman_pairwise,6,subject-01,subject-08,0,0.2730267579334804
humanvshuman,silhouette,humanvshuman_pairwise,7,subject-01,subject-09,0,0.589562748100548
humanvshuman,silhouette,humanvshuman_pairwise,8,subject-01,subject-10,0,0.31506301890630223
humanvshuman,silhouette,humanvshuman_pairwise,9,subject-02,subject-03,0,0.49346377121982665
humanvshuman,silhouette,humanvshuman_pairwise,10,subject-02,subject-04,0,0.5554065805937056
humanvshuman,silhouette,humanvshuman_pairwise,11,subject-02,subject-05,0,0.47692430052619283
humanvshuman,silhouette,humanvshuman_pairwise,12,subject-02,subject-06,0,0.4678454277549305
humanvshuman,silhouette,humanvshuman_pairwise,13,subject-02,subject-07,0,0.5855917108400899
humanvshuman,silhouette,humanvshuman_pairwise,14,subject-02,subject-08,0,0.3575659942257729
humanvshuman,silhouette,humanvshuman_pairwise,15,subject-02,subject-09,0,0.5698833743006111
humanvshuman,silhouette,humanvshuman_pairwise,16,subject-02,subject-10,0,0.3961661615229939
humanvshuman,silhouette,humanvshuman_pairwise,17,subject-03,subject-04,0,0.5912007858381338
humanvshuman,silhouette,humanvshuman_pairwise,18,subject-03,subject-05,0,0.5039941543992789
humanvshuman,silhouette,humanvshuman_pairwise,19,subject-03,subject-06,0,0.5318978854080615
humanvshuman,silhouette,humanvshuman_pairwise,20,subject-03,subject-07,0,0.6388774262975756
humanvshuman,silhouette,humanvshuman_pairwise,21,subject-03,subject-08,0,0.2730267579334804
humanvshuman,silhouette,humanvshuman_pairwise,22,subject-03,subject-09,0,0.4803844614152613
humanvshuman,silhouette,humanvshuman_pairwise,23,subject-03,subject-10,0,0.44633927678392804
humanvshuman,silhouette,humanvshuman_pairwise,24,subject-04,subject-05,0,0.5919299498808617
humanvshuman,silhouette,humanvshuman_pairwise,25,subject-04,subject-06,0,0.5396701942924551
humanvshuman,silhouette,humanvshuman_pairwise,26,subject-04,subject-07,0,0.6489071306812211
humanvshuman,silhouette,humanvshuman_pairwise,27,subject-04,subject-08,0,0.37205891249168593
humanvshuman,silhouette,humanvshuman_pairwise,28,subject-04,subject-09,0,0.6004711296760029
humanvshuman,silhouette,humanvshuman_pairwise,29,subject-04,subject-10,0,0.3604800759599641
humanvshuman,silhouette,humanvshuman_pairwise,30,subject-05,subject-06,0,0.5585554644382644
humanvshuman,silhouette,humanvshuman_pairwise,31,subject-05,subject-07,0,0.5995684953278709
humanvshuman,silhouette,humanvshuman_pairwise,32,subject-05,subject-08,0,0.35730757989794865
humanvshuman,silhouette,humanvshuman_pairwise,33,subject-05,subject-09,0,0.6208139332631515
humanvshuman,silhouette,humanvshuman_pairwise,34,subject-05,subject-10,0,0.35079080320983047
humanvshuman,silhouette,humanvshuman_pairwise,35,subject-06,subject-07,0,0.5772581284017011
humanvshuman,silhouette,humanvshuman_pairwise,36,subject-06,subject-08,0,0.37998029782867426
humanvshuman,silhouette,humanvshuman_pairwise,37,subject-06,subject-09,0,0.4653886399640207
humanvshuman,silhouette,humanvshuman_pairwise,38,subject-06,subject-10,0,0.44688360940411276
humanvshuman,silhouette,humanvshuman_pairwise,39,subject-07,subject-08,0,0.43459673714881925
humanvshuman,silhouette,humanvshuman_pairwise,40,subject-07,subject-09,0,0.7093812077463242
humanvshuman,silhouette,humanvshuman_pairwise,41,subject-07,subject-10,0,0.5059158728739626
humanvshuman,silhouette,humanvshuman_pairwise,42,subject-08,subject-09,0,0.4197807029626822
humanvshuman,silhouette,humanvshuman_pairwise,43,subject-08,subject-10,0,0.3022100601704962
humanvshuman,silhouette,humanvshuman_pairwise,44,subject-09,subject-10,0,0.37302764030704605
