subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,sketch,humanvshuman_pairwise,0,subject-01,subject-02,0,0.5457779014849664
humanvshuman,sketch,humanvshuman_pairwise,1,subject-01,subject-03,0,0.36429148233364855
humanvshuman,sketch,humanvshuman_pairwise,2,subject-01,subject-04,0,0.4444703383296966
humanvshuman,sketch,humanvshuman_pairwise,3,subject-01,subject-05,0,0.36062446001293175
humanvshuman,sketch,humanvshuman_pairwise,4,subject-01,subject-06,0,0.45615206877752584
humanvshuman,sketch,humanvshuman_pairwise,5,subject-01,subject-07,0,0.43795362644401714
humanvshuman,sketch,humanvshuman_pairwise,6,subject-02,subject-03,0,0.2613586066930376
humanvshuman,sketch,humanvshuman_pairwise,7,subject-02,subject-04,0,0.4179693771196743
humanvshuman,sketch,humanvshuman_pairwise,8,subject-02,subject-05,0,0.5333075306674654
humanvshuman,sketch,humanvshuman_pairwise,9,subject-02,subject-06,0,0.444804795513648
humanvshuman,sketch,humanvshuman_pairwise,10,subject-02,subject-07,0,0.4793367880875288
humanvshuman,sketch,humanvshuman_pairwise,11,subject-03,subject-04,0,0.4121040298634091
humanvshuman,sketch,humanvshuman_pairwise,12,subject-03,subject-05,0,0.2040749712887146
humanvshuman,sketch,humanvshuman_pairwise,13,subject-03,subject-06,0,0.30340316161521147
humanvshuman,sketch,humanvshuman_pairwise,14,subject-03,subject-07,0,0.27624271988560267
humanvshuman,sketch,humanvshuman_pairwise,15,subject-04,subject-05,0,0.2975538271676637
humanvshuman,sketch,humanvshuman_pairwise,16,subject-04,subject-06,0,0.4763590704218441
humanvshuman,sketch,humanvshuman_pairwise,17,subject-04,subject-07,0,0.34749436718282356
humanvshuman,sketch,humanvshuman_pairwise,18,subject-05,subject-06,0,0.2964166894721937
humanvshuman,sketch,humanvshuman_pairwise,19,subject-05,subject-07,0,0.3821915457796784
humanvshuman,sketch,humanvshuman_pairwise,20,subject-06,subject-07,0,0.40883506337331477
