subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,stylized,humanvshuman_pairwise,0,subject-01,subject-02,0,0.48159018604186865
humanvshuman,stylized,humanvshuman_pairwise,1,subject-01,subject-03,0,0.4955823545961131
humanvshuman,stylized,humanvshuman_pairwise,2,subject-01,subject-04,0,0.5318940253945231
humanvshuman,stylized,humanvshuman_pairwise,3,subject-01,subject-05,0,0.5496691279100874
humanvshuman,stylized,humanvshuman_pairwise,4,subject-02,subject-03,0,0.4896231881830049
humanvshuman,stylized,humanvshuman_pairwise,5,subject-02,subject-04,0,0.5314347062953346
humanvshuman,stylized,humanvshuman_pairwise,6,subject-02,subject-05,0,0.5060268101305837
humanvshuman,stylized,humanvshuman_pairwise,7,subject-03,subject-04,0,0.4939972715083656
humanvshuman,stylized,humanvshuman_pairwise,8,subject-03,subject-05,0,0.48432085822616006
humanvshuman,stylized,humanvshuman_pairwise,9,subject-04,subject-05,0,0.527099053681579
