subj,dataset,analysis,pair_num,subject_A,subject_B,condition,pearsonr
humanvshuman,uniform-noise,humanvshuman_pairwise,0,subject-01,subject-02,0.0,0.5122856732410537
humanvshuman,uniform-noise,humanvshuman_pairwise,0,subject-01,subject-02,0.03,0.3784144918135133
humanvshuman,uniform-noise,humanvshuman_pairwise,0,subject-01,subject-02,0.05,0.658149306537212
humanvshuman,uniform-noise,humanvshuman_pairwise,0,subject-01,subject-02,0.1,0.4951761137027969
humanvshuman,uniform-noise,humanvshuman_pairwise,0,subject-01,subject-02,0.2,0.38693766227876547
humanvshuman,uniform-noise,humanvshuman_pairwise,0,subject-01,subject-02,0.35,0.36149497927401714
humanvshuman,uniform-noise,humanvshuman_pairwise,0,subject-01,subject-02,0.6,0.18000771973659851
humanvshuman,uniform-noise,humanvshuman_pairwise,0,subject-01,subject-02,0.9,0.07469698162444029
humanvshuman,uniform-noise,humanvshuman_pairwise,1,subject-01,subject-03,0.0,0.42732467268306285
humanvshuman,uniform-noise,humanvshuman_pairwise,1,subject-01,subject-03,0.03,0.509187510155698
humanvshuman,uniform-noise,humanvshuman_pairwise,1,subject-01,subject-03,0.05,0.42691803960383884
humanvshuman,uniform-noise,humanvshuman_pairwise,1,subject-01,subject-03,0.1,0.41179801403140964
humanvshuman,uniform-noise,humanvshuman_pairwise,1,subject-01,subject-03,0.2,0.40991702578932737
humanvshuman,uniform-noise,humanvshuman_pairwise,1,subject-01,subject-03,0.35,0.5583365209247755
humanvshuman,uniform-noise,humanvshuman_pairwise,1,subject-01,subject-03,0.6,0.17717466739846888
humanvshuman,uniform-noise,humanvshuman_pairwise,1,subject-01,subject-03,0.9,-0.03909313304727393
humanvshuman,uniform-noise,humanvshuman_pairwise,2,subject-01,subject-04,0.0,0.5523104825561047
humanvshuman,uniform-noise,humanvshuman_pairwise,2,subject-01,subject-04,0.03,0.25671941158223543
humanvshuman,uniform-noise,humanvshuman_pairwise,2,subject-01,subject-04,0.05,0.5443659273531711
humanvshuman,uniform-noise,humanvshuman_pairwise,2,subject-01,subject-04,0.1,0.4618869632017684
humanvshuman,uniform-noise,humanvshuman_pairwise,2,subject-01,subject-04,0.2,0.2672534949793006
humanvshuman,uniform-noise,humanvshuman_pairwise,2,subject-01,subject-04,0.35,0.4636131815229765
humanvshuman,uniform-noise,humanvshuman_pairwise,2,subject-01,subject-04,0.6,0.1272216097521971
humanvshuman,uniform-noise,humanvshuman_pairwise,2,subject-01,subject-04,0.9,0.0858377004374341
humanvshuman,uniform-noise,humanvshuman_pairwise,3,subject-02,subject-03,0.0,0.4443155863499312
humanvshuman,uniform-noise,humanvshuman_pairwise,3,subject-02,subject-03,0.03,0.34542754086327954
humanvshuman,uniform-noise,humanvshuman_pairwise,3,subject-02,subject-03,0.05,0.4669357606934496
humanvshuman,uniform-noise,humanvshuman_pairwise,3,subject-02,subject-03,0.1,0.4697444686434915
humanvshuman,uniform-noise,humanvshuman_pairwise,3,subject-02,subject-03,0.2,0.5031594350738575
humanvshuman,uniform-noise,humanvshuman_pairwise,3,subject-02,subject-03,0.35,0.3846783988712074
humanvshuman,uniform-noise,humanvshuman_pairwise,3,subject-02,subject-03,0.6,0.228510691602985
humanvshuman,uniform-noise,humanvshuman_pairwise,3,subject-02,subject-03,0.9,0.003851197865500519
humanvshuman,uniform-noise,humanvshuman_pairwise,4,subject-02,subject-04,0.0,0.4969858670800121
humanvshuman,uniform-noise,humanvshuman_pairwise,4,subject-02,subject-04,0.03,0.44591260773834895
humanvshuman,uniform-noise,humanvshuman_pairwise,4,subject-02,subject-04,0.05,0.5995684953278708
humanvshuman,uniform-noise,humanvshuman_pairwise,4,subject-02,subject-04,0.1,0.35483870967741926
humanvshuman,uniform-noise,humanvshuman_pairwise,4,subject-02,subject-04,0.2,0.41357812194612065
humanvshuman,uniform-noise,humanvshuman_pairwise,4,subject-02,subject-04,0.35,0.3699612202309577
humanvshuman,uniform-noise,humanvshuman_pairwise,4,subject-02,subject-04,0.6,0.3868695894627939
humanvshuman,uniform-noise,humanvshuman_pairwise,4,subject-02,subject-04,0.9,0.02826775031352545
humanvshuman,uniform-noise,humanvshuman_pairwise,5,subject-03,subject-04,0.0,0.5659337799610129
humanvshuman,uniform-noise,humanvshuman_pairwise,5,subject-03,subject-04,0.03,0.3132476625995767
humanvshuman,uniform-noise,humanvshuman_pairwise,5,subject-03,subject-04,0.05,0.5654432393668197
humanvshuman,uniform-noise,humanvshuman_pairwise,5,subject-03,subject-04,0.1,0.3547050069348813
humanvshuman,uniform-noise,humanvshuman_pairwise,5,subject-03,subject-04,0.2,0.44405868017129047
humanvshuman,uniform-noise,humanvshuman_pairwise,5,subject-03,subject-04,0.35,0.47985636881141475
humanvshuman,uniform-noise,humanvshuman_pairwise,5,subject-03,subject-04,0.6,0.12040821959166798
humanvshuman,uniform-noise,humanvshuman_pairwise,5,subject-03,subject-04,0.9,0.01454121345591481
