subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,cue-conflict,humanvshuman_splithalves,0,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-05'],['subject-06' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.7064405823443296
humanvshuman,cue-conflict,humanvshuman_splithalves,1,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-06'],['subject-05' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.7012048483392004
humanvshuman,cue-conflict,humanvshuman_splithalves,2,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-07'],['subject-05' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.7047162194229479
humanvshuman,cue-conflict,humanvshuman_splithalves,3,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-08'],['subject-05' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.6906591425996149
humanvshuman,cue-conflict,humanvshuman_splithalves,4,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-09'],['subject-05' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.7090240891066499
humanvshuman,cue-conflict,humanvshuman_splithalves,5,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-10'],['subject-05' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.7026949271820229
humanvshuman,cue-conflict,humanvshuman_splithalves,6,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-06'],['subject-04' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.7207374602530927
humanvshuman,cue-conflict,humanvshuman_splithalves,7,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-07'],['subject-04' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.7248596998013279
humanvshuman,cue-conflict,humanvshuman_splithalves,8,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-08'],['subject-04' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.7272035423351859
humanvshuman,cue-conflict,humanvshuman_splithalves,9,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-09'],['subject-04' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.7293491169050309
humanvshuman,cue-conflict,humanvshuman_splithalves,10,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-10'],['subject-04' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.7381227342384364
humanvshuman,cue-conflict,humanvshuman_splithalves,11,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-07'],['subject-04' 'subject-05' 'subject-08' 'subject-09' 'subject-10'],0,0.7019062880493568
humanvshuman,cue-conflict,humanvshuman_splithalves,12,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-08'],['subject-04' 'subject-05' 'subject-07' 'subject-09' 'subject-10'],0,0.7151021058931895
humanvshuman,cue-conflict,humanvshuman_splithalves,13,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-09'],['subject-04' 'subject-05' 'subject-07' 'subject-08' 'subject-10'],0,0.7107776722777486
humanvshuman,cue-conflict,humanvshuman_splithalves,14,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-10'],['subject-04' 'subject-05' 'subject-07' 'subject-08' 'subject-09'],0,0.7145713410583954
humanvshuman,cue-conflict,humanvshuman_splithalves,15,['subject-01' 'subject-02' 'subject-03' 'subject-07' 'subject-08'],['subject-04' 'subject-05' 'subject-06' 'subject-09' 'subject-10'],0,0.7133672352645978
