subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,edge,humanvshuman_splithalves,0,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-05'],['subject-06' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.6925688649557018
humanvshuman,edge,humanvshuman_splithalves,1,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-06'],['subject-05' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.6831289435318817
humanvshuman,edge,humanvshuman_splithalves,2,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-07'],['subject-05' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.7472351943684498
humanvshuman,edge,humanvshuman_splithalves,3,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-08'],['subject-05' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.7155911631955862
humanvshuman,edge,humanvshuman_splithalves,4,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-09'],['subject-05' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.7621308352281403
humanvshuman,edge,humanvshuman_splithalves,5,['subject-01' 'subject-02' 'subject-03' 'subject-04' 'subject-10'],['subject-05' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.7963805727320006
humanvshuman,edge,humanvshuman_splithalves,6,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-06'],['subject-04' 'subject-07' 'subject-08' 'subject-09' 'subject-10'],0,0.6785560657479266
humanvshuman,edge,humanvshuman_splithalves,7,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-07'],['subject-04' 'subject-06' 'subject-08' 'subject-09' 'subject-10'],0,0.7382838014585507
humanvshuman,edge,humanvshuman_splithalves,8,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-08'],['subject-04' 'subject-06' 'subject-07' 'subject-09' 'subject-10'],0,0.6475469397238749
humanvshuman,edge,humanvshuman_splithalves,9,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-09'],['subject-04' 'subject-06' 'subject-07' 'subject-08' 'subject-10'],0,0.7382838014585507
humanvshuman,edge,humanvshuman_splithalves,10,['subject-01' 'subject-02' 'subject-03' 'subject-05' 'subject-10'],['subject-04' 'subject-06' 'subject-07' 'subject-08' 'subject-09'],0,0.7335852695977332
humanvshuman,edge,humanvshuman_splithalves,11,['subject-01' 'subject-02' 'subject-03' 'subject-06' 'subject-07'],['subject-04' 'subject-05' 'subject-08' 'subject-09' 'subject-10'],0,0.7286773988825217
