subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,eidolonIII,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],1-0-10,0.6902034724059418
humanvshuman,eidolonIII,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],2-0-10,0.5963630563329801
humanvshuman,eidolonIII,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],4-0-10,0.6969688677687508
humanvshuman,eidolonIII,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],8-0-10,0.5822287152329659
humanvshuman,eidolonIII,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],16-0-10,0.3432021726802357
humanvshuman,eidolonIII,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],32-0-10,0.23924316049697902
humanvshuman,eidolonIII,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],64-0-10,0.3515682670048796
humanvshuman,eidolonIII,humanvshuman_splithalves,0,['subject-01' 'subject-02'],['subject-03' 'subject-04'],128-0-10,0.29959539853771533
humanvshuman,eidolonIII,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],1-0-10,0.6096718576224538
humanvshuman,eidolonIII,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],2-0-10,0.6306726585966718
humanvshuman,eidolonIII,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],4-0-10,0.6824334024401651
humanvshuman,eidolonIII,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],8-0-10,0.662794017035583
humanvshuman,eidolonIII,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],16-0-10,0.39269801058898507
humanvshuman,eidolonIII,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],32-0-10,0.1236408732197488
humanvshuman,eidolonIII,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],64-0-10,0.2518559964124943
humanvshuman,eidolonIII,humanvshuman_splithalves,1,['subject-01' 'subject-03'],['subject-02' 'subject-04'],128-0-10,0.15942465561675107
humanvshuman,eidolonIII,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],1-0-10,0.6527912098338668
humanvshuman,eidolonIII,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],2-0-10,0.687607805441606
humanvshuman,eidolonIII,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],4-0-10,0.6619647743253061
humanvshuman,eidolonIII,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],8-0-10,0.5847515364476094
humanvshuman,eidolonIII,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],16-0-10,0.22414810904261256
humanvshuman,eidolonIII,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],32-0-10,0.1885264488696011
humanvshuman,eidolonIII,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],64-0-10,0.19294873703592386
humanvshuman,eidolonIII,humanvshuman_splithalves,2,['subject-01' 'subject-04'],['subject-02' 'subject-03'],128-0-10,0.09230009015179828
